Fiscal Year,Activity Type,Service,Department,Employees
2011,GOVERNMENTAL ACTIVITIES,General Government,City Administrative Officer,103
2011,GOVERNMENTAL ACTIVITIES,General Government,City Attorney,870
2011,GOVERNMENTAL ACTIVITIES,General Government,City Clerk (1),96
2011,GOVERNMENTAL ACTIVITIES,General Government,City Ethics Commission,18
2011,GOVERNMENTAL ACTIVITIES,General Government,Commission on the Status of Women (6),
2011,GOVERNMENTAL ACTIVITIES,General Government,Controller,157
2011,GOVERNMENTAL ACTIVITIES,General Government,Council ,321
2011,GOVERNMENTAL ACTIVITIES,General Government,Employee Relations Board,3
2011,GOVERNMENTAL ACTIVITIES,General Government,General Services,1707
2011,GOVERNMENTAL ACTIVITIES,General Government,Human Relations Commission (6),
2011,GOVERNMENTAL ACTIVITIES,General Government,Information Technology Agency,522
2011,GOVERNMENTAL ACTIVITIES,General Government,Mayor,171
2011,GOVERNMENTAL ACTIVITIES,General Government,Neighborhood Empowerment (2),18
2011,GOVERNMENTAL ACTIVITIES,General Government,Office of Finance (3),326
2011,GOVERNMENTAL ACTIVITIES,General Government,Personnel,371
2011,GOVERNMENTAL ACTIVITIES,General Government,Treasurer (3),30
2011,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Animal Services,319
2011,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Building & Safety,719
2011,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Emergency Preparedness/Management (4),24
2011,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Civilian,296
2011,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Sworn,3459
2011,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Civilian,2824
2011,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Sworn,9810
2011,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Accounting (5),
2011,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Board of Commissioners (5),93
2011,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Contract Administration,293
2011,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Engineering,737
2011,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Management-Employee Services (5),
2011,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Lighting,200
2011,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Services,1011
2011,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Environmental Affairs (1),
2011,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Public Works- Sanitation,2430
2011,GOVERNMENTAL ACTIVITIES,Transportation,Transportation,1355
2011,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Cultural Affairs,39
2011,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,El Pueblo de los Angeles Historical Monument,11
2011,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Library,664
2011,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Recreation and Parks,1478
2011,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Zoo,201
2011,GOVERNMENTAL ACTIVITIES,Community Development,Aging ,41
2011,GOVERNMENTAL ACTIVITIES,Community Development,"Commission for Children, Youth and Their Families (6)",
2011,GOVERNMENTAL ACTIVITIES,Community Development,Community Development Department,266
2011,GOVERNMENTAL ACTIVITIES,Community Development,Disability ,14
2011,GOVERNMENTAL ACTIVITIES,Community Development,Los Angeles Housing,544
2011,GOVERNMENTAL ACTIVITIES,Community Development,Planning,237
2011,BUSINESS-TYPE ACTIVITIES,Airports (7),Airports (7),3535
2011,BUSINESS-TYPE ACTIVITIES,Harbor (7),Harbor (7),959
2011,BUSINESS-TYPE ACTIVITIES,Los Angeles Convention Center,Los Angeles Convention Center,112
2011,BUSINESS-TYPE ACTIVITIES,Water and Power,Water and Power,9065
2011,PENSION SYSTEMS,City Employees Retirement System,City Employees Retirement System,124
2011,PENSION SYSTEMS,Fire and Police Pension System,Fire and Police Pension System,105
2012,GOVERNMENTAL ACTIVITIES,General Government,City Administrative Officer,102
2012,GOVERNMENTAL ACTIVITIES,General Government,City Attorney,825
2012,GOVERNMENTAL ACTIVITIES,General Government,City Clerk (1),98
2012,GOVERNMENTAL ACTIVITIES,General Government,City Ethics Commission,17
2012,GOVERNMENTAL ACTIVITIES,General Government,Commission on the Status of Women (6),
2012,GOVERNMENTAL ACTIVITIES,General Government,Controller,152
2012,GOVERNMENTAL ACTIVITIES,General Government,Council ,334
2012,GOVERNMENTAL ACTIVITIES,General Government,Employee Relations Board,3
2012,GOVERNMENTAL ACTIVITIES,General Government,General Services,1630
2012,GOVERNMENTAL ACTIVITIES,General Government,Human Relations Commission (6),
2012,GOVERNMENTAL ACTIVITIES,General Government,Information Technology Agency,488
2012,GOVERNMENTAL ACTIVITIES,General Government,Mayor,175
2012,GOVERNMENTAL ACTIVITIES,General Government,Neighborhood Empowerment (2),18
2012,GOVERNMENTAL ACTIVITIES,General Government,Office of Finance (3),345
2012,GOVERNMENTAL ACTIVITIES,General Government,Personnel,380
2012,GOVERNMENTAL ACTIVITIES,General Government,Treasurer (3),
2012,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Animal Services,311
2012,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Building & Safety,723
2012,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Emergency Preparedness/Management (4),22
2012,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Civilian,298
2012,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Sworn,3317
2012,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Civilian,2783
2012,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Sworn,9875
2012,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Accounting (5),
2012,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Board of Commissioners (5),92
2012,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Contract Administration,287
2012,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Engineering,718
2012,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Management-Employee Services (5),
2012,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Lighting,192
2012,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Services,982
2012,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Environmental Affairs (1),
2012,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Public Works- Sanitation,2333
2012,GOVERNMENTAL ACTIVITIES,Transportation,Transportation,1307
2012,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Cultural Affairs,34
2012,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,El Pueblo de los Angeles Historical Monument,10
2012,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Library,655
2012,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Recreation and Parks,1429
2012,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Zoo,205
2012,GOVERNMENTAL ACTIVITIES,Community Development,Aging ,41
2012,GOVERNMENTAL ACTIVITIES,Community Development,"Commission for Children, Youth and Their Families (6)",
2012,GOVERNMENTAL ACTIVITIES,Community Development,Community Development Department,268
2012,GOVERNMENTAL ACTIVITIES,Community Development,Disability ,11
2012,GOVERNMENTAL ACTIVITIES,Community Development,Los Angeles Housing,531
2012,GOVERNMENTAL ACTIVITIES,Community Development,Planning,234
2012,BUSINESS-TYPE ACTIVITIES,Airports (7),Airports (7),3552
2012,BUSINESS-TYPE ACTIVITIES,Harbor (7),Harbor (7),963
2012,BUSINESS-TYPE ACTIVITIES,Los Angeles Convention Center,Los Angeles Convention Center,109
2012,BUSINESS-TYPE ACTIVITIES,Water and Power,Water and Power,8867
2012,PENSION SYSTEMS,City Employees Retirement System,City Employees Retirement System,124
2012,PENSION SYSTEMS,Fire and Police Pension System,Fire and Police Pension System,107
2013,GOVERNMENTAL ACTIVITIES,General Government,City Administrative Officer,103
2013,GOVERNMENTAL ACTIVITIES,General Government,City Attorney,813
2013,GOVERNMENTAL ACTIVITIES,General Government,City Clerk (1),97
2013,GOVERNMENTAL ACTIVITIES,General Government,City Ethics Commission,18
2013,GOVERNMENTAL ACTIVITIES,General Government,Commission on the Status of Women (6),
2013,GOVERNMENTAL ACTIVITIES,General Government,Controller,146
2013,GOVERNMENTAL ACTIVITIES,General Government,Council ,364
2013,GOVERNMENTAL ACTIVITIES,General Government,Employee Relations Board,3
2013,GOVERNMENTAL ACTIVITIES,General Government,General Services,1430
2013,GOVERNMENTAL ACTIVITIES,General Government,Human Relations Commission (6),
2013,GOVERNMENTAL ACTIVITIES,General Government,Information Technology Agency,463
2013,GOVERNMENTAL ACTIVITIES,General Government,Mayor,173
2013,GOVERNMENTAL ACTIVITIES,General Government,Neighborhood Empowerment (2),23
2013,GOVERNMENTAL ACTIVITIES,General Government,Office of Finance (3),336
2013,GOVERNMENTAL ACTIVITIES,General Government,Personnel,460
2013,GOVERNMENTAL ACTIVITIES,General Government,Treasurer (3),
2013,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Animal Services,318
2013,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Building & Safety,760
2013,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Emergency Preparedness/Management (4),31
2013,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Civilian,297
2013,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Fire-Sworn,3206
2013,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Civilian,2888
2013,GOVERNMENTAL ACTIVITIES,Protection of Persons and Property,Police- Sworn,9875
2013,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Accounting (5),
2013,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Board of Commissioners (5),81
2013,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Contract Administration,294
2013,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Engineering,701
2013,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Management-Employee Services (5),
2013,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Lighting,209
2013,GOVERNMENTAL ACTIVITIES,Public Works,Public Works- Street Services,931
2013,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Environmental Affairs (1),
2013,GOVERNMENTAL ACTIVITIES,Health and Sanitation,Public Works- Sanitation,2317
2013,GOVERNMENTAL ACTIVITIES,Transportation,Transportation,1287
2013,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Cultural Affairs,34
2013,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,El Pueblo de los Angeles Historical Monument,10
2013,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Library,999
2013,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Recreation and Parks,1388
2013,GOVERNMENTAL ACTIVITIES,Cultural and Recreational Services,Zoo,213
2013,GOVERNMENTAL ACTIVITIES,Community Development,Aging ,34
2013,GOVERNMENTAL ACTIVITIES,Community Development,"Commission for Children, Youth and Their Families (6)",
2013,GOVERNMENTAL ACTIVITIES,Community Development,Community Development Department,255
2013,GOVERNMENTAL ACTIVITIES,Community Development,Disability ,15
2013,GOVERNMENTAL ACTIVITIES,Community Development,Los Angeles Housing,511
2013,GOVERNMENTAL ACTIVITIES,Community Development,Planning,261
2013,BUSINESS-TYPE ACTIVITIES,Airports (7),Airports (7),3535
2013,BUSINESS-TYPE ACTIVITIES,Harbor (7),Harbor (7),947
2013,BUSINESS-TYPE ACTIVITIES,Los Angeles Convention Center,Los Angeles Convention Center,92
2013,BUSINESS-TYPE ACTIVITIES,Water and Power,Water and Power,8776
2013,PENSION SYSTEMS,City Employees Retirement System,City Employees Retirement System,127
2013,PENSION SYSTEMS,Fire and Police Pension System,Fire and Police Pension System,109
