LocationType,Location Name,StNumber,StNumberFraction,StDirection,StName,StSuffix,StSuffixDirection,AddressType,AddressTypeValue,CrossStDirection,CrossStName,CrossStSuffix,CrossStSuffixDirection,City,State,Zip,Website,Phone,CouncilDistrict,GeoLat,GeoLong
Parks,Jim Gilliam Park,4000,,S,La Brea,Ave,,,,,,,,"Los Angeles
CA 90008
(34.0119, -118.352)",CA,90008,http://www.laparks.org/dos/reccenter/facility/jimGilliamRC.htm,(323) 291-5928,10,34.011922,-118.351674
Parks,Chevy Chase Park,4165,,,Chevy Chase,Dr,,,,,,,,"Los Angeles
CA 90039
(34.1335, -118.267)",CA,90039,http://www.laparks.org/dos/parks/facility/chevyChasePk.htm,(213) 485-4867,13,34.133531,-118.2667127
Parks,John S. Gibson Jr. Park,,,,Harbor,Blvd,,,,,6th,St,,"San Pedro
CA 90731
(33.7397, -118.28)",CA,90731,http://www.laparks.org/dos/parks/facility/GibsonJSJrPk.htm,(310) 548-7675,15,33.739653,-118.279649
Parks,Runnymede Park,20200,,,Runnymede,St,,,,,,,,"Winnetka
CA 91306
(34.2059, -118.573)",CA,91306,http://www.laparks.org/dos/parks/facility/runnymedePk.htm,(818) 883-6641,3,34.20585859,-118.5732396
Parks,Elysian Park - Montecillo De Leo Politi,,,,Stadium,Way,,,,,Academy,Rd,,"Los Angeles
CA 90012
(34.0784, -118.247)",CA,90012,http://www.laparks.org/dos/parks/facility/montecilloDeLeoPolitiPk.htm,(213) 485-5054,13,34.078382,-118.246633
Parks,Eagle Rock Park,1100,,,Eagle Vista,Dr,,,,,,,,"Los Angeles
CA 90041
(34.143, -118.188)",CA,90041,http://www.laparks.org/dos/reccenter/facility/eagleRockRC.htm,(323) 257-6948,14,34.142988,-118.18805
Parks,Woodland Hills Park (Shoup Park),5858,,,Shoup,Ave,,,,,,,,"Woodland Hills
CA 91367
(34.1759, 118.614)",CA,91367,http://www.laparks.org/dos/reccenter/facility/woodlandHillsRC.htm,(818) 883-9370,3,34.175927,118.614495
Parks,Limekiln Canyon Park,19585,,,Rinaldi,St,,,,,,,,"Northridge
CA 91326
(34.2848, -118.563)",CA,91326,http://www.laparks.org/dos/parks/facility/limekilnCanyonPk.htm,(818) 368-8343,12,34.284817,-118.563025
Parks,Yosemite Park,1840,,,Yosemite,Dr,,,,,,,,"Los Angeles
CA 90041
(34.1337, -118.208)",CA,90041,http://www.laparks.org/dos/reccenter/facility/yosemiteRC.htm,(323) 257-1644,14,34.133742,-118.20819
Parks,Chesterfield Square Park,1950,,W,54th,St,,,,,,,,"Los Angeles
CA 90062
(33.9931, -118.313)",CA,90062,http://www.laparks.org/dos/parks/facility/chesterfieldSquPk.htm,(323) 233-4772,8,33.99308909,-118.3129281
Parks,Laurel and Hardy Park,3022,,,Del Monte,Dr,,,,,,,,"Los Angeles
CA 90027
(34.1834, -118.4)",CA,90027,,(310) 548-7675,13,34.183388,-118.399828
Parks,David M. Gonzales / Pacoima Park,10943,,,Herrick,Ave,,,,,,,,"Pacoima
CA 91331
(34.2692, -118.413)",CA,91331,http://www.laparks.org/dos/reccenter/facility/davidMGonzalesRC.htm,(818) 899-1950,7,34.26921299,-118.4130658
Parks,Tarzana Park,5655,,,Vanalden,Ave,,,,,,,,"Tarzana
CA 91356
(34.1746, -118.55)",CA,91356,http://www.laparks.org/dos/reccenter/facility/tarzanaRC.htm,(818) 343-5946,3,34.17462734,-118.5502669
Parks,111th Place Pocket Park,207,,E,111th,Pl,,,,,,,,"Los Angeles
CA 90061
(33.9342, -118.271)",CA,90061,,(310) 548-7675,8,33.934202,-118.271246
Parks,Kagel Canyon Park,11435,,,Kagel Canyon,St,,,,,,,,"Lake View Terrace
CA 91342
(34.2807, -118.38)",CA,91342,http://www.laparks.org/dos/parks/facility/kagelCanyonPk.htm,(818) 899-4537,7,34.28069157,-118.3804559
Parks,Palisades Park,851,,,Alma Real,Dr,,,,,,,,"Pacific Palisades
CA 90272
(34.0428, -118.525)",CA,90272,http://www.laparks.org/dos/parks/facility/palisadesPk.htm,(310) 454-1412,11,34.042845,-118.524815
Parks,Warner Ranch Park,5800,,,Topanga Canyon,Blvd,,,,,,,,"Woodland Hills
CA 91367
(34.1755, -118.606)",CA,91367,http://www.laparks.org/dos/parks/facility/warnerRanchPk.htm,(818) 883-6641,3,34.17549801,-118.6056172
Parks,Circle / Gramercy Park,1975,,W,76th,St,,,,,,,,"Los Angeles
CA 90047
(33.971, -118.313)",CA,90047,http://www.laparks.org/dos/parks/facility/circlePk.htm,(310) 548-7675,8,33.970976,-118.313323
Parks,Harbor Sports Center,1221,,N,Figueroa,Pl,,,,,,,,"Wilmington
CA 90744
(33.7874, -118.282)",CA,90744,http://www.laparks.org/dos/reccenter/facility/harborSC.htm,(310) 548-7728,15,33.78742375,-118.2819333
Parks,Gaffey Street Field of Dreams,501,,,Westmont,Dr,,,,,,,,"San Pedro
CA 90731
(33.7637, -118.291)",CA,90731,http://www.laparks.org/dos/parks/facility/fieldofdreams.htm,(310) 548-7705,15,33.763701,-118.290965
Parks,Rancho Cienega Park,5001,,,Rodeo,Rd,,,,,,,,"Los Angeles
CA 90016
(34.0217, -118.352)",CA,90016,http://www.laparks.org/dos/reccenter/facility/ranchocienegaRC.htm,(323) 290-2330,10,34.02167021,-118.351823
Parks,Jesse Owens Mini Park,7100,,,White Oak,Ave,,,,,,,,"Van Nuys
CA 91406
(34.1998, -118.518)",CA,91406,http://www.laparks.org/dos/parks/facility/jesseOwensPk.htm,(818) 756-7667,6,34.199824,-118.518445
Parks,Hope and Peace Park,843,,S,Bonnie Brae,St,,,,,,,,"Los Angeles
CA 90057
(34.0528, -118.276)",CA,90057,http://www.laparks.org/dos/parks/facility/hopePeacePocketPk.htm,(213) 747-1872,1,34.05276205,-118.2764751
Parks,Queen Anne Park,1240,,,West,Blvd,,,,,,,,"Los Angeles
CA 90016
(34.0507, -118.333)",CA,90016,http://www.laparks.org/dos/reccenter/facility/queenAnneRC.htm,(323) 857-1180,10,34.0507319,-118.33286
Parks,la mirada,7960,,N,Bellaire,Ave,,,,,,,,"Los Angeles
CA 91605
(34.2156, -118.413)",CA,91605,,(818) 506-7456,2,34.21561,-118.412666
Parks,Harbor Highlands Park,825,,W,Capitol,Dr,,,,,,,,"San Pedro
CA 90731
(33.7578, -118.297)",CA,90731,http://www.laparks.org/dos/parks/facility/harborHighlandsPk.htm,(310) 548-7756,15,33.75780373,-118.2966521
Parks,Penmar Park,1341,,,Lake,St,,,,,,,,"Venice
CA 90291
(34.0062, -118.456)",CA,90291,http://www.laparks.org/dos/reccenter/facility/penmarRC.htm,(310) 396-8735,11,34.00618864,-118.455831
Parks,Fulton Avenue Park,13255,,,Vanowen,St,,,,,,,,"North Hollywood
CA 91605
(34.1943, -118.422)",CA,91605,,(818) 766-8445,2,34.194264,-118.422318
Parks,North Weddington Park,10844,,W,Acama,St,,,,,,,,"North Hollywood
CA 91602
(34.1456, -118.366)",CA,91602,http://www.laparks.org/dos/parks/facility/weddingtonPkNo.htm,(818) 506-1467,2,34.145564,-118.366144
Parks,Griffith Park Visitor Center Auditorium,4730,,,Crystal Springs,Dr,,,,,,,,"Los Angeles
CA 90027
(34.1325, -118.28)",CA,90027,http://www.laparks.org/dos/ranger/auditorium.htm,(323) 665-1154,4,34.132522,-118.280284
Parks,Jackie Tatum / Harvard Park,1535,,W,62nd,St,,,,,,,,"Los Angeles
CA 90047
(33.9833, -118.304)",CA,90047,http://www.laparks.org/dos/reccenter/facility/jackieTatumRC.htm,(323) 778-2579,8,33.98334823,-118.303593
Parks,William Nickerson Gardens Park,11251,,,Compton,Ave,,,,,,,,"Los Angeles
CA 90059
(33.9322, -118.247)",CA,90059,http://www.laparks.org/dos/reccenter/facility/williamNickersonRC.htm,(323) 566-1416,15,33.932182,-118.246727
Parks,Benny H. Potter West Adams Avenues Memorial Park,2413,,,2nd,Ave,,,,,,,,"Los Angeles
CA 90018
(34.035, -118.319)",CA,90018,http://www.laparks.org/dos/parks/facility/bennyHPotterPk.htm,(323) 373-9483,10,34.035039,-118.318677
Parks,Irving Schachter Park,2599,,,Beverwil,Dr,,,,,Beverlywood,,,"Los Angeles
CA 90064
(34.04, -118.399)",CA,90064,http://www.laparks.org/dos/parks/facility/irvingSchachterPk.htm,(310) 840-2186,5,34.040044,-118.398926
Parks,Greayer's Oak Park,3711,,N,Figueroa,St,,,,,,,,"Los Angeles
CA 90065
(34.0906, -118.212)",CA,90065,,(310) 548-7675,1,34.09059,-118.212182
Parks,Griffith Park - Old Zoo Picnic Area,,,,Griffith Park,Dr,,,,,Crystal Springs,Dr,,"Los Angeles
CA 90027
(34.1355, -118.286)",CA,90027,http://www.laparks.org/dos/parks/facility/griffithPk.htm,(323) 644-2050,4,34.135456,-118.286337
Parks,Hollywood Park,1122,,,Cole,Ave,,,,,,,,"Los Angeles
CA 90038
(34.0913, -118.33)",CA,90038,http://www.laparks.org/dos/reccenter/facility/hollywoodRC.htm,(323) 467-6847,13,34.09132457,-118.3297572
Parks,Watts Cultural Crescent,1780,,E,Santa Ana,Blvd,,,,,,,,"Los Angeles
CA 90059
(33.94, -118.242)",CA,90059,,(310) 548-7675,15,33.940048,-118.242452
Parks,Elysian Park - Bette Davis Park,,,,Rancho,Ave,,,,,Riverside,Dr,,"Los Angeles
CA 90027
(34.1586, -118.298)",CA,90027,,(323) 913-4688,4,34.15857211,-118.2975598
Parks,Westside Neighborhood Park,3085,,,Clyde,Ave,,,,,,,,"Los Angeles
CA 90016
(34.0291, -118.37)",CA,90016,http://www.laparks.org/dos/parks/facility/westsideNeighborhoodPk.htm,(323) 292-6622,10,34.029093,-118.36998
Parks,Telfair Park (Valleycrest Park),15721,,W,Cobalt,Ave,,,,,,,,"Sylmar
CA 91342
(34.3042, -118.473)",CA,91342,http://www.laparks.org/dos/parks/facility/telfairPk.htm,(818) 368-8343,7,34.304228,-118.472861
Parks,Grigsby Pocket Park,1816,,E,115th,St,,,,,,,,"Los Angeles
CA 90059
(33.9302, -118.24)",CA,90059,,(310) 548-7675,15,33.930249,-118.240227
Parks,Cypress Park Library,3320,,E,Pepper,Ave,,,,,,,,"Los Angeles
CA 90065
(34.091, -118.223)",CA,90065,,(310) 548-7675,1,34.091029,-118.22264
Parks,Westwood Gardens Park,1246,,S,Glendon,Ave,,,,,,,,"Los Angeles
CA 90024
(34.0575, -118.442)",CA,90024,,(310) 836-1040,5,34.057518,-118.441597
Parks,Lake Street Park,227,,N,Lake,St,,,,,,,,"Los Angeles
CA 90057
(34.0687, -118.27)",CA,90057,http://www.laparks.org/dos/parks/facility/lakeStPk.htm,(213) 207-2196,13,34.06874703,-118.270384
Parks,La Mirada Park Acquisition Site,5401,,W,La Mirada,Ave,,,,,,,,"Los Angeles
CA 90029
(34.0942, -118.307)",CA,90029,,(310) 548-7675,13,34.094208,-118.306999
Parks,6th & Gladys Street Park,624,,E,6th,St,,,,,Gladys,St,,"Los Angeles
CA 90021
(34.0403, -118.242)",CA,90021,http://www.laparks.org/dos/parks/facility/6thgladysPk.htm,(818) 756-8189,14,34.04032,-118.242479
Parks,Lanark/Shelby Mini-Park,,,,Lanark,St,,,,,Shelby,St,,"Los Angeles
CA 90041
(34.1353, -118.188)",CA,90041,http://www.laparks.org/dos/parks/facility/lanarkShelbyPk.htm,(323) 255-0370,14,34.135325,-118.187511
Parks,Mount Carmel Park,830,,W,70th,St,,,,,,,,"Los Angeles
CA 90044
(33.9762, -118.288)",CA,90044,http://www.laparks.org/dos/parks/facility/mountCarmelPk.htm,(323) 789-2756,8,33.97624967,-118.2884111
Parks,Rena Park,510,,,Leland,Ave,,,,,,,,"San Pedro
CA 90732
(33.7477, -118.301)",CA,90732,http://www.laparks.org/dos/parks/facility/renaPk.htm,(310) 548-7756,15,33.7476902,-118.3010596
Parks,Santa Ynez Canyon Park,1100,,N,Palisades,Dr,,,,,Palisades Highlands,,,"Pacific Palisades
CA 90272
(34.0719, -118.567)",CA,90272,http://www.laparks.org/dos/parks/facility/santaYnezCynPk.htm,(310) 548-7675,11,34.071875,-118.567409
Parks,Palms Park,2950,,,Overland,Ave,,,,,,,,"Los Angeles
CA 90064
(34.0329, -118.418)",CA,90064,http://www.laparks.org/dos/reccenter/facility/palmsRC.htm,(310) 838-3838,5,34.03286932,-118.4177271
Parks,Denker Park,1550,,W,35th,Pl,,,,,,,,"Los Angeles
CA 90018
(34.0236, -118.305)",CA,90018,http://www.laparks.org/dos/reccenter/facility/denkerRC.htm,(323) 733-8367,8,34.02355276,-118.3045149
Parks,Unidad Park,1648,,W,Beverly,Blvd,,,,,,,,"Los Angeles
CA 90026
(34.064, -118.265)",CA,90026,,(310) 548-7675,13,34.063995,-118.264551
Parks,Chatsworth Oaks Park,9301,,,Valley Circle,Blvd,,,,,,,,"Chatsworth
CA 91311
(34.2399, -118.629)",CA,91311,http://www.laparks.org/dos/parks/facility/chatsworthOaksPk.htm,(818) 341-6595,12,34.23993,-118.629054
Parks,Via Dolce Park,3507,,,Via Dolce,,,,,,,,,"Marina del Rey
CA 90292
(33.9787, -118.462)",CA,90292,,(310) 548-7675,11,33.978686,-118.462029
Parks,Chatsworth Park South,22360,,,Devonshire,St,,,,,,,,"Chatsworth
CA 91311
(34.2603, -118.616)",CA,91311,http://www.laparks.org/dos/parks/facility/chatsworthPkSouth.htm,(818) 341-6595,12,34.260329,-118.616081
Parks,Westwood Park - Aidan's Place,1350,,S,Sepulveda,Blvd,,,,,,,,"Los Angeles
CA 90025
(34.0527, -118.448)",CA,90025,http://www.laparks.org/dos/playground/facility/westwoodUAPRC.htm,(310) 473-3610,5,34.052676,-118.448107
Parks,Palisades-Asilomar Park,15920,,,Asilomar,Blvd,,,,,,,,"Pacific Palisades
CA 90272
(34.0398, -118.536)",CA,90272,,(310) 836-1040,11,34.03984,-118.536183
Parks,Fox & Laurel Park,14353,,,Fox,St,,,,,,,,"Los Angeles
CA 91340
(34.2716, -118.446)",CA,91340,,,7,34.271638,-118.446271
Parks,Griffith Park - Ceta Forest,5201,,,Zoo,Dr,,,,,,,,"Los Angeles
CA 90027
(34.1551, -118.301)",CA,90027,http://www.laparks.org/dos/parks/facility/cetaForestPk.htm,(323) 913-4688,4,34.155128,-118.30145
Parks,Genesee Avenue Park,2330,,S,Genesee,Ave,,,,,,,,"Los Angeles
CA 90016
(34.0369, -118.369)",CA,90016,http://www.laparks.org/dos/parks/facility/geneseeAvePk.htm,(310) 840-2186,10,34.03688,-118.36858
Parks,Beverly Glen Park,2448,,N,Angelo,Dr,,,,,Baywood,Ct,,"Bel Air
CA 90077
(34.1147, -118.444)",CA,90077,http://www.laparks.org/dos/parks/facility/beverlyGlenPk.htm,(310) 548-7675,5,34.11474,-118.44381
Parks,Sycamore Grove Park,4702,,N,Figueroa,St,,,,,,,,"Los Angeles
CA 90042
(34.1019, -118.203)",CA,90042,http://www.laparks.org/dos/parks/facility/sycamorePk.htm,(323) 255-0370,1,34.1019,-118.202996
Parks,Harold A. Henry Park,890,,S,Lucerne,Ave,,,,,,,,"Los Angeles
CA 90016
(34.0576, -118.325)",CA,90016,http://www.laparks.org/dos/parks/facility/haroldAHenryPk.htm,(213) 485-5054,4,34.057644,-118.32489
Parks,Pico Union Park,1827,,S,Hoover,St,,,,,,,,"Los Angeles
CA 90006
(34.0411, -118.284)",CA,90006,http://www.laparks.org/dos/parks/facility/picoUnionVestPk.htm,(213) 485-5054,1,34.04106831,-118.2842068
Parks,Parthenia Park,21444,,,Parthenia,St,,,,,,,,"Canoga Park
CA 91304
(34.228, -118.599)",CA,91304,http://www.laparks.org/dos/parks/facility/partheniaPk.htm,(818) 883-6641,3,34.2280404,-118.5992153
Parks,Normandale Park,22400,,S,Halldale,Ave,,,,,,,,"Torrance
CA 90501
(33.8231, -118.301)",CA,90501,http://www.laparks.org/dos/reccenter/facility/normandaleRC.htm,(310) 328-3689,15,33.82313579,-118.301425
Parks,LAPD SWAT Officer Randal D. Simmons Park,6731,,,Wilbur,Ave,,,,,,,,"Reseda
CA 91335
(34.1928, -118.545)",CA,91335,,(818) 756-7667,3,34.19276974,-118.5448566
Parks,El Paseo De Cahuenga Park,3300,,,Cahuenga,Blvd,,,,,,,,"Los Angeles
CA 90068
(34.1306, -118.35)",CA,90068,http://www.laparks.org/dos/parks/facility/elPaseoDeCahuengaPk.htm,(818) 763-7651,4,34.13059,-118.349673
Parks,Winnetka Park,8401,,,Winnetka,Ave,,,,,,,,"Winnetka
CA 91306
(34.2224, -118.572)",CA,91306,,(818) 756-7876,3,34.222383,-118.571596
Parks,Griffith Park Crystal Springs,4730,,,Crystal Springs,Dr,,,,,,,,"Los Angeles
CA 90027
(34.133, -118.281)",CA,90027,http://www.laparks.org/dos/parks/facility/crystalSpringsPk.htm,(323) 644-2050,4,34.133005,-118.280751
Parks,Marson Park,15262,,,Marson,St,,,,,,,,"Panorama City
CA 91402
(34.2155, -118.466)",CA,91402,,(818) 506-7456,6,34.215494,-118.465863
Parks,Cheviot Hills Park,2551,,,Motor,Ave,,,,,,,,"Los Angeles
CA 90064
(34.0469, -118.408)",CA,90064,http://www.laparks.org/dos/parks/facility/cheviotHillsPk.htm,(310) 837-5186,5,34.046898,-118.408263
Parks,Northridge Park,18300,,W,Lemarsh,St,,,,,,,,"Northridge
CA 91324
(34.2553, -118.532)",CA,91324,http://www.laparks.org/dos/reccenter/facility/northridgeRC.htm,(818) 349-7341,12,34.25529,-118.53226
Parks,Porter Ranch,11000,,,Tampa,Ave,,,,,,,,"Northridge
CA 91326
(34.2706, -118.555)",CA,91326,http://www.laparks.org/dos/reccenter/facility/northridgeRC.htm,(818) 349-7341,12,34.27055336,-118.5552726
Parks,Little Green Acres Park,,,,104th,St,,,,,Vermont,Ave,,"Los Angeles
CA 90044
(33.9416, -118.291)",CA,90044,http://www.laparks.org/dos/parks/facility/littleGreenAcresPk.htm,(213) 485-1748,8,33.94164,-118.2914
Parks,West Hills Sports Center,6900,,,Valley Circle,Blvd,,,,,,,,"West Hills
CA 91307
(34.1985, -118.657)",CA,91307,http://www.laparks.org/dos/reccenter/facility/westHillsSportsCtr.htm,(818) 765-0284,12,34.198488,-118.656697
Parks,Mason Park,10500,,,Mason,Ave,,,,,,,,"Chatsworth
CA 91311
(34.2609, -118.58)",CA,91311,http://www.laparks.org/dos/parks/facility/masonPk.htm,(818) 998-6377,12,34.26093639,-118.5796615
Parks,Kittridge Mini-Park,6565,,N,Greenbush,Ave,,,,,,,,"Van Nuys
CA 91405
(34.1903, -118.426)",CA,91405,http://www.laparks.org/dos/parks/facility/kittridgeMiniPk.htm,(818) 506-7456,2,34.19029764,-118.4258369
Parks,Strathern Park North,8041,,,Whitsett,Ave,,,,,,,,"Sun Valley
CA 91605
(34.217, -118.406)",CA,91605,http://www.laparks.org/dos/parks/facility/strathernPkNorth.htm,(818) 767-4171,2,34.216954,-118.406176
Parks,Tobias Avenue Park,9122,,N,Tobias,Ave,,,,,,,,"Panorama City
CA 91402
(34.2363, -118.452)",CA,91402,http://www.laparks.org/dos/parks/facility/tobiasPk.htm,(818) 506-7456,6,34.23634,-118.45151
Parks,Augustus F. Hawkins Natural Park,5790,,,Compton,Ave,,,,,,,,"Los Angeles
CA 90011
(33.9903, -118.248)",CA,90011,http://www.laparks.org/dos/reccenter/facility/augustusHawkinsNatureCtr.htm,(323) 581-4498,9,33.990292,-118.247712
Parks,Trinity Park,517,,E,25th,St,,,,,,,,"Los Angeles
CA 90011
(34.0239, -118.263)",CA,90011,http://www.laparks.org/dos/reccenter/facility/trinityRC.htm,(213) 485-4195,9,34.02385032,-118.2634554
Parks,Angels Gate Park,3601,,S,Gaffey,St,,,,,,,,"San Pedro
CA 90731
(33.7097, -118.294)",CA,90731,http://www.laparks.org/dos/reccenter/facility/angelsGateRC.htm,(310) 548-7705,15,33.709707,-118.293817
Parks,Balboa Park,17015,,,Burbank,Blvd,,,,,,,,"Encino
CA 91316
(34.173, -118.502)",CA,91316,http://www.laparks.org/dos/reccenter/facility/balboaSportsComplex.htm,(818) 756-9743,6,34.172985,-118.501841
Parks,Knapp Ranch Park,25000,,,Kittridge,St,,,,,,,,"West Hills
CA 91307
(34.1892, -118.659)",CA,91307,http://www.laparks.org/dos/parks/facility/knappRanchPk.htm,(818) 883-6641,12,34.189237,-118.658999
Parks,Leimert Plaza Park,4395,,,Leimert,Blvd,,,,,,,,"Los Angeles
CA 90008
(34.0039, -118.331)",CA,90008,http://www.laparks.org/dos/parks/facility/leimertPlazaPk.htm,(323) 291-5928,10,34.003937,-118.330564
Parks,Woodbine Park,3409,,,Vinton,Ave,,,,,,,,"Los Angeles
CA 90034
(34.028, -118.408)",CA,90034,http://www.laparks.org/dos/parks/facility/woodbinePk.htm,(310) 836-1040,5,34.02800986,-118.4084365
Parks,Leland Park,863,,S,Herbert,Ave,,,,,,,,"San Pedro
CA 90731
(33.7509, -118.296)",CA,90731,http://www.laparks.org/dos/parks/facility/lelandPk.htm,,15,33.75092412,-118.2959786
Parks,Loren Miller Park,2717,,,Halldale,Ave,,,,,,,,"Los Angeles
CA 90018
(34.0303, -118.303)",CA,90018,http://www.laparks.org/dos/reccenter/facility/lorenMillerRC.htm,(323) 734-1302,8,34.03026082,-118.3030305
Parks,Ernest E. Debs Regional Park,4235,,,Monterey,Rd,,,,,,,,"Los Angeles
CA 90032
(34.0954, -118.19)",CA,90032,http://www.laparks.org/dos/parks/facility/debsEERegionalPk.htm,(213) 485-5054,1,34.095367,-118.190495
Parks,Stoney Point Park,10870,,N,Topanga Canyon,Blvd,,,,,,,,"Chatsworth
CA 91311
(34.2735, -118.602)",CA,91311,http://www.laparks.org/dos/parks/facility/stoneyPointPk.htm,(818) 883-6641,12,34.273536,-118.602406
Parks,Venice of America Centennial Park,501,,S,Venice,Blvd,,,,,,,,"Venice
CA 90291
(33.9885, -118.464)",CA,90291,,(310) 836-1040,0,33.98849,-118.46368
Parks,Mecca Avenue Park,5250,,N,Mecca,Ave,,,,,,,,"Tarzana
CA 91356
(34.1671, -118.537)",CA,91356,http://www.laparks.org/dos/parks/facility/meccaAvePk.htm,,3,34.16711361,-118.5373921
Parks,Deervale-Stone Canyon Park,14890,,,Valley Vista,Blvd,,,,,,,,"Sherman Oaks
CA 91403
(34.1468, -118.459)",CA,91403,,,4,34.14683821,-118.4592084
Parks,Fernangeles Park,8851,,,Laurel Canyon,Blvd,,,,,,,,"Sun Valley
CA 91352
(34.2293, -118.401)",CA,91352,http://www.laparks.org/dos/reccenter/facility/fernangelesRC.htm,(818) 767-4171,6,34.229345,-118.400978
Parks,Granada Hills Park,16730,,,Chatsworth,St,,,,,,,,"Granada Hills
CA 91344
(34.2646, -118.497)",CA,91344,http://www.laparks.org/dos/reccenter/facility/granadaHillsRC.htm,(818) 363-3556,12,34.2645807,-118.4969059
Parks,Poinsettia Park,7341,,,Willoughy,Ave,,,,,,,,"Los Angeles
CA 90046
(34.0872, -118.35)",CA,90046,http://www.laparks.org/dos/reccenter/facility/poinsettiaRC.htm,(323) 876-5014,5,34.08722019,-118.3502662
Parks,Encino Glen,16821,,,Burbank,Blvd,,,,,,,,"Encino
CA 91436
(34.1726, -118.5)",CA,91436,http://www.laparks.org/dos/parks/facility/encinoglenPk.htm,(818) 789-1919,6,34.172588,-118.499743
Parks,Cleland Avenue Bicentennial Park,4800,,,Cleland,Ave,,,,,,,,"Los Angeles
CA 90042
(34.1133, -118.213)",CA,90042,http://www.laparks.org/dos/parks/facility/clelandAvePk.htm,(323) 255-0370,1,34.11331,-118.212598
Parks,El Sereno Park,4721,,,Klamath,St,,,,,,,,"Los Angeles
CA 90032
(34.0757, -118.182)",CA,90032,http://www.laparks.org/dos/reccenter/facility/elserenoRC.htm,(323) 225-3517,14,34.075723,-118.181788
Parks,Rustic Canyon Rec Center Park,601,,,Latimer,Rd,,,,,,,,"Pacific Palisades
CA 90402
(34.0408, -118.514)",CA,90402,http://www.laparks.org/dos/reccenter/facility/rusticCanyonRC.htm,(310) 230-0137,11,34.040813,-118.514199
Parks,Lookout Point Park,,,,Gaffey,St,,,,,37th,St,,"San Pedro
CA 90731
(33.7124, -118.292)",CA,90731,http://www.laparks.org/dos/parks/facility/lookoutPointPk.htm,(310) 548-7756,15,33.712435,-118.292025
Parks,De Garmo Park,10110,,W,Arminta,St,,,,,,,,"Sun Valley
CA 91352
(34.2147, -118.352)",CA,91352,http://www.laparks.org/dos/parks/facility/deGarmoPk.htm,(818) 506-7456,2,34.214719,-118.352383
Parks,Jaime Beth Slavin Park,7965,,N,Whitsett,Ave,,,,,,,,"Sun Valley
CA 91605
(34.2154, -118.407)",CA,91605,http://www.laparks.org/dos/parks/facility/slavinPk.htm,(818) 506-7456,2,34.215402,-118.407169
Parks,Eddleston Park,11820,,,Reseda,Blvd,,,,,,,,"Northridge
CA 91326
(34.2873, -118.538)",CA,91326,http://www.laparks.org/dos/parks/facility/eddlestonPk.htm,(818) 368-8343,12,34.2872694,-118.5381306
Parks,Howard Finn Park & Community Garden,7747,,,Foothill,Blvd,,,,,,,,"Sunland
CA 91402
(34.2579, -118.301)",CA,91402,http://www.laparks.org/dos/parks/facility/howardFPk.htm,(818) 899-4537,7,34.257932,-118.30072
Parks,Circle Park (5th Ave.),,,,76th,St,,,,,5th,Ave,,"Los Angeles
CA 90043
(33.9709, -118.322)",CA,90043,,(310) 548-7675,8,33.970894,-118.322173
Parks,Martin J. Bogdanovich Park,1920,,,Cumbre,Dr,,,,,,,,"San Pedro
CA 90732
(33.7296, -118.319)",CA,90732,http://www.laparks.org/dos/reccenter/facility/bogdanovichRC.htm,(310) 548-7590,15,33.72958041,-118.3194325
Parks,Vista del Mar Park,8204,,,Vista Del Mar,,,,,,,,,"Playa Del Rey
CA 90293
(33.9446, -118.442)",CA,90293,http://www.laparks.org/dos/parks/facility/vistaDelMarPk.htm,(310) 836-1040,11,33.944558,-118.441713
Parks,Richard Alatorre Park,,,N,Figueroa,St,,,,,,,,"Los Angeles
CA 90041
(34.144, -118.184)",CA,90041,http://www.laparks.org/dos/parks/facility/richardAlatorrePk.htm,(323) 255-0370,14,34.143976,-118.184218
Parks,Highland Park,6150,,,Piedmont,Ave,,,,,,,,"Los Angeles
CA 90042
(34.1135, -118.188)",CA,90042,http://www.laparks.org/dos/reccenter/facility/highlandParkRC.htm,(213) 847-4876,1,34.113477,-118.187954
Parks,Titmouse Park,415,,,Culver,Blvd,,,,,,,,"Playa Del Rey
CA 90293
(33.9611, -118.446)",CA,90293,http://www.laparks.org/dos/parks/facility/titmousePk.htm,(310) 837-8116,11,33.96105353,-118.4460138
Parks,Tommy Lasorda's Field of Dreams,1901,,,Waterloo,St,,,,,,,,"Los Angeles
CA 90039
(34.0907, -118.26)",CA,90039,http://www.laparks.org/dos/reccenter/facility/silverLakeRC.htm,(310) 548-7675,13,34.090671,-118.259926
Parks,Holleigh Bernson Memorial Park,20500,,,Sesnon,Blvd,,,,,,,,"Northridge
CA 91326
(34.293, -118.571)",CA,91326,,,12,34.293003,-118.571202
Parks,Silver Lake Meadows Park,2270,,,Silver Lake,Blvd,,,,,,,,"Los Angeles
CA 90039
(34.0986, -118.261)",CA,90039,,(310) 548-7675,13,34.098621,-118.261095
Parks,Downey Park,1772,,N,Spring,St,,,,,,,,"Los Angeles
CA 90031
(34.0712, -118.223)",CA,90031,http://www.laparks.org/dos/reccenter/facility/downeyRC.htm,(323) 225-7100,1,34.071162,-118.223432
Parks,Los Angeles Plaza Park,125,,,Paseo De La Plaza,,,,,,,,,"Los Angeles
CA 90012
(34.0569, -118.239)",CA,90012,http://www.laparks.org/dos/parks/facility/laPlazaPk.htm,(213) 628-1274,14,34.05692598,-118.2385958
