Insured Name,Contract No.,CA No.,Coverage Type,Effe Date,Exp Date
Pacific Edge Engineering 4,A 14-3249,57135,Professional Liability ,02/09/2014 12:00:00 AM,02/09/2015 12:00:00 AM
Pacific Edge Engineering 4,A 14-3249,57135,General Liability ,02/09/2014 12:00:00 AM,02/09/2015 12:00:00 AM
Pacific Edge Engineering 4,A 14-3249,60769,Workers Compensation,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
Rincon Consultants,A 14-3250,59256,Auto Liability (owned),12/17/2013 12:00:00 AM,12/17/2014 12:00:00 AM
Rincon Consultants,A 14-3250,59393,General Liability ,09/22/2011 12:00:00 AM,09/22/2014 12:00:00 AM
Rincon Consultants,A 14-3250,59393,Auto Liability (hired/non-owned),09/22/2011 12:00:00 AM,09/22/2014 12:00:00 AM
Rincon Consultants,A 14-3250,59393,Professional Liability ,09/22/2011 12:00:00 AM,09/22/2014 12:00:00 AM
Rincon Consultants,A 14-3250,59256,Workers' Compensation (USL&H) ,02/01/2014 12:00:00 AM,02/01/2015 12:00:00 AM
"Leighton Consulting, Inc. 2",A 14-3251,58984,General Liability ,02/14/2014 12:00:00 AM,02/14/2015 12:00:00 AM
"Leighton Consulting, Inc. 2",A 14-3251,58984,Professional Liability,02/14/2014 12:00:00 AM,02/14/2015 12:00:00 AM
"Leighton Consulting, Inc. 2",A 14-3251,50632,Workers' Compensation,09/01/2013 12:00:00 AM,09/01/2015 12:00:00 AM
"Leighton Consulting, Inc. 2",A 14-3251,58984,Auto Liability,02/14/2014 12:00:00 AM,02/14/2015 12:00:00 AM
"Eco & Associates, Inc. 2",A 14-3252,56373,General Liability,01/06/2014 12:00:00 AM,01/06/2015 12:00:00 AM
"Eco & Associates, Inc. 2",A 14-3252,63245,Workers Compensation,06/14/2014 12:00:00 AM,06/14/2015 12:00:00 AM
"Eco & Associates, Inc. 2",A 14-3252,63245,Automobile Liability,06/14/2014 12:00:00 AM,06/14/2015 12:00:00 AM
"Eco & Associates, Inc. 2",A 14-3252,56373,Professional Liability,01/06/2014 12:00:00 AM,01/06/2015 12:00:00 AM
Alvarado Smith,A 14-3255,60610,Workers' Compensation ,03/10/2014 12:00:00 AM,03/10/2015 12:00:00 AM
Alvarado Smith,A 14-3255,60610,Professional Liability ,03/10/2014 12:00:00 AM,03/10/2015 12:00:00 AM
"Granicus, Inc.",A 14-3256,55558,General Liability ,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
California Dining Services,A 14-3262,63703,Property Insurance ,06/21/2014 12:00:00 AM,06/21/2015 12:00:00 AM
California Dining Services,A 14-3262,A 2014 0030,Workers Compensation,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
California Dining Services,A 14-3262,63703,Auto Liability,06/21/2014 12:00:00 AM,06/21/2015 12:00:00 AM
California Dining Services,A 14-3262,63703,Fire Legal Liability,06/21/2014 12:00:00 AM,06/21/2015 12:00:00 AM
California Dining Services,A 14-3262,63703,General Liability ,06/21/2014 12:00:00 AM,06/21/2015 12:00:00 AM
"American Marine Corporation (aka American Divers, Inc.) 5",A 14-3265,65849,Hull & Machinery,07/31/2014 12:00:00 AM,07/31/2015 12:00:00 AM
"American Marine Corporation (aka American Divers, Inc.) 5",A 14-3265,65849,General Liability,07/31/2014 12:00:00 AM,07/31/2015 12:00:00 AM
"American Marine Corporation (aka American Divers, Inc.) 5",A 14-3265,68754,Workers' Compensation,10/21/2014 12:00:00 AM,10/01/2015 12:00:00 AM
"American Marine Corporation (aka American Divers, Inc.) 5",A 14-3265,68754,USL&H,10/21/2014 12:00:00 AM,10/01/2015 12:00:00 AM
"American Marine Corporation (aka American Divers, Inc.) 5",A 14-3265,61076,Automobile Liability,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
"American Marine Corporation (aka American Divers, Inc.) 5",A 14-3265,65849,Protection & Indemnity,07/31/2014 12:00:00 AM,07/31/2015 12:00:00 AM
Los Angeles Maritime Institute 4,A 14-3267,70204,Protection & Indemnity + Jones Act,10/29/2014 12:00:00 AM,10/29/2015 12:00:00 AM
Los Angeles Maritime Institute 4,A 14-3267,70204,Hull & Machinery,10/29/2014 12:00:00 AM,10/29/2015 12:00:00 AM
Los Angeles Maritime Institute 4,A 14-3267,49556,Workers' Compensation ,07/01/2014 12:00:00 AM,07/01/2015 12:00:00 AM
Los Angeles Maritime Institute 4,A 14-3267,67445,General Liability,08/13/2014 12:00:00 AM,08/13/2015 12:00:00 AM
Los Angeles Maritime Institute 4,A 14-3267,67445,Automobile Liability,08/13/2014 12:00:00 AM,08/13/2015 12:00:00 AM
Johannes Grewe K-9 School,A 14-3268,(WAIVED),Workers' Compensation,07/21/2014 12:00:00 AM,01/01/2015 12:00:00 AM
Johannes Grewe K-9 School,A 14-3268,64758,General Liability ,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
Johannes Grewe K-9 School,A 14-3268,65337,Auto Liability ,07/21/2014 12:00:00 AM,01/21/2015 12:00:00 AM
"SA Recycling, LLC 2",A 14-3272,67440,Automobile Liability,10/01/2013 12:00:00 AM,10/01/2014 12:00:00 AM
"SA Recycling, LLC 2",A 14-3272,67440,Workers' Compensation,10/01/2013 12:00:00 AM,10/01/2014 12:00:00 AM
"SA Recycling, LLC 2",A 14-3272,67440,General Liability,10/01/2013 12:00:00 AM,10/01/2014 12:00:00 AM
"APM Terminals Pacific, Ltd. 4",A 14-3273,57676,General Liability,11/01/2013 12:00:00 AM,11/01/2014 12:00:00 AM
"APM Terminals Pacific, Ltd. 4",A 14-3273,57676,Automobile Liability,11/01/2013 12:00:00 AM,11/01/2014 12:00:00 AM
"APM Terminals Pacific, Ltd. 4",A 14-3273,57676,Workers' Compensation,11/01/2013 12:00:00 AM,10/01/2014 12:00:00 AM
Crowell & Moring LLP,A 14-6727A,56367,Workers Compensation,12/13/2013 12:00:00 AM,12/13/2014 12:00:00 AM
Burlington Northern & Santa Fe Railway Co. 2,A 1988,59919,Umbrella Liability,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
Union Pacific Railroad Company (fka) Southern Pacific Transprotation Company,A 1988,SIR,General Liability ,05/29/2014 12:00:00 AM,05/29/2015 12:00:00 AM
Burlington Northern & Santa Fe Railway Co. 2,A 1988,SIR,General Liability,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
Burlington Northern & Santa Fe Railway Co. 2,A 1988,59919,Excess Liability,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
"Pacific Harbor Line, Inc.",A 1989-C,60426,General Liability,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
"Pacific Harbor Line, Inc.",A 1989-C,60426,Railroad Protection Liability,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
"Pacific Harbor Line, Inc.",A 1989-C,60426,Excess Liability,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
"Pacific Harbor Line, Inc.",A 1989-C,60426,Automobile Liability,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
"Pacific Harbor Line, Inc.",A 1989-C,60425,Property Insurance ,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
"Pacific Harbor Line, Inc.",A 1989-C,60426,Pollution Liability,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
"California Yacht Marina-Cabrillo, LLC 1",A 2005-A (CA 791),63271,General Liability,05/31/2014 12:00:00 AM,05/31/2015 12:00:00 AM
"California Yacht Marina-Cabrillo, LLC 1",A 2005-A (CA 791),63271,Ocean Marine Liability,05/31/2014 12:00:00 AM,05/31/2015 12:00:00 AM
"California Yacht Marina-Cabrillo, LLC 1",A 2005-A (CA 791),63271,Fire Legal Liability,05/31/2014 12:00:00 AM,05/31/2015 12:00:00 AM
"California Yacht Marina-Cabrillo, LLC 1",A 2005-A (CA 791),63271,Property Insurance,05/31/2014 12:00:00 AM,05/31/2015 12:00:00 AM
Southern California Edison 2,A 2012,PM 2013 0022,General Liability,04/07/2014 12:00:00 AM,04/07/2015 12:00:00 AM
"Paragon Partners, Ltd.",A 2242,55452,General Liability ,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
"Paragon Partners, Ltd.",A 2242,55452,Workers' Compensation ,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
"Paragon Partners, Ltd.",A 2242,63579,Professional Liability,05/22/2014 12:00:00 AM,05/22/2015 12:00:00 AM
"Paragon Partners, Ltd.",A 2242,55452,Auto Liability ,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
URS Corporation Americas 1,A 2306-B,67200,Professional Liability,09/01/2014 12:00:00 AM,09/01/2015 12:00:00 AM
URS Corporation Americas 1,A 2306-B,67200,General Liability,09/01/2014 12:00:00 AM,09/01/2015 12:00:00 AM
URS Corporation Americas 1,A 2306-B,67200,Workers' Compensation,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
"Parking Concepts, Inc. ",A 2388,62578,Fire Legal Liability,06/01/2014 12:00:00 AM,06/01/2015 12:00:00 AM
"Parking Concepts, Inc. ",A 2388,62578,General Liability,06/01/2014 12:00:00 AM,06/01/2015 12:00:00 AM
"Parking Concepts, Inc. ",A 2388,62578,Automobile Liability,06/01/2014 12:00:00 AM,06/01/2015 12:00:00 AM
YWCA of Harbor Area ,A 2515,A 2014 0007,Professional Liability ,12/30/2013 12:00:00 AM,12/30/2014 12:00:00 AM
YWCA of Harbor Area ,A 2515,A 2014 0007,General Liability ,12/30/2013 12:00:00 AM,12/30/2014 12:00:00 AM
YWCA of Harbor Area ,A 2515,A 2014 0007,Automobile Liability,12/30/2013 12:00:00 AM,12/30/2014 12:00:00 AM
YWCA of Harbor Area ,A 2515,A 2014 0006,Workers' Compensation,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
YWCA of Harbor Area ,A 2515,A 2014 0007,Fire Legal Liability ,12/30/2013 12:00:00 AM,12/30/2014 12:00:00 AM
"Nippon Express USA, Inc. 1",A 2540,54834,Automobile Liability,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
"Nippon Express USA, Inc. 1",A 2540,54834,General Liability,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
"Nippon Express USA, Inc. 1",A 2540,54834,Workers' Compensation,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
Nippon Yusen Kabushiki Kaisha (NYK),A 2543,,Ocean Marine Liability,,01/01/2000 12:00:00 AM
Calko Transport Company,A 2590,A 2014 0046,Workers' Compensation,09/01/2014 12:00:00 AM,09/01/2015 12:00:00 AM
Calko Transport Company,A 2590,67108,Automobile Liability,09/01/2014 12:00:00 AM,09/01/2015 12:00:00 AM
Calko Transport Company,A 2590,54301,General Liability,12/01/2013 12:00:00 AM,12/01/2014 12:00:00 AM
California Cartage Co. 3,A 2596,66428,Workers' Compensation,08/31/2014 12:00:00 AM,08/31/2015 12:00:00 AM
California Cartage Co. 3,A 2596,66428,Automobile Liability,08/31/2014 12:00:00 AM,08/31/2015 12:00:00 AM
California Cartage Co. 3,A 2596,66428,General Liability,08/31/2014 12:00:00 AM,08/31/2015 12:00:00 AM
JBA Company,A 2597,32230,Automobile Liability,07/15/2012 12:00:00 AM,07/15/2013 12:00:00 AM
JBA Company,A 2597,32230,General Liability ,07/15/2012 12:00:00 AM,07/15/2013 12:00:00 AM
JBA Company,A 2597,29448,Workers Compensation,05/15/2012 12:00:00 AM,05/15/2013 12:00:00 AM
"Southern Counties Express, LLC 1",A 2598,66213,Workers' Compensation,08/01/2014 12:00:00 AM,08/01/2015 12:00:00 AM
"Southern Counties Express, LLC 1",A 2598,66213,Automobile Liability,08/01/2014 12:00:00 AM,08/01/2015 12:00:00 AM
"Southern Counties Express, LLC 1",A 2598,66213,General Liability,08/01/2014 12:00:00 AM,08/01/2015 12:00:00 AM
"Chevron USA, Inc. 2",A 2599,57640,Automobile Liability,03/01/2014 12:00:00 AM,03/01/2015 12:00:00 AM
"Chevron USA, Inc. 2",A 2599,57640,General Liability ,03/01/2014 12:00:00 AM,03/01/2015 12:00:00 AM
"Total Transportation Services, Inc.",A 2600,A 2014 0025,Automobile Liability,03/01/2014 12:00:00 AM,03/01/2015 12:00:00 AM
"Total Transportation Services, Inc.",A 2600,A 2014 0025,General Liability ,03/01/2014 12:00:00 AM,03/01/2015 12:00:00 AM
"Total Transportation Services, Inc.",A 2600,A 2013 0090,Workers' Compensation ,11/02/2013 12:00:00 AM,11/02/2014 12:00:00 AM
"KW International, Inc.",A 2605,49900,Automobile Liability,08/31/2013 12:00:00 AM,08/31/2014 12:00:00 AM
"Nippon Express USA, Inc. 2",A 2606,54834,Automobile Liability,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
"Nippon Express USA, Inc. 2",A 2606,54834,General Liability,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
"Nippon Express USA, Inc. 2",A 2606,54834,Workers' Compensation,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
Sony Electronics Inc.,A 2647,62321,Automobile Liability,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
Sony Electronics Inc.,A 2647,62321,General Liability,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
Sony Electronics Inc.,A 2647,62321,Workers' Compensaton,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
Cascade Sierra Solutions,A 2683,50051,General Liability,09/28/2013 12:00:00 AM,09/28/2014 12:00:00 AM
Cascade Sierra Solutions,A 2683,50051,Automobile Liability,09/28/2013 12:00:00 AM,09/28/2014 12:00:00 AM
Cascade Sierra Solutions,A 2683,50051,Workers' Compensation,09/28/2013 12:00:00 AM,09/28/2014 12:00:00 AM
"Green Fleet Systems, LLC",A 2684,56435,Automobile Liability,01/25/2014 12:00:00 AM,01/25/2015 12:00:00 AM
"Pacific 9 Transportation, Inc.",A 2685,44812,Automobile Liability,05/17/2013 12:00:00 AM,05/17/2014 12:00:00 AM
"Pacific 9 Transportation, Inc.",A 2685,A 2013 0159,Workers Compensation,10/01/2013 12:00:00 AM,10/01/2014 12:00:00 AM
"Pacific 9 Transportation, Inc.",A 2685,44812,General Liability,05/17/2013 12:00:00 AM,05/17/2014 12:00:00 AM
"CH2M Hill, Inc. 4",A 2706-A,60626,Workers' Compensation,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
"CH2M Hill, Inc. 4",A 2706-A,60626,Professional Liability,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
"CH2M Hill, Inc. 4",A 2706-A,60626,General Liability,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
"CH2M Hill, Inc. 4",A 2706-A,60626,Automobile Liability,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
"Howard Hartry, Inc.",A 2729,60157,Workers Compensation,04/07/2014 12:00:00 AM,04/07/2015 12:00:00 AM
"Howard Hartry, Inc.",A 2729,66622,General Liability,09/01/2014 12:00:00 AM,09/01/2015 12:00:00 AM
"Howard Hartry, Inc.",A 2729,62485,Automobile Liability,06/27/2014 12:00:00 AM,06/27/2015 12:00:00 AM
"Norbridge, Inc. 3",A 3129,65899,General Liability,08/05/2014 12:00:00 AM,08/05/2015 12:00:00 AM
"Norbridge, Inc. 3",A 3129,65899,Professional Liability,08/05/2014 12:00:00 AM,08/05/2015 12:00:00 AM
"Norbridge, Inc. 3",A 3129,65899,Workers' Compensation,08/05/2014 12:00:00 AM,08/05/2015 12:00:00 AM
"Norbridge, Inc. 3",A 3129,65899,Automobile Liability,08/05/2014 12:00:00 AM,08/05/2015 12:00:00 AM
"Mutual Liquid Gas & Equipment Co., Inc. dba Mutual Propane",A 31609-14,69896,Pollution Liability,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
"Mutual Liquid Gas & Equipment Co., Inc. dba Mutual Propane",A 31609-14,69896,Automobile Liability,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
"Mutual Liquid Gas & Equipment Co., Inc. dba Mutual Propane",A 31609-14,69896,General Liability,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
"Mutual Liquid Gas & Equipment Co., Inc. dba Mutual Propane",A 31609-14,69896,Workers' Compensaton,10/01/2014 12:00:00 AM,10/01/2015 12:00:00 AM
"Mutual Liquid Gas & Equipment Co., Inc. dba Mutual Propane",A 31609-14,69896,Excess Liability,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
"Maxima Group, LLC",A E6530,(WAIVED),Workers' Compensation,07/09/2014 12:00:00 AM,07/09/2015 12:00:00 AM
"Maxima Group, LLC",A E6530,A 2014 0015,Automobile Liability,03/04/2014 12:00:00 AM,09/04/2014 12:00:00 AM
"Maxima Group, LLC",A E6530,64773,General Liability ,07/18/2014 12:00:00 AM,07/18/2015 12:00:00 AM
"Allied Protection Services, Inc.",A E6659,A 2013 0066,Auto Liability,12/09/2012 12:00:00 AM,12/09/2013 12:00:00 AM
"Allied Protection Services, Inc.",A E6659,46923,Workers Compensation,11/23/2012 12:00:00 AM,11/23/2013 12:00:00 AM
"Allied Protection Services, Inc.",A E6659,46923,General Liability,06/19/2013 12:00:00 AM,06/19/2014 12:00:00 AM
eBid Systems,A E6671,54160,Workers' Compensation,12/08/2013 12:00:00 AM,12/08/2014 12:00:00 AM
eBid Systems,A E6671,54160,Professional Liability,12/08/2013 12:00:00 AM,12/08/2014 12:00:00 AM
eBid Systems,A E6671,54160,General Liability,12/08/2013 12:00:00 AM,12/08/2014 12:00:00 AM
eBid Systems,A E6671,54160,Automobile Liability,12/08/2013 12:00:00 AM,12/08/2014 12:00:00 AM
Norris Realty Advisors 1,A E6672,57328,Automobile Liability,01/31/2014 12:00:00 AM,01/31/2015 12:00:00 AM
Norris Realty Advisors 1,A E6672,57328,General Liability,02/01/2014 12:00:00 AM,02/01/2015 12:00:00 AM
Norris Realty Advisors 1,A E6672,A 2014 0047,Workers Compensation,09/01/2014 12:00:00 AM,09/01/2015 12:00:00 AM
"Knight Communications, Inc.",A E6684,53012,Professional Liability,11/04/2013 12:00:00 AM,11/04/2014 12:00:00 AM
"CoachSource, LLC",A E6686,59199,Automobile Liability,02/15/2014 12:00:00 AM,02/15/2015 12:00:00 AM
"CoachSource, LLC",A E6686,59199,Workers' Compensation ,02/15/2014 12:00:00 AM,02/15/2015 12:00:00 AM
"CoachSource, LLC",A E6686,59199,General Liability,02/15/2014 12:00:00 AM,02/15/2015 12:00:00 AM
"Meckler Bulger Tilson Marick & Pearson, LLP",A E6700,65568,General Liability,06/30/2014 12:00:00 AM,06/30/2015 12:00:00 AM
"Meckler Bulger Tilson Marick & Pearson, LLP",A E6700,65568,Workers' Compensation,06/30/2014 12:00:00 AM,06/30/2015 12:00:00 AM
Harbor Breeze Corp. 2,A E6701,55000,Hull & Machinery,12/16/2013 12:00:00 AM,12/16/2014 12:00:00 AM
Harbor Breeze Corp. 3,A E6702,55000,Hull & Machinery,12/16/2013 12:00:00 AM,12/16/2014 12:00:00 AM
Angel City Press,A E6703,56575,General Liability,01/20/2014 12:00:00 AM,01/20/2015 12:00:00 AM
Angel City Press,A E6703,56575,Automobile Liability,01/20/2014 12:00:00 AM,01/20/2015 12:00:00 AM
Integra Realty Resources,A E6707,69555,General Liability,10/29/2014 12:00:00 AM,10/29/2015 12:00:00 AM
Integra Realty Resources,A E6707,65164,Workers Compensation,08/13/2014 12:00:00 AM,08/13/2015 12:00:00 AM
Integra Realty Resources,A E6707,69555,Auto Liability,10/29/2014 12:00:00 AM,10/29/2015 12:00:00 AM
Michael Justice Photography,A E6716,60162,Automobile Liability,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
Michael Justice Photography,A E6716,60162,General Liability ,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
"Mercer Group, Inc., The",A E6720,57423,General Liability,02/06/2014 12:00:00 AM,02/06/2015 12:00:00 AM
"Mercer Group, Inc., The",A E6720,57423,Workers Compensation,07/14/2013 12:00:00 AM,07/14/2014 12:00:00 AM
"Mercer Group, Inc., The",A E6720,57423,Automobile Liability,02/06/2014 12:00:00 AM,02/06/2015 12:00:00 AM
Anastasino Papadakis (dba) Taso Papadakis Photography,A E6721,64049,General Liability,01/05/2014 12:00:00 AM,01/05/2015 12:00:00 AM
Anastasino Papadakis (dba) Taso Papadakis Photography,A E6721,64049,Automobile Liability,01/05/2014 12:00:00 AM,01/05/2015 12:00:00 AM
Stanzler Law Group,A E6723,65665,Workers' Compensation ,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
NexLevel Information Technology,A E6731,62151,General Liability,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
NexLevel Information Technology,A E6731,62151,Workers' Compensation,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
NexLevel Information Technology,A E6731,62151,Professional Liability,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
NexLevel Information Technology,A E6731,62151,Automobile Liability,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
Trinus Corporation 3,A E6734,55565,General Liability,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
Trinus Corporation 3,A E6734,55565,Automobile Liability,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
Trinus Corporation 3,A E6734,55565,Workers' Compensation,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
Draw Events LLC,A E6737,52478,Auto Liability,10/25/2013 12:00:00 AM,10/25/2014 12:00:00 AM
Draw Events LLC,A E6737,(WAIVED),Workers' Compensation,,10/25/2014 12:00:00 AM
Draw Events LLC,A E6737,52478,General Liability ,10/25/2013 12:00:00 AM,10/25/2014 12:00:00 AM
"Leidos, Inc. 2",A E6743,59511,Workers' Compensation ,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
"Leidos, Inc. 2",A E6743,59511,General Liability,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
"Leidos, Inc. 2",A E6743,51200,Professional Liability ,09/28/2013 12:00:00 AM,09/28/2014 12:00:00 AM
"Leidos, Inc. 2",A E6743,59511,Automobile Liability,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
CDUSH,A E6744,A 2014 0041,General Liability,07/01/2014 12:00:00 AM,06/30/2015 12:00:00 AM
CDUSH,A E6744,165678 / 165678A,Workers' Compensation,07/01/2014 12:00:00 AM,06/30/2015 12:00:00 AM
California State University Dominguez Hills,A E6744,A 2014 0041,Workers' Compensation,07/01/2014 12:00:00 AM,06/30/2015 12:00:00 AM
California State University Dominguez Hills,A E6744,A 2014 0041,General Liability,07/01/2014 12:00:00 AM,06/30/2015 12:00:00 AM
Robert Manciero dba Full Vision Productions,A E6745,61737,Automobile Liability,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
Robert Manciero dba Full Vision Productions,A E6745,61737,General Liability,04/01/2014 12:00:00 AM,04/01/2015 12:00:00 AM
"Jackson, DeMarco, Tidus & Peckenpaugh",A E6750,65684,Professional Liability ,08/01/2014 12:00:00 AM,08/01/2015 12:00:00 AM
"Jackson, DeMarco, Tidus & Peckenpaugh",A E6750,66586,Workers' Compensation ,09/01/2014 12:00:00 AM,09/01/2015 12:00:00 AM
"Loy, Anthoney dba Loy Consulting",A E6752,62683,General Liability,05/29/2014 12:00:00 AM,05/29/2015 12:00:00 AM
Anthony Loy (dba) Loy Consulting / Loy Consulting Insurance Services / The Loy Company,A E6752,62683,Workers' Compensation,05/30/2014 12:00:00 AM,05/30/2015 12:00:00 AM
"Loy, Anthoney dba Loy Consulting",A E6752,62683,Auto Liability,05/29/2014 12:00:00 AM,05/29/2015 12:00:00 AM
Anthony Loy (dba) Loy Consulting / Loy Consulting Insurance Services / The Loy Company,A E6752,62683,Auto Liability ,05/29/2014 12:00:00 AM,05/29/2015 12:00:00 AM
Anthony Loy (dba) Loy Consulting / Loy Consulting Insurance Services / The Loy Company,A E6752,62683,General Liability ,05/29/2014 12:00:00 AM,05/29/2015 12:00:00 AM
"Parsons Constructors, Inc.",A E6753,63234,Auto Liability,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
"Parsons Constructors, Inc.",A E6753,63234,Workers' Compensation,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
"Parsons Constructors, Inc.",A E6753,63234,General Liability,01/01/2014 12:00:00 AM,01/01/2015 12:00:00 AM
"Fireworks & Stage FX America, Inc. 4",A E6756,63877,Auto Liability,01/11/2014 12:00:00 AM,01/11/2015 12:00:00 AM
"Fireworks & Stage FX America, Inc. 4",A E6756,A 2014 0040,Workers' Compensation,06/01/2014 12:00:00 AM,06/01/2015 12:00:00 AM
"Fireworks & Stage FX America, Inc. 4",A E6756,63877,General Liability,01/11/2014 12:00:00 AM,01/11/2015 12:00:00 AM
"Fireworks & Stage FX America, Inc. 4",A E6756,63877,Pyrotechnics Liability,01/11/2014 12:00:00 AM,01/11/2015 12:00:00 AM
"Posthole Digger, Inc. 2",A E6758,68620,Railroad Liability,09/30/2014 12:00:00 AM,09/30/2015 12:00:00 AM
"Posthole Digger, Inc. 2",A E6758,63604,Automobile Liability,12/19/2013 12:00:00 AM,12/19/2014 12:00:00 AM
"Posthole Digger, Inc. 2",A E6758,68620,General Liability ,09/30/2014 12:00:00 AM,09/30/2015 12:00:00 AM
"American Marine Corporation (aka American Divers, Inc.) 4",A E6759,68754,Workers' Compensation,10/21/2014 12:00:00 AM,10/01/2015 12:00:00 AM
"American Marine Corporation (aka American Divers, Inc.) 4",A E6759,65849,General Liability,07/31/2014 12:00:00 AM,07/31/2015 12:00:00 AM
"American Marine Corporation (aka American Divers, Inc.) 4",A E6759,65849,Hull & Machinery,07/31/2014 12:00:00 AM,07/31/2015 12:00:00 AM
"American Marine Corporation (aka American Divers, Inc.) 4",A E6759,65849,Protection & Indemnity,07/31/2014 12:00:00 AM,07/31/2015 12:00:00 AM
"American Marine Corporation (aka American Divers, Inc.) 4",A E6759,68754,USL&H,10/21/2014 12:00:00 AM,10/01/2015 12:00:00 AM
"American Marine Corporation (aka American Divers, Inc.) 4",A E6759,61076,Automobile Liability,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
"Rypos, Inc.",A E6761,63632,Auto Liability,06/16/2015 12:00:00 AM,06/16/2015 12:00:00 AM
"Rypos, Inc.",A E6761,62625,Pollution Liability ,05/08/2014 12:00:00 AM,05/08/2015 12:00:00 AM
"Rypos, Inc.",A E6761,63632,General Liability,06/16/2015 12:00:00 AM,06/16/2015 12:00:00 AM
"Rypos, Inc.",A E6761,63632,Workers' Compensation + USL&H,06/16/2015 12:00:00 AM,06/16/2015 12:00:00 AM
"Lea Associates, Inc.",A E6762,70690,Automobile Liability,08/23/2014 12:00:00 AM,08/23/2015 12:00:00 AM
"Lea Associates, Inc.",A E6762,50499,General Liability ,08/23/2014 12:00:00 AM,08/23/2015 12:00:00 AM
"Lea Associates, Inc.",A E6762,50471,Workers' Compensation ,08/24/2013 12:00:00 AM,08/24/2014 12:00:00 AM
"Acquatic Education & Enrichment, LLC",A E6763,66594,Auto Liability,08/13/2014 12:00:00 AM,08/14/2015 12:00:00 AM
"Acquatic Education & Enrichment, LLC",A E6763,66594,General Liability ,08/13/2014 12:00:00 AM,08/13/2015 12:00:00 AM
"Acquatic Education & Enrichment, LLC",A E6763,(WAIVED),Workers' Compensation,,08/13/2015 12:00:00 AM
"Kaye Scholer, LLP",A E6764,A 2014 0051,Workers' Compensation,05/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM
"Kaye Scholer, LLP",A E6764,A 2014 0052,Professional Liability,10/01/2015 12:00:00 AM,10/01/2015 12:00:00 AM
"James K. Wallace, Marine Surveyor",A E6767,A 2014 0039,Automobile Liability,04/29/2014 12:00:00 AM,12/16/2014 12:00:00 AM
