Lobbying Firm,Client Prefix,Client First Name,Client Middle,Client Last Name,Client Suffix,Report Quarter,Report Year,Project,Reference Number,Reference Number Type,Project Location,City Agencies Lobbied,Lobbying Firm Quarterly Report
Fisher Associates Inc.,,,,2345 Gaffey LLC ,,2,2013,"Tract Map, Zone Variance and Revocable Permit",,,2345 Gaffey,"Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15498
Fisher Associates Inc.,,,,"Kuhr Properties, LLC",,2,2013,"Zone Change, Zone Variance and Zoning Administrator Adjustment",,,26378 S. Vermont Avenue,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15498
McCarty Co LLC,,,,Avalon Bay Communities Inc,,2,2013,Matsu,B07VN15642,APC,236 S. Los Angeles Street,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety | Community Redevelopment Agency (CRA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15514
McCarty Co LLC,,,,"GH Palmer Assoc (Palmer/Flower Street Properties, LP)",,2,2013,Da Vinci apartments,2006-8018,APC,909 Temple,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15514
McCarty Co LLC,,,,L&R Parking,,2,2013,Zone Variance for Restaurant Building ,,APC,1455 N. Alvarado Street,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15514
McCarty Co LLC,,,,Medical Asset Management,,2,2013,Tarzana Medical Atrium,2010-2313,APC,5411 Etiwanda,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15514
McCarty Co LLC,,,,Medical Asset Management,,2,2013,Tarzana Medical Office Building,,,5411 Etiwanda ,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15514
McCarty Co LLC,,,,"Outback Steakhouse, Inc.",,2,2013,Bonefish Grill,2013-313,APC,9301 Tampa,Building and Safety,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15514
McCarty Co LLC,,,,Sares Regis Group/Michael J. Wnter,,2,2013,Landmarc Apartments,B11LA10588,APC,20600 Ventura Blvd,Building and Safety,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15514
McCarty Co LLC,,,,State Bar of California,,2,2013,Tenant Improvement,B13LA04047,APC,845 S. Figueroa Street,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15514
McCarty Co LLC,,,,Wood Partners,,2,2013,Eton Aprtments,B11LA02473,APC,6701 N. Eton Avenue,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15514
Gaines & Stacey LLP,,,,M&A Gabaee,,2,2013,Bellagio,2012-1402,APC,10550 W. Bellagio Road,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15512
Gaines & Stacey LLP,,,,M&A Gabaee,,2,2013,Sunset Project,,,16990-17000 W. Sunset Boulevard,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15512
McCarty Co LLC,,,,"Camden USA, Inc.",,2,2013,SELMA & VINE HOLLYWOOD,B13LA02657,APC,1540 N. Vine Street,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety | Community Redevelopment Agency (CRA) | Fire (LAFD) | Information Technology Agency (ITA) | Planning, City | Police (LAPD) | Public Works, Board of | Public Works, Contract Administration | Public Works, Engineering | Public Works, Sanitation | Public Works, Street Lighting | Public Works, Street Services | Recreation & Parks | Transportation (LADOT, DOT) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15514
McCarty Co LLC,,,,"PPC Land Ventures, Inc.",,2,2013,,B13LA07358,APC,11024 Strathmore Drive,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety | Fire (LAFD) | Housing and Community Investment | Planning, City | Police (LAPD) | Public Works, Engineering | Public Works, Sanitation | Public Works, Street Lighting | Public Works, Street Services | Recreation & Parks | Transportation (LADOT, DOT) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15514
McCarty Co LLC,,,,Skid Row Housing Trust,,2,2013,Star Apartments,,,Lot Line Adjustment,"City Council (incl. Districts and Committees) | Building and Safety | Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15514
Arnie Berghoff & Associates,,,,American Medical Response of So. California (AMR),,2,2013,Representation of client to the City of Los Angeles; monitor and report relevant government issues,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Chief Administrative Officer (CAO) | Chief Legislative Analyst (CLA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15531
Arnie Berghoff & Associates,,,,Cisco Systems Inc,,2,2013,Various information technology issues,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15531
Donald R. Spivack,,,,Liberty Hill Foundation ,,2,2013,Cumulative Impacts Policy,N/A,APC,N/A,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15536
"Alpert Barr & Grant, A Professional Law Corporation",,,,Geosyntec Consultants,,2,2013,LADWP contract,,,,Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15538
"Alpert Barr & Grant, A Professional Law Corporation",,,,"North Hollywood Industrial, LLC By:  IDS Real Estate Group",,2,2013,North Hollywood Project - LADWP license agreement,,,,Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15538
"Alpert Barr & Grant, A Professional Law Corporation",,,,"Playa Capital Company, LLC",,2,2013,LADWP issues,,,,Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15538
"Alpert Barr & Grant, A Professional Law Corporation",,,,Scatec Solar,,2,2013,LADWP contracts,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15538
"Alpert Barr & Grant, A Professional Law Corporation",,,,Shubin-Nadal Realty Investors,,2,2013,LADWP contracts,,,,Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15538
"Alpert Barr & Grant, A Professional Law Corporation",,,,Shubin-Nadal Realty Investors,,2,2013,Real Estate Purchase/Sale Agreement,,,,Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15538
"Alpert Barr & Grant, A Professional Law Corporation",,,,"SODA MOUNTAIN SOLAR, LLC",,2,2013,SODA MOUNTAIN SOLAR PROJECT,,,,"Mayor, Office of | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15538
Gaines & Stacey LLP,,Richard,,Weintruab,,2,2013,De Soto,69061,APC,6205-6219 De Soto,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15512
JK Land Use Consulting,,,,Lincoln Property Company,,2,2013,Runway - Stage I & II,,,Playa Vista,"Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15555
Armbruster Goldsmith & Delvac LLP,,,,Associated Estates,,2,2013,Desmonds Tower,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15582
Armbruster Goldsmith & Delvac LLP,,,,Associated Estates,,2,2013,Warner Center,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15582
Gaines & Stacey LLP,,,,Anderson & Swanson,,2,2013,,06-0218,,"1706 S. Figueroa, Los Angeles",City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15512
Gaines & Stacey LLP,,Dan,,Hosseini,,2,2013,,2011-2528,APC,"19923 Ventura Boulevard, Woodland Hills","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15512
Gaines & Stacey LLP,,,,Vons,,2,2013,,,,"7311 N. Figueroa St., Eagle Rock",City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15512
Afriat Consulting Group Inc,,,,Angelenos for Safe Access Committee,,2,2013,Assist client with issues regarding legislation pertaining to medical marijuana regulation,,,City of Los Angeles,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,"512 Perugia Way, LLC",,2,2013,Assist client with obtaining permits to develop a single family home,,,1500 Gilcrest Drive,City Council (incl. Districts and Committees) | Dept of Neighborhood Empowerment (DONE) | Neighborhood Councils,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,ACE of California,,2,2013,Legislation that pertains to the adult entertainment industry,,,Los Angeles,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,Beverly La Cienega LLC,,2,2013,Assist client with gaining City Council support for development project,,,316-320 N. La Cienega Blvd.,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,Atlas Iron & Metal Company,,2,2013,Assist client with issues regarding possible annexation into the City of Los Angeles ,,,10019 S. Alameda St.,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
"Brownstein Hyatt Farber Schreck, LLP",,,,Perpetual Real Estate Partners LP,,2,2013,entitlement and permitting,,,,"City Attorney, Office of | Building and Safety | City Clerk | Housing and Community Investment | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15591
Gaines & Stacey LLP,,,,"Sherman Way West Hills Partners, LLC",,2,2013,,ENV-2012-1147,APC,23200 West Sherman Way,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15512
Afriat Consulting Group Inc,,,,Anthem Blue Cross,,2,2013,Assist client with RFP for renewal of health benefits contract,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Personnel",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,"SM 10000 Property, LLC",,2,2013,Assist client with entitlements and community outreach,,,"10000 Santa Monica Blvd., Los Angeles","City Council (incl. Districts and Committees) | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,"CH Acquisitions 2, LLC",,2,2013,Assist client with issues regarding the property known as the Hollywood Palladium,,,6215 Sunset Blvd.,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety | Neighborhood Councils | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,Clear Channel Outdoor,,2,2013,Assist with securing permits and other issues regarding outdoor advertising,,,Various locations,"Mayor, Office of | City Attorney, Office of | City Council (incl. Districts and Committees) | Building and Safety | Neighborhood Councils",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,"MCLV Properties, LLC c/o Genton Property Group",,2,2013,Assist client with community and political outreach,,,Property located at Wetherly and Third Street,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,Genton Property Group,,2,2013,Assist client with issues regarding potential project,,,11950 Missouri Ave.,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,Jonathan Hausman & ,,Danielle E. Miller,,2,2013,Assist client with issues regarding building permits,,,2629 Mandeville Canyon Rd.,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,Health Advocates,,2,2013,Assist client with parking lease for City owned property,,,14651 Oxnard Street and 14600 Aetna Street,City Council (incl. Districts and Committees) | Chief Legislative Analyst (CLA),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,"Century City Realty, LLC",,2,2013,Assist client with entitlements and political outreach ,,,"1950 Avenue of the Stars, Century City","Mayor, Office of | City Council (incl. Districts and Committees) | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,Bruce & Martha,,Karsh,,2,2013,Assist client with various issues,,,"9933, 9937 and 9941 Tower Lane in Benedict Canyon",City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,"Philena Properties, L.P.",,2,2013,Assist client with entitlements and community outreach for a mixed use development,,,Bundy/Olympic Expo Line Station,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,"Consolidated Disposal Service, L.L.C.",,2,2013,Assist client with issues regarding city legislation that will impact the waste industry ,,,City of Los Angeles,"Mayor, Office of | City Council (incl. Districts and Committees) | Public Works, Board of | Public Works, Sanitation",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,"Browning-Ferris Industries of California, Inc. ",,2,2013,Assist with community outreach and other issues related to the property known as Sunshine Canyon,,,14747 San Fernando Road,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,Wal-Mart Stores Inc.,,2,2013,Assist client with issues regarding existing locations and potential new locations,,,City of Los Angeles,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,"WERWER One Thousand, LLC",,2,2013,Assist client with research and issues pertaining to a Request for Proposal ,,,Property known as Pico House - Downtown Los Angeles,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,"Sportsmen's Lodge REW, LLC",,2,2013,Assist client with various issues with regard to their property,,,12833 Ventura Blvd.,"City Attorney, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
"Englander, Knabe and Allen",,,,American Golf Corporation,,2,2013,Recs and parks,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
Afriat Consulting Group Inc,,,,"REW De Soto Partners, LLC",,2,2013,Assist client with Quimby Fee issues,69061-M1-1A,APC,6205-6219 De Soto Ave,"City Attorney, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
Afriat Consulting Group Inc,,,,"Westside Coalition, Inc.",,2,2013,Assist with issues relating to an area-wide system for crime prevention and traffic monitoring,,,Century City and surrounding communities,"City Council (incl. Districts and Committees) | Police (LAPD) | Public Works, Board of | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15478
"Englander, Knabe and Allen",,,,"Xerox Business Services, LLC and its Affiliates",,2,2013,LA Parking Citations Contract,,,,"Mayor, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,"Xerox Business Services, LLC and its Affiliates",,2,2013,LA Parking Citations Contract,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,"Avaya, Inc.",,2,2013,Communications Network ,,,,"Mayor, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,BNSF Railway Company,,2,2013,SCIG,,,,"Mayor, Office of | City Attorney, Office of | City Council (incl. Districts and Committees) | Harbor (Port of LA, POLA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,CALTROP,,2,2013,Construction Management Services,,,,"Harbor (Port of LA, POLA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,City of Ontario,,2,2013,Regional Airport Development,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Airports, Los Angeles World (LAWA, LAX)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,Clay Lacy Aviation,,2,2013,Van Nuys Airport Lease,,,,"Mayor, Office of | City Attorney, Office of | City Council (incl. Districts and Committees) | Airports, Los Angeles World (LAWA, LAX)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,Coalition to Save the Westside,,2,2013,Century City Development Project,,,,"Mayor, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,Coca Cola Bottling USA,,2,2013,Beverage Legislation,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,"Crews of California, Inc.",,2,2013,LAX Concessions,,,,"Mayor, Office of | City Attorney, Office of | City Council (incl. Districts and Committees) | Airports, Los Angeles World (LAWA, LAX)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,"Dominion Voting Systems, Inc.",,2,2013,Voting System,,,,City Clerk,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,Dragados USA,,2,2013,Sanitation project with Dept. of Public Works,,,,"Mayor, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,Enterprise Rent-A-Car Company of Los Angeles,,2,2013,LAWA procurements,,,,"Mayor, Office of | City Attorney, Office of | Controller, Office of | City Council (incl. Districts and Committees) | Transportation (LADOT, DOT) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,Envista Corporation,,2,2013,Right of way software,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Fire (LAFD) | Information Technology Agency (ITA) | Police (LAPD) | Public Works, Board of | Public Works, Contract Administration | Public Works, Engineering | Public Works, Sanitation | Public Works, Street Services | Transportation (LADOT, DOT) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,Greater California Livery Association,,2,2013,LAX ground transportation program and policies,,,,"Airports, Los Angeles World (LAWA, LAX)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,Harbor Trucking Association,,2,2013,Transportation / Trucking,,,,"Harbor (Port of LA, POLA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,IBM Corporation,,2,2013,LADWP ERP Project,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Chief Administrative Officer (CAO) | Chief Legislative Analyst (CLA) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,"IMPEX Technologies, Inc.",,2,2013,Technology hardware sales and engineering,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,JCDecaux North America,,2,2013,Airport Advertising,,,,"Mayor, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,McArthurGlen Group,,2,2013,Ports of call and retail development,,,,"Mayor, Office of | City Attorney, Office of | City Council (incl. Districts and Committees) | Harbor (Port of LA, POLA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,"Motorola, Inc.",,2,2013,Public Safety,,,,"Mayor, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,"National Strategies, LLC on behalf of CityScan",,2,2013,Code enforcement,,,,"City Council (incl. Districts and Committees) | Building and Safety | Public Works, Street Services",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,Official Police Garage Assn of LA,,2,2013,Police Garages/Towing,,,,"Mayor, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,Project Frog,,2,2013,Green Building Mfg.,,,,"Harbor (Port of LA, POLA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,Standard Parking,,2,2013,LA City Parkiing Lots and Garages,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
Gaines & Stacey LLP,,,,Community Recycling,,2,2013,,2006-6373,APC,"9189 De Garmo Avenue, Sun Valley","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15512
Gaines & Stacey LLP,,,,Keyes Automotive,,2,2013,Keyes Automotive,2012-2081,APC,5949 Van Nuys Boulevard,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15512
"Englander, Knabe and Allen",,,,"Total Transportation Services, Inc. - TTSI",,2,2013,Zero Emission Trucks,,,,"Harbor (Port of LA, POLA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
Gaines & Stacey LLP,,,,Snowball West Investment LP,,2,2013,Snowball,69976,APC,La Tuna Canyon Road,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15512
"Englander, Knabe and Allen",,,,"TRC Solutions, Inc.",,2,2013,Engineering and Environmental Projects,,,,"City Council (incl. Districts and Committees) | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,Vision Motor Corp.,,2,2013,Zero Emission Trucks,,,,"Harbor (Port of LA, POLA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,Waste Management Inc.,,2,2013,Solid Waste and Recycling,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Public Works, Sanitation",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,"Westfield Concession Management, Inc.",,2,2013,LAWA Concessions,,,LAX,"Mayor, Office of | City Attorney, Office of | City Council (incl. Districts and Committees) | Airports, Los Angeles World (LAWA, LAX) | Chief Administrative Officer (CAO)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,Xerox Corporation,,2,2013,Print Services,,,,"City Attorney, Office of | Information Technology Agency (ITA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,"XpresSpa Holdings, LLC",,2,2013,Permitting,,,,"Airports, Los Angeles World (LAWA, LAX) | Building and Safety | Planning, City | Police (LAPD)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,"Active Networks, Inc.",,2,2013,Marketing,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,Official Police Garage Assn of LA,,2,2013,Public Safety and Traffic Management,,,,"Mayor, Office of | City Council (incl. Districts and Committees)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
"Englander, Knabe and Allen",,,,William Blair,,2,2013,Infrastructure/Public Private Partnerships,,,,"Mayor, Office of | Chief Administrative Officer (CAO)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15596
Handelman Consulting Inc,,,,Alliance Residential Company,,2,2013,Fairfax/San Vicente,2013-1169,,910 S. Fairfax Ave.,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15604
Handelman Consulting Inc,,,,B & F Associates,,2,2013,Beverly/Fairfax,2009-2656,APC,7901 Fairfax,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15604
Handelman Consulting Inc,,,,Champion Real Estate Company,,2,2013,Hollywood Cherokee Apartments,2013-521,APC,1718-1730 Las Palmas/1719-1727 1/2 Cherokee,"City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15604
