TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
201400A,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),110,$186953678.00
200800A,519100,Other information services (including news syndicates and libraries),348,$77674345.00
201300A,441120,Used car dealers,896,$208822904.00
200600A,811190,Other automotive repair & maintenance (including oil change & lubrication shops & car washes),290,$21110863.00
201200A,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",4847,$411431198.02
201100A,448120,Women's clothing stores,451,$122657867.00
201300A,444130,Hardware stores,466,$680908361.00
201200A,237210,Land subdivision,273,$403481042.00
201200A,335000,"Electrical equipment, appliance, & component mfg.",455,$119465010.72
201000A,211110,Oil & gas extraction,69,$67122544.00
200900A,532210,Consumer electronics & appliances rental,674,$583821246.00
200700A,451110,Sporting goods stores,238,$152967022.00
200700A,311800,Bakeries & tortilla mfg.,331,$87634026.00
200800A,485990,Other transit & ground passenger transportation,149,$942980.00
201200A,532100,Automotive equipment rental & leasing,368,$736163193.00
201100A,423500,Metal & mineral (except petroleum),266,$291755055.00
200600A,512100,Motion picture & video industries (except video rental),3487,$3318209016.10
200800A,423500,Metal & mineral (except petroleum),265,$379000892.00
200700A,445310,"Beer, wine & liquor stores",452,$144174634.00
201200A,711210,Spectator sports (including professional sports clubs & racetrack operations),636,$586360659.70
200800A,445290,Home furnishings stores,741,$404256392.00
201100A,513330,Telecommunications Resellers,6,$5153831.00
201000A,541510,Computer systems design & related services,2270,$595246115.62
200900A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",596,$1228763665.00
200500A,235930,Excavation Contractors (1997 NAICS),38,$47936684.00
201300A,237210,Land subdivision,300,$757972704.00
201300A,451140,Musical instrument & supplies stores,263,$58573237.98
201000A,425110,Business to business electronic markets,62,$18261776.00
201200A,424920,"Books, periodicals, & newspapers",605,$615976232.52
200500A,423940,"Jewelry, watch, precious stone, & precious metals",1768,$1171346680.23
200500A,423930,Recyclable materials,121,$192495075.00
200900A,523110,Investment bankers & securities dealers,71,$256316878.00
201200A,524210,Insurance agencies & brokerages,1044,$445983688.72
200800A,541219,Other accounting services,2604,$769931842.48
201300A,621330,Offices of mental health practitioners (except physicians),1017,$84896452.01
201300A,423990,Other miscellaneous durable goods,2491,$898735229.01
201300A,448120,Women's clothing stores,694,$241746671.55
200800A,621210,Offices of dentists,118,$26973556.51
201300A,541990,"All other professional, scientific, & technical services",11115,$1648536518.43
200500A,541211,Offices of certified public accountants,212,$202654063.25
200900A,441222,Boat dealers,37,$10052009.00
200800A,448320,Luggage & leather goods stores,74,$19014369.00
200700A,484200,Specialized freight trucking (including household moving vans),55,$903426.00
201200A,423910,Sporting & recreational goods & supplies,293,$167262302.00
201100A,453110,Florists,447,$44469094.00
200500A,621210,Offices of dentists,38,$11368572.00
201000A,443112,"Radio, television, & other electronics stores",767,$380583527.00
201200A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),8,$1680517.00
201300A,311400,Fruit & vegetable preserving & speciality food mfg.,315,$137910151.00
200600A,311800,Bakeries & tortilla mfg.,304,$77782076.00
201400A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),5,$749780.00
200600A,424300,"Apparel, piece goods, & notions",3068,$2534820543.09
200900A,811190,Other automotive repair & maintenance (including oil change & lubrication shops & car washes),544,$42785232.00
200900A,541370,Surveying & mapping (except geophysical) services,48,$14232204.00
201200A,442200,Home furnishings stores,777,$576169186.12
200600A,447100,Gasoline stations (including convenience stores with gas),453,$1948589710.57
201400A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",407,$568601371.51
201400A,445100,Grocery stores (including supermarkets & convenience stores without gas),1708,$5634160450.46
201000A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",108,$35351679.00
201400A,221000,Utilities,3,$0.00
200600A,442110,Furniture stores,1103,$737547455.20
201300A,424910,Farm supplies,18,$49753660.00
200500A,451220,"Prerecorded tape, compact disc, & record stores",334,$112208895.47
200900A,233210,Single Family Housing Construction (1997 NAICS),6131,$1328970982.43
201300A,238990,All other specialty trade contractors,3845,$710820456.19
201300A,233210,Single Family Housing Construction (1997 NAICS),8895,$1621207674.82
201000A,424920,"Books, periodicals, & newspapers",510,$656032074.75
201200A,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",6445,$2433763697.40
200600A,446120,"Cosmetics, beauty supplies, & perfume stores",295,$115013524.26
201200A,812990,All other personal services,15701,$762010688.73
201300A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",1691,$397302224.00
201300A,423300,Lumber & other construction materials,291,$605180671.50
200700A,334000,Computer & electronic product mfg.,591,$291089436.00
201100A,,,167111,$35715999976.86
200900A,235510,Carpentry Contractors (1997 NAICS),508,$179872009.00
200600A,453110,Florists,392,$45708215.00
201200A,238990,All other specialty trade contractors,3446,$652593405.18
200700A,711300,"Promoters of performing arts, sports, & similar events",1541,$1292919584.50
201400A,624100,Individual & family services,1032,$75402139.07
200900A,339900,Other miscellaneous mfg.,1299,$289848410.07
201000A,448120,Women's clothing stores,392,$116454366.00
200600A,523120,Securities brokers,128,$1044104917.46
200900A,541320,Landscape architecture services,833,$182517583.00
200500A,512200,Sound recording industries,517,$134115962.30
201200A,524290,Other insurance related activities,205,$345182222.00
201300A,312000,Beverage & tobacco product mfg.,33,$713912.00
201300A,485210,Interurban & rural bus transportation,38,$15610380.00
201400A,238340,Tile & terrazzo contractors,233,$54012255.00
200800A,488000,Support activities for transportation (including motor vehicle towing),876,$837960311.00
201100A,235930,Excavation Contractors (1997 NAICS),59,$50823768.00
200600A,445210,Meat markets,45,$11508207.00
200500A,519100,Other information services (including news syndicates and libraries),105,$31717073.00
200600A,451211,Book stores,270,$111836642.95
200700A,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",438,$63492246.45
200500A,812930,Parking lots & garages,920,$306552426.79
200800A,443130,Camera & photographic supplies stores,102,$21806945.00
200800A,484110,"General freight trucking, local",598,$190269838.42
201100A,445220,Fish & seafood markets,62,$50086514.00
200800A,441229,All other motor vehicle dealers,355,$694091027.00
200900A,531310,Real estate property managers,2256,$708329295.12
201400A,454113,Mail-order houses,63,$33091271.00
200800A,311400,Fruit & vegetable preserving & speciality food mfg.,96,$75477128.00
200500A,812310,Coin-operated laundries & drycleaners,437,$71232241.05
201400A,812190,Other personal care services (including diet & weight reducing centers),891,$53128316.02
200500A,233320,Commercial and Institutional Building Construction (1997 NAICS),139,$119728486.00
201000A,445230,Fruit & vegetable markets,513,$1303367782.00
200900A,423500,Metal & mineral (except petroleum),266,$376457180.00
201300A,541380,Testing laboratories,91,$29858284.00
201200A,443111,Household appliance stores,420,$170360784.31
200500A,722410,Drinking places (alcoholic beverages),216,$53461377.08
200600A,621320,Offices of optometrists,109,$35761640.00
201000A,443130,Camera & photographic supplies stores,109,$16844379.00
200800A,448310,Jewelry stores,824,$204545483.00
201200A,622000,Hospitals,225,$1141590351.00
201300A,541320,Landscape architecture services,963,$143710747.42
200900A,448140,Family clothing stores,946,$436601193.00
201200A,444190,Other building materials dealers,410,$967874977.75
201100A,516110,Internet publishing & broadcasting,943,$179536782.98
201300A,321000,Wood product mfg.,185,$24866808.00
201000A,424700,Petroleum & petroleum products,71,$2141313951.00
201000A,334000,Computer & electronic product mfg.,915,$281974347.36
201000A,423100,Motor vehicle & motor vehicle parts & supplies,957,$1316512438.80
200600A,323100,Printing & related support activities,694,$561167223.10
201200A,812113,Nail salons,2333,$86273749.85
201000A,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",3896,$302204158.72
200700A,722300,Special food services (including food service contractors & caterers),418,$89327809.00
201200A,234110,Highway and Street Construction (1997 NAICS),38,$293820522.00
200700A,624410,Child day care services,1231,$94028053.00
200900A,524210,Insurance agencies & brokerages,884,$461662412.58
201400A,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",6043,$2700793348.79
201300A,532230,Video tape & disc rental,279,$24392138.00
201100A,561790,Other services to buildings & dwellings,1807,$48128780.00
200800A,711300,"Promoters of performing arts, sports, & similar events",1659,$1270198240.05
200800A,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",2959,$288102477.15
201100A,541310,Architectural services,1161,$563598459.50
200700A,441229,All other motor vehicle dealers,319,$720653428.00
201100A,326000,Plastics & rubber products mfg.,122,$29267957.00
201100A,511000,Publishing industries (except Internet),275,$185172703.80
200500A,238290,Other building equipment contractors,164,$165379994.30
201100A,812990,All other personal services,13586,$621686496.92
200700A,337000,Furniture & related product mfg.,130,$26525523.00
200800A,446130,Optical goods stores,198,$123693458.00
201300A,444120,Paint & wallpaper stores,87,$25951744.00
200600A,541330,Engineering services,889,$403970711.63
200700A,523110,Investment bankers & securities dealers,49,$149123191.00
201400A,812113,Nail salons,2514,$109758214.40
200600A,512200,Sound recording industries,558,$121865699.03
200500A,516110,Internet publishing & broadcasting,693,$114119178.37
201400A,561790,Other services to buildings & dwellings,2211,$68931763.71
200800A,453910,Pet & pet supplies stores,94,$50642767.00
201400A,448150,Clothing accessories stores,1187,$356152692.00
200800A,444130,Hardware stores,479,$720599206.00
200500A,541360,Geophysical surveying & mapping services,17,$1160298.00
200500A,621330,Offices of mental health practitioners (except physicians),194,$15236596.00
201000A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",578,$195407756.71
201200A,423500,Metal & mineral (except petroleum),268,$317405909.00
201100A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),8,$1099046.00
200700A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",183,$72735327.74
200900A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",395,$141102866.23
201300A,811190,Other automotive repair & maintenance (including oil change & lubrication shops & car washes),992,$158663659.00
201400A,522200,Nondepository credit intermediation (including sales financing & consumer lending),479,$115377223.00
201400A,722211,Limited-service eating places,1676,$668168555.43
201100A,238990,All other specialty trade contractors,3040,$533260944.00
201200A,485300,Taxi & limousine service,1034,$3652935.00
200900A,531390,Other activities related to real estate,573,$118842720.16
201400A,312000,Beverage & tobacco product mfg.,39,$3827405.00
201200A,424930,"Flower, nursery stock, & florists' supplies",525,$207915300.00
201200A,315000,Apparel mfg.,4912,$1207284671.25
200600A,621340,"Offices of physical, occupational & speech therapists, & audiologists",250,$25558540.26
201300A,561500,Travel arrangement & reservation services,6530,$906243162.88
201400A,812930,Parking lots & garages,1902,$552491772.50
201400A,511000,Publishing industries (except Internet),301,$206102583.16
201000A,448310,Jewelry stores,1034,$177034642.35
201300A,487000,Scenic & sightseeing transportation,229,$22047271.00
200500A,811110,Automotive mechanical & electrical repair & maintenance,463,$47784394.57
200700A,211110,Oil & gas extraction,27,$24489887.00
201300A,812112,Beauty salons,1203,$33578797.69
200900A,335000,"Electrical equipment, appliance, & component mfg.",272,$85556534.00
200900A,523900,Other financial investment activities (including investment advice),1600,$5557951337.42
200900A,485300,Taxi & limousine service,641,$2386090.00
200600A,448150,Clothing accessories stores,418,$181852103.67
201300A,541510,Computer systems design & related services,2928,$736571952.24
201400A,451120,"Hobby, toy, & game stores",222,$89865517.00
200700A,238990,All other specialty trade contractors,1565,$553371153.21
200600A,453220,"Gift, novelty, & souvenir stores",807,$147240826.00
201100A,448130,Children's & infants' clothing stores,240,$59348882.61
201200A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",1492,$352171113.54
201200A,235310,Electrical Contractors (1997 NAICS),2445,$498839718.32
201000A,811490,Other personal &  household goods repair & maintenance,1035,$31726084.50
200700A,448210,Shoe stores,362,$257929781.00
201100A,238340,Tile & terrazzo contractors,247,$39571544.00
200800A,722300,Special food services (including food service contractors & caterers),622,$83819313.34
200500A,425120,Wholesale trade agents & brokers,243,$291572608.66
201400A,561900,"Other support services (including packaging & labeling services, & convention & trade show organizers)",253,$50471206.00
200900A,339110,Medical equipment & supplies mfg.,319,$117371840.00
201000A,611000,"Educational services (including schools, colleges, & universities)",2703,$620278303.89
201100A,424210,Drugs & druggists' sundries,240,$419326281.00
200500A,235510,Carpentry Contractors (1997 NAICS),403,$126465329.82
200900A,443120,Computer & software stores,867,$1107381759.51
201000A,541380,Testing laboratories,64,$28302233.00
201400A,492000,Couriers & messengers,1260,$94653716.43
201200A,812330,Linen & uniform supply,54,$88174553.00
201200A,238110,Poured concrete foundation & structure contractors,243,$120586441.00
200600A,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",6329,$2493911634.62
201000A,541320,Landscape architecture services,869,$136578581.82
201300A,233220,Multifamily Housing Construction (1997 NAICS),953,$1017631256.00
200700A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",95,$28344706.00
200800A,445210,Meat markets,73,$23592525.00
201200A,541340,Drafting services,167,$3870504.00
201200A,453220,"Gift, novelty, & souvenir stores",1227,$173692418.00
201100A,541370,Surveying & mapping (except geophysical) services,50,$9444337.00
200500A,624410,Child day care services,1194,$75709049.60
201100A,523110,Investment bankers & securities dealers,89,$530737720.00
200700A,812990,All other personal services,5983,$216259856.42
200900A,621399,Offices of all other miscellaneous health practitioners,2475,$844238816.65
200800A,624100,Individual & family services,652,$36751221.00
200700A,711210,Spectator sports (including professional sports clubs & racetrack operations),143,$583088494.58
201100A,541219,Other accounting services,3050,$827617392.11
200800A,561300,Employment services,6210,$1501077823.26
201300A,234120,Bridge and Tunnel Construction (1997 NAICS),102,$47216431.00
201400A,524290,Other insurance related activities,230,$109816211.00
200800A,424300,"Apparel, piece goods, & notions",3206,$2594303518.31
200600A,811110,Automotive mechanical & electrical repair & maintenance,621,$56196783.79
201000A,331000,Primary metal mfg.,45,$19261860.00
201400A,454210,Vending machine operators,315,$56834029.45
201100A,424800,"Beer, wine, & distilled alcoholic beverage",89,$38055283.58
200600A,516110,Internet publishing & broadcasting,722,$111472519.00
201400A,423800,"Machinery, equipment, & supplies",834,$1023661307.26
201400A,812990,All other personal services,16868,$1177407019.40
200600A,487000,Scenic & sightseeing transportation,49,$2076926.00
201200A,447100,Gasoline stations (including convenience stores with gas),576,$3051062968.51
200700A,541211,Offices of certified public accountants,339,$288979431.43
200700A,541930,Translation & interpretation services,113,$7970130.00
201400A,811120,"Automotive body, paint, interior, & glass repair",582,$119824669.00
201400A,622000,Hospitals,243,$1313699801.83
200800A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",370,$260479490.00
201300A,541350,Building inspection services,127,$4608459.96
200600A,448110,Men's clothing stores,281,$77714456.10
200700A,513330,Telecommunications Resellers,6,$1138971.00
201200A,541940,Veterinary services,257,$219504946.00
201000A,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",6479,$2574909182.99
201300A,442110,Furniture stores,1104,$573616143.00
201200A,441222,Boat dealers,39,$10773307.00
201200A,424940,Tobacco & tobacco products,369,$86001530.00
201100A,337000,Furniture & related product mfg.,267,$92068201.93
201000A,541700,Scientific research & development services,210,$26997264.00
200800A,541920,Photographic services,1777,$179938074.00
200500A,522300,Activities related to credit intermediation (including loan brokers),369,$91839046.80
201300A,518210,"Data processing, hosting, & related services",825,$678676307.40
200700A,441222,Boat dealers,37,$19506915.00
200500A,812113,Nail salons,1406,$40653296.74
200900A,424500,Farm product raw materials,49,$85188615.00
200900A,531210,Offices of real estate agents & brokers,1852,$718800865.40
201100A,561600,Investigation & security services,850,$333580441.00
200600A,541380,Testing laboratories,29,$38878443.41
201100A,811490,Other personal &  household goods repair & maintenance,1138,$38732444.79
200600A,235520,Floor Laying and Other Floor Contractors (1997 NAICS),304,$76394759.94
201300A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1182,$368515381.68
201100A,492000,Couriers & messengers,1082,$33454153.00
201200A,233210,Single Family Housing Construction (1997 NAICS),8019,$1315292989.62
201400A,812920,Photofinishing,135,$8234258.00
200900A,441120,Used car dealers,383,$84104470.00
201200A,532400,Commercial & industrial machinery & equipment rental & leasing,336,$1004431768.00
201400A,235930,Excavation Contractors (1997 NAICS),71,$66983604.06
201100A,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",826,$159860074.65
201400A,334000,Computer & electronic product mfg.,1162,$579736952.54
201000A,424100,Paper & paper products,237,$258957654.00
200800A,485210,Interurban & rural bus transportation,14,$0.00
201400A,561410,Document preparation services,195,$24128401.13
201000A,523120,Securities brokers,132,$709983322.00
201300A,624310,Vocational rehabilitation services,80,$16779544.00
201100A,485410,School & employee bus transportation,18,$0.00
201000A,235520,Floor Laying and Other Floor Contractors (1997 NAICS),390,$99436925.00
201000A,238290,Other building equipment contractors,290,$228207732.60
200700A,233220,Multifamily Housing Construction (1997 NAICS),755,$1420779981.00
201300A,812330,Linen & uniform supply,57,$86789851.00
201100A,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",955,$213699038.12
200700A,531310,Real estate property managers,1714,$392832805.19
201400A,811410,Home & garden equipment & appliance repair & maintenance,307,$17150878.95
201000A,441120,Used car dealers,465,$80887466.00
201000A,444190,Other building materials dealers,389,$947475570.00
200700A,233320,Commercial and Institutional Building Construction (1997 NAICS),275,$308479346.00
200600A,235210,Painting and Wall Covering Contractors (1997 NAICS),1752,$472109333.46
200900A,561600,Investigation & security services,689,$382896695.34
200800A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",349,$181533304.76
200600A,519100,Other information services (including news syndicates and libraries),185,$43909228.00
200600A,314000,Textile product mills,306,$202303337.23
200600A,446110,Pharmacies & drug stores,480,$2333955090.00
201400A,448320,Luggage & leather goods stores,114,$66062195.00
201000A,541370,Surveying & mapping (except geophysical) services,50,$11656788.00
200700A,235310,Electrical Contractors (1997 NAICS),1467,$353870959.79
201300A,235310,Electrical Contractors (1997 NAICS),2693,$528751808.62
201000A,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),105,$143870269.00
201100A,315000,Apparel mfg.,4113,$942571143.28
201300A,532310,General rental centers,84,$38135704.00
200800A,812930,Parking lots & garages,1158,$391969883.00
200800A,424950,"Paint, varnish, & supplies",79,$131949335.00
201400A,485410,School & employee bus transportation,21,$178710.00
201100A,443120,Computer & software stores,979,$1185304595.00
201200A,621610,Home health care services,2729,$256692717.61
201200A,812111,Barber shops,2932,$90504669.55
201100A,484110,"General freight trucking, local",663,$194548048.95
200900A,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),98,$111294012.00
200700A,512100,Motion picture & video industries (except video rental),4378,$6222326373.81
200800A,611000,"Educational services (including schools, colleges, & universities)",2207,$519438464.31
200900A,454113,Mail-order houses,36,$22390270.00
200700A,423500,Metal & mineral (except petroleum),263,$341579798.00
201100A,446130,Optical goods stores,214,$98954104.00
200800A,235910,Structural Steel Erection Contractors (1997 NAICS),83,$80610297.00
201100A,446190,Other health & personal care stores,544,$130223067.00
201400A,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",2680,$763838683.54
200600A,233210,Single Family Housing Construction (1997 NAICS),4188,$1053458731.46
200700A,811410,Home & garden equipment & appliance repair & maintenance,175,$5545198.00
200900A,888888,Medical Marijuana Collective,298,$36462212.45
200500A,541310,Architectural services,824,$368432173.82
200600A,621400,Outpatient  care centers,205,$130347319.00
200900A,115210,Support activities for animal production (including farriers),233,$22823180.00
201000A,453920,Art dealers,615,$16863709.47
201100A,518210,"Data processing, hosting, & related services",687,$521291402.00
201400A,561430,Business service centers (including private mail centers & copy shops),366,$101529494.35
201300A,423940,"Jewelry, watch, precious stone, & precious metals",2632,$1072916959.67
201000A,322000,Paper mfg.,57,$28110017.00
200800A,441110,New car dealers,388,$3983335828.00
200500A,541214,Payroll services,26,$7670373.89
200500A,454111,Electronic shopping,207,$73165976.86
200900A,722110,Full-service restaurants,5970,$3804258426.00
200500A,424930,"Flower, nursery stock, & florists' supplies",223,$208391002.00
200900A,446120,"Cosmetics, beauty supplies, & perfume stores",632,$213055432.01
201400A,443111,Household appliance stores,425,$233237273.00
201300A,425110,Business to business electronic markets,80,$8578435.98
201100A,812113,Nail salons,2178,$74867267.00
200600A,541800,Advertising & related services,1031,$784707136.14
200900A,541910,Market research & public opinion polling,228,$148443412.00
200900A,445220,Fish & seafood markets,41,$77356473.00
201000A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",1178,$321014145.49
201000A,561440,Collection agencies,125,$58140163.00
201300A,561790,Other services to buildings & dwellings,2355,$62243342.00
200900A,812910,Pet care (except veterinary) services,267,$16843040.00
200600A,211110,Oil & gas extraction,20,$20883409.00
201400A,541700,Scientific research & development services,275,$37008733.00
201300A,235210,Painting and Wall Covering Contractors (1997 NAICS),1926,$406737372.62
200900A,451211,Book stores,373,$126365961.00
200600A,423990,Other miscellaneous durable goods,1223,$610791125.69
200500A,423920,Toy & hobby goods & supplies,167,$110807885.88
201100A,541360,Geophysical surveying & mapping services,43,$4140669.00
201200A,235910,Structural Steel Erection Contractors (1997 NAICS),114,$58596766.00
200500A,811120,"Automotive body, paint, interior, & glass repair",167,$47726033.53
201100A,323100,Printing & related support activities,1053,$455612663.15
200800A,453210,Office supplies & stationery stores,257,$256120989.00
201200A,711100,Performing arts companies,561,$210874245.28
200500A,811190,Other automotive repair & maintenance (including oil change & lubrication shops & car washes),238,$18776565.25
200900A,448150,Clothing accessories stores,705,$226430239.24
200800A,238110,Poured concrete foundation & structure contractors,171,$228916709.65
201200A,623000,Nursing & residential care facilities,544,$635452130.00
201300A,445310,"Beer, wine & liquor stores",657,$230919725.25
200500A,561600,Investigation & security services,412,$278239946.97
201200A,561900,"Other support services (including packaging & labeling services, & convention & trade show organizers)",254,$29688948.32
201200A,441229,All other motor vehicle dealers,429,$868027429.00
201300A,541360,Geophysical surveying & mapping services,50,$5368588.00
201300A,234990,Other Heavy and Civil Engineering Construction,90,$70312201.00
200900A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",1032,$336323939.54
200800A,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),94,$95663915.00
201400A,451211,Book stores,468,$120479060.58
200800A,425120,Wholesale trade agents & brokers,954,$615148514.85
201300A,713200,Gambling industries,14,$13403227.00
201300A,423910,Sporting & recreational goods & supplies,332,$182621676.00
200700A,541219,Other accounting services,2431,$714224124.00
201100A,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),706,$190094646.00
200600A,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",315,$48294160.20
200700A,454113,Mail-order houses,24,$19777228.00
200900A,621510,Medical & diagnostic laboratories,339,$548306444.00
200600A,448140,Family clothing stores,513,$396996528.31
200700A,561740,Carpet & upholstery cleaning services,434,$29128396.00
200800A,233320,Commercial and Institutional Building Construction (1997 NAICS),363,$580631981.00
201400A,451140,Musical instrument & supplies stores,259,$62685397.00
201400A,541910,Market research & public opinion polling,381,$257415934.00
201200A,424990,Other miscellaneous nondurable goods,3645,$1768362385.01
201400A,624410,Child day care services,2012,$173931047.26
201200A,238290,Other building equipment contractors,329,$252699031.00
201000A,711210,Spectator sports (including professional sports clubs & racetrack operations),407,$659097162.68
201300A,235510,Carpentry Contractors (1997 NAICS),530,$144671765.00
200800A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),139,$281787242.00
200500A,424210,Drugs & druggists' sundries,190,$247488135.31
200700A,237210,Land subdivision,217,$476950760.10
201300A,621111,Offices of physicians (except mental health specialists),5754,$3270384209.51
200700A,812113,Nail salons,1615,$52657198.00
200800A,532400,Commercial & industrial machinery & equipment rental & leasing,248,$596190501.64
201300A,541370,Surveying & mapping (except geophysical) services,51,$8788545.00
200900A,324100,Petroleum & coal products mfg.,14,$2219011.00
200500A,721310,Rooming & boarding houses,323,$192870163.04
201000A,235510,Carpentry Contractors (1997 NAICS),513,$143459107.00
200500A,443112,"Radio, television, & other electronics stores",570,$321354751.36
200600A,423600,Electrical & electronic goods,1099,$1925875404.15
201100A,238290,Other building equipment contractors,317,$200770462.00
201300A,522300,Activities related to credit intermediation (including loan brokers),793,$375537198.00
201000A,485300,Taxi & limousine service,652,$2912894.00
200900A,453910,Pet & pet supplies stores,111,$58294831.70
200500A,621610,Home health care services,316,$70708432.69
201100A,115310,Support activities for forestry,524,$68913218.00
200700A,541380,Testing laboratories,44,$31231600.00
201300A,888888,Medical Marijuana Collective,952,$100004006.00
201400A,311400,Fruit & vegetable preserving & speciality food mfg.,332,$156475023.00
201000A,812190,Other personal care services (including diet & weight reducing centers),653,$30843454.21
201300A,115310,Support activities for forestry,706,$111989746.63
201000A,424930,"Flower, nursery stock, & florists' supplies",431,$194773698.00
200900A,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),655,$193885987.00
200800A,452000,General merchandise stores,3585,$2649985608.51
201100A,621111,Offices of physicians (except mental health specialists),5351,$3072774262.12
201400A,713200,Gambling industries,14,$8085777.00
200800A,424930,"Flower, nursery stock, & florists' supplies",320,$262007634.00
201300A,623000,Nursing & residential care facilities,565,$629339740.00
201300A,448320,Luggage & leather goods stores,127,$80836195.00
201200A,811110,Automotive mechanical & electrical repair & maintenance,1827,$141087315.93
201200A,523900,Other financial investment activities (including investment advice),2168,$5616756795.39
200700A,423800,"Machinery, equipment, & supplies",760,$991852669.00
200500A,541380,Testing laboratories,18,$22645280.00
201300A,532210,Consumer electronics & appliances rental,657,$474093782.00
201300A,423500,Metal & mineral (except petroleum),270,$329574746.00
201300A,722211,Limited-service eating places,1600,$564737345.00
200800A,541370,Surveying & mapping (except geophysical) services,45,$13123030.00
200800A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",580,$1069709876.00
200900A,561440,Collection agencies,118,$84155113.00
201000A,423500,Metal & mineral (except petroleum),266,$264486189.00
201200A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",352,$1725039752.00
201300A,531320,Offices of real estate appraisers,155,$11470452.00
201400A,448120,Women's clothing stores,742,$275862815.14
201300A,812310,Coin-operated laundries & drycleaners,667,$93212754.00
201000A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),856,$455000788.69
201300A,334000,Computer & electronic product mfg.,1232,$536176244.00
200800A,811110,Automotive mechanical & electrical repair & maintenance,1006,$89640847.00
200900A,,,211893,$48030384236.66
201100A,488000,Support activities for transportation (including motor vehicle towing),1044,$1007076960.36
201100A,611000,"Educational services (including schools, colleges, & universities)",2993,$673558063.26
201400A,453920,Art dealers,918,$79140976.29
201100A,453920,Art dealers,742,$31501555.50
200800A,531390,Other activities related to real estate,484,$119029353.37
201200A,454112,Electronic auctions,19,$884702.00
201100A,424100,Paper & paper products,249,$301521367.92
200500A,,,258777,$49942753454.10
201000A,999999,Unclassified establishments (unable to classify),1437,$186632955.46
200800A,233210,Single Family Housing Construction (1997 NAICS),5448,$1181148156.49
201200A,448190,Other Clothing Stores,771,$204402926.59
201200A,561430,Business service centers (including private mail centers & copy shops),374,$114529631.00
201400A,812220,Cemeteries & crematories,15,$19848514.00
200900A,423930,Recyclable materials,215,$276682848.00
200900A,444130,Hardware stores,478,$707856993.71
201100A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",1322,$323677307.22
201400A,315000,Apparel mfg.,5464,$1667350782.04
201300A,333000,Machinery mfg.,147,$96947348.14
201300A,424300,"Apparel, piece goods, & notions",3622,$3164788553.08
201300A,811490,Other personal &  household goods repair & maintenance,1356,$58262484.50
200900A,448310,Jewelry stores,945,$206492185.00
200600A,448120,Women's clothing stores,135,$34732633.00
201000A,336000,Transportation equipment mfg.,76,$79837524.00
200900A,441110,New car dealers,389,$3257025177.00
