Client Prefix,Client First Name,Client Middle Name,Client Last Name,Client Suffix,Lobbying Firm,Registration Year,Date Representation Began,Date Terminated,Date Registered,Client Street Address,Client Street Address 2,Client City,Client State,Client Zip,Client Zip+4,Client Area Code,Client Telephone,Client Telephone Ext,Client Email,Client Alt Area Code,Client Alt Telephone,Client Alt Telephone Ext,Client Fax Area Code,Client Fax Number,Client Website,City Agencies,Lobbying Firm Registration Form
,,,A & M Properties,,Fisher Associates Inc.,2013,01/01/2013,12/31/2013,04/30/2013,24248 Crenshaw Blvd.,Ste 207,Torrance,CA,90505,,310,539-5390,,,310,849-9210,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2506
,,,"Hana Holdings, LLC",,Fisher Associates Inc.,2013,01/01/2013,12/31/2013,04/30/2013,"15335 Morrison St, #150",null,Sherman Oaks,CA,91403,,310,473-6575,203,danhosseini@aol.com,818,399-7833,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2506
,,,"Kuhr Properties, LLC",,Fisher Associates Inc.,2013,05/15/2013,12/31/2013,07/09/2013,39 Oceanaire Drive,Suite E-309,Rancho Palos Verdes,CA,90275,,310,541-0414,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2506
,Farshaad,,Rafie,,Fisher Associates Inc.,2013,07/12/2013,12/31/2013,10/25/2013,10525 Ohio Avenue,,Westwood,CA,90024,,310,925,9250,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2506
,,,"T. A. Patty Development, Inc.",,Fisher Associates Inc.,2013,01/01/2013,12/31/2013,04/30/2013,P.O. Box 1373,null,Torrance,CA,90505,,310,375-9002,,Tapattydev@gmail.com,310,418-2280,,310,375-9022,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2506
,,,Alcoholic Beverage Consulting Service ,,Gregg Masini,2013,05/01/2013,12/31/2013,07/26/2013,"26023 Jefferson Avenue, Suite D",,Murrieta,CA,92562,,951,968-6868,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2512
,,,American Airlines,,Gregg Masini,2013,09/01/2013,12/31/2013,10/28/2013,4333 Amon Carter Blvd,,Fort Worth,TX,76155,,817,967-1350,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2512
,,,Flaherty & O'Hara,,Gregg Masini,2013,05/01/2013,12/31/2013,07/29/2013,"610 Smithfield Street, Suite 300",,Pittsburgh,PA,15222,,412,456-2044,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2512
,,,Seymour Consulting Group,,Gregg Masini,2013,01/01/2013,12/31/2013,02/06/2013,"2815 Townsgate Road, Suite 140",,Westlake Village,Ca,91361,,818,905-0283,,,,,,818,905-1631,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2512
,,,"Mick 5750, Inc.",,Gregg Masini,2013,09/01/2013,12/31/2013,10/28/2013,4570 Van Nuys Boulevard,,Sherman Oaks,CA,91401,,818,934-6408,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2512
,,,Liberty Hill Foundation ,,Liberty Hill Foundation ,2013,06/01/2013,12/31/2013,06/14/2013,"6420 Wilshire Blvd., Ste. 700",,Los Angeles,CA,90048,,323,556-7200,,mprichard@libertyhill.org,,,,323,556-7240,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2515
,,,Anderson & Swanson,,Gaines & Stacey LLP,2013,04/01/2013,12/31/2013,07/15/2013,723 Kentia Avenue,,Santa Barbara,CA,93101,,805,682-5711,,,,,,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2520
,Jeff,,Bianco,,Gaines & Stacey LLP,2013,07/01/2013,12/31/2013,10/28/2013,66 Fremont Place,,Los Angels,CA,90005,,310,293-8578,,,,,,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2520
,,,Community Recycling,,Gaines & Stacey LLP,2013,01/30/2013,12/31/2013,04/30/2013,9189 De Garmo Avenue,,Sun Valley,CA,91352,,818,767-6000,,,,,,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2520
,Dan,,Hosseini,,Gaines & Stacey LLP,2013,04/01/2013,12/31/2013,07/15/2013,"15335 Morrison Avenue, Suite 150",,Sherman Oaks,CA,91403,,310,473-6575,,,,,,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2520
,,,Keyes Automotive,,Gaines & Stacey LLP,2013,01/30/2013,12/31/2013,04/30/2013,5855 Van Nuys,,Van Nuys,CA,91401,,818,907-4410,,,,,,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2520
,,,M&A Gabaee,,Gaines & Stacey LLP,2013,01/30/2013,12/31/2013,04/30/2013,9034 W. Sunset Boulevard,,West Hollywood,CA,90069,,310,247-0900,,,,,,,,,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2520
,,,SC & JB Investments LLC,,Gaines & Stacey LLP,2013,07/01/2013,12/31/2013,10/28/2013,"22801 Ventura Boulevard, Suite 111",,Woodland Hills,CA,91364,,818,995-3700,,,,,,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2520
,,,"Sherman Way West Hills Partners, LLC",,Gaines & Stacey LLP,2013,04/30/2013,12/31/2013,07/10/2013,"22801 Ventura Boulvard, Suite 111",,Woodland Hills,CA,91364,,818,995-3700,,,,,,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2520
,,,Snowball West Investment LP,,Gaines & Stacey LLP,2013,01/30/2013,12/31/2013,04/30/2013,P.O. Box 573160,,Tarzana ,CA,91357,,818,774-1340,,,,,,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2520
,,,Vons,,Gaines & Stacey LLP,2013,01/30/2013,12/31/2013,07/10/2013,618 Michillinda Avenue,,Arcadia,CA,91007,,626,821-7057,,,,,,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2520
,Richard,,Weintruab,,Gaines & Stacey LLP,2013,01/30/2013,12/31/2013,04/30/2013,P.O 6528,,Malibu,CA,90264,,310,457-8962,,,,,,,,,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2520
,,,"12th Street LCK, LLC",,The Santa Maria Group,2013,01/01/2013,12/31/2013,05/23/2013,748 East 14th Street,,Los Angeles,CA,90021,,213,746-1884,,,,,,213,746-1858,,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2521
,,,All Nations Church,,The Santa Maria Group,2013,01/01/2013,12/31/2013,05/23/2013,10000 Foothill Blvd,,Lake View Terrace,CA,91342,,818,834-7000,,,,,,,,,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2521
,,,CJCGV America,,The Santa Maria Group,2013,05/01/2013,12/31/2013,07/29/2013,5670 Wilshire Blvd. Suite 2450,,Los Angeles,CA,90036,,213,406-8626,,,,,,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2521
,,,Doheny Eye Institute,,The Santa Maria Group,2013,01/01/2013,12/31/2013,05/23/2013,1450 San Pablo Street,,Los Angeles,CA,90033,1088,323,442-7100,,,,,,,,,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2521
,,,Lite Solar,,The Santa Maria Group,2013,01/01/2013,12/31/2013,05/23/2013,"3711 Long Beach Blvd.,",,Long Beach,CA,90807,,562,256-1249,,r1@intfin.net,,,,,,,City Council (incl. Districts and Committees) | Water & Power (DWP),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2521
,,,Sierra Systems,,The Santa Maria Group,2013,01/01/2013,12/31/2013,05/23/2013,222 N. Sepulveda Boulevard,,El Segundo,CA,90245,,310,536-6288,,,,,,,,www.SierraSystems.com,"City Council (incl. Districts and Committees) | Building and Safety | Fire (LAFD) | Planning, City | Public Works, Board of | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2521
,,,Skanska USA,,The Santa Maria Group,2013,05/21/2013,12/31/2013,05/23/2013,1995 Agua Mansa Road,,Riverside,CA,92509,,951,6845360,,,,,,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Public Works, Board of | Public Works, Engineering | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2521
,,,Tom N Toms Coffee,,The Santa Maria Group,2013,01/01/2013,12/31/2013,05/23/2013,3974 Wilshire Blvd,,Los Angeles,CA,90010,,213,908-6829,,davidkkim@tomntomsusa.com,,,,,,,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2521
,,,WNC & Associates,,The Santa Maria Group,2013,01/01/2013,12/31/2013,05/23/2013,17782 Sky Park Circle,,Irvine,CA,92614,,949,236,8278,sgellis@wncinc.com,,,,,,,"City Council (incl. Districts and Committees) | Housing (LAHD, DOH)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2521
,,,Horizon Development Consulting LLC,,The Santa Maria Group,2013,09/15/2013,12/31/2013,10/29/2013,"2030 Main Street, Suite 1300",,Irvine,CA,92614,,949,260-4998,,,,,,,,,City Council (incl. Districts and Committees) | Housing and Community Investment | Housing Authority (HACLA),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2521
,,,"Cerrell Associates on behalf of Access Services, Inc.",,David Gershwin Consulting,2013,01/01/2013,12/31/2013,01/02/2013,320 N. Larchmont Blvd.,,Los Angeles,CA,90004,,323,466-3445,,,,,,,,www.asila.org,"Mayor, Office of | City Council (incl. Districts and Committees) | Disability | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2523
,,,Clear Channel Outdoor,,David Gershwin Consulting,2013,03/01/2013,12/31/2013,03/27/2013,19320 Harborgate Way,,Torrance,CA,90501,,310,755-7200,,,,,,,,,City Council (incl. Districts and Committees) | Neighborhood Councils,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2523
,,,"Agora Realty & Management, Inc.",,Park & Velayos,2013,01/01/2013,12/31/2013,04/30/2013,"15206 Ventura Boulevard, Suite 306",,Sherman Oaks,CA,91403,,818,788-8237,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,"Allvision, LLC",,Park & Velayos,2013,01/01/2013,12/31/2013,04/30/2013,420 Lexington Avenue,,New York,NY,10170,,212,6617500,,jscharfberg@allvision.com,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,"APDSII, LLC",,Park & Velayos,2013,01/01/2013,12/31/2013,04/30/2013,"10250 CONSTELLATION BLVD, SUITE 1650",,LOS ANGELES,CA,90067,,310,551-0077,,,,,,310,551-0088,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,"Capri Urban Baldwin, LLC; Capri Urban Crenshaw, LLC",,Park & Velayos,2013,01/01/2013,12/31/2013,04/30/2013,"9841 Airport Boulevard, Suite 700",,Los Angeles,CA,90045,,310,665-9600,,r.schurgin@festivalcos.com,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,"Century City Realty, LLC",,Park & Velayos,2013,01/01/2013,12/31/2013,04/30/2013,"10250 Constellation Boulevard, #1650",,Los Angeles,CA,90067,,310,551-0077,,,,,,310,551-0088,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,Community Impact Development I,,Park & Velayos,2013,01/01/2013,12/31/2013,04/30/2013,"801 S. Grand Avenue, Suite 625",,Los Angeles,CA,90017,,213,276-6596,,dexterh@sclarc.org,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,Community Impact Development II,,Park & Velayos,2013,01/01/2013,12/31/2013,04/30/2013,"801 S. Grand Avenue, Suite 625",,Los Angeles,CA,90017,,213,276-6596,,dexterh@sclarc.org,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,"CONSTELLATION PLACE, LLC",,Park & Velayos,2013,01/01/2013,12/31/2013,04/30/2013,10250 CONSTELLATION BLVD.,,LOS ANGELES,CA,90067,,310,551-0077,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,"Garden Lane Properties, LLC",,Park & Velayos,2013,01/01/2013,12/31/2013,04/30/2013,"10250 Constellation Blvd., Suite 1650",,Los Angeles,CA,90067,,310,551,0072,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,Hearst Corporation,,Park & Velayos,2013,07/18/2013,12/31/2013,08/02/2013,"5 Third Street, Suite 200",,San Francisco,CA,94103,,415,777-8196,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,Northwood Investors LLC,,Park & Velayos,2013,01/01/2013,12/31/2013,04/30/2013,1925 Century Park East,,Los Angeles,CA,90067,,310,986-6800,,BThurman@northwoodinvestors.com,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,Petersen Automotive Museum,,Park & Velayos,2013,07/18/2013,12/31/2013,08/02/2013,6060 Wilshire Boulevard,,Los Angeles,CA,90036,,323,930-2277,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,"Playa Capital Company, LLC",,Park & Velayos,2013,01/01/2013,12/31/2013,04/30/2013,6500 Seabluff Drive,,Playa Vista,CA,90094,,310,448-4627,,psinclair@playavista.com,,,,,,www.playavista.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,Public Storage,,Park & Velayos,2013,01/01/2013,12/31/2013,04/30/2013,701 Western Avenue,,Glendale,CA,91201,,818,244-8080,,jfitzpatrick@publicstorage.com,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,Riboli Family Wine Estates,,Park & Velayos,2013,01/01/2013,12/31/2013,04/30/2013,737 Lamar Street,,Los Angeles,CA,90031,,323,223-1401,,steve.riboli@sanantoniowinery.com,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,The Home Depot,,Park & Velayos,2013,01/01/2013,12/31/2013,04/30/2013,3800 West Chapman Avenue,,Orange,CA,92868,,714,940-3609,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,"YUMMY FOODS, LLC",,Park & Velayos,2013,01/01/2013,12/31/2013,04/30/2013,7119 SANTA MONICA BLVD.,,WEST HOLLYWOOD,CA,90046,,323,969-9245,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2526
,,,"McDonald's USA, LLC",,"McDonald's USA, LLC",2013,01/01/2013,12/31/2013,04/24/2013,17550 N. Perimeter Dr. Ste. 400,,Scottsdale,AZ,85255,,480,252-3190,,veronica.perez@hklaw.com,,,,,,mcdonalds.com,"Mayor, Office of | City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2527
,,,Archer School for Girls,,Sugerman Communications Group,2013,01/01/2013,12/31/2013,06/11/2013,11725 Sunset Blvd,,Los Angeles,CA,90049,,310,873-7000,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2545
,,,Boston Global Investors (BGI),,Sugerman Communications Group,2013,01/01/2013,12/31/2013,06/11/2013,"One Post Office Square, Suite 3150",,Boston,MA,02109,,617,350-7577,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2545
,,,"Capri Urban Baldwin, LLC; Capri Urban Crenshaw, LLC",,Sugerman Communications Group,2013,01/01/2013,12/31/2013,06/11/2013,"9841 Airport Boulevard, Suite 700",,Los Angeles,CA,90045,,310,665-9600,,r.schurgin@festivalcos.com,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2545
,BRUCE & MARTHA,,KARSH,,Sugerman Communications Group,2013,01/01/2013,12/31/2013,06/11/2013,1201 TOWER GROVE DRIVE,,BEVERLY HILLS,CA,90210,,310,861-2060,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2545
,,,LOYOLA MARYMOUNT UNIVERSITY,,Sugerman Communications Group,2013,06/01/2013,12/31/2013,06/11/2013,"1 LMU DRIVE, SUITE 2800",,LOS ANGELES,CA,90045,2659,310,338-5127,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2545
,,,23rd Avenue Properties LLC,,"John A. Henning, Jr., Attorney at Law",2013,01/24/2013,12/31/2013,02/11/2013,"c/o Howard Altman, Grant Tani et. al.",9100 WILSHIRE BLVD. STE 1000W,Beverly Hills,CA,90210,,310,288-6266,,haltman@gtba.com,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2546
,Marsha,,Krieger,,"John A. Henning, Jr., Attorney at Law",2013,01/04/2013,12/31/2013,01/04/2013,"c/o Abbott Krieger, M.D.","421 N. Rodeo Dr., Terrace Level South",Beverly Hills,CA,90210,,310,454-4499,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2546
,,,"Robert P. Hrtica, Trustee of the MOA Trust",,"John A. Henning, Jr., Attorney at Law",2013,01/04/2013,12/31/2013,01/04/2013,"9255 W. Sunset Blvd., Suite 615",,Los Angeles,CA,90069,,310,246-3808,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2546
,,,Venice Stakeholders Association,,"John A. Henning, Jr., Attorney at Law",2013,01/04/2013,12/31/2013,01/04/2013,453 Rialto Ave.,,Venice,CA,90291,,310,392-4843,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2546
,,,La Cienega Partners LP,,"John A. Henning, Jr., Attorney at Law",2013,10/21/2013,12/31/2013,10/31/2013,c/o The Taubman Company,200 E. Long Lake Rd.,Bloomfield,MI,48304,,248,258-7222,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2546
,,,PERMACITY CORP,,BRSG Consulting,2013,08/09/2013,12/31/2013,10/31/2013,5570 W. Washington Blvd.,,lOS aNGELES,CA,90016,,310,6929264,,,,,,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Chief Legislative Analyst (CLA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2548
,,,"AquaHelio Management, Inc.",,Mayer Brown LLP,2013,01/01/2013,12/31/2013,05/03/2013,8693 Wilshire Boulevard,,Beverly Hills,CA,90211,,310,721-1499,,john@johnmusick.com,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2560
,,,Bloom Energy,,Mayer Brown LLP,2013,01/01/2013,12/31/2013,05/03/2013,1299 Orleans Drive,,Sunnyvale,CA,94089,,408,543-1547,,jrichman@bloomenergy.com,,,,,,http://www.bloomenergy.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2560
,,,Blue Shield of California,,Mayer Brown LLP,2013,01/01/2013,12/31/2013,05/03/2013,50 Beale Street,,San Francisco,CA,94105,,415,229-5110,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2560
,,,Clay Lacy Aviation,,Mayer Brown LLP,2013,01/01/2013,12/31/2013,05/03/2013,7435 Valjean Avenue,,Van Nuys,CA,91406,,818,989-2900,,,,,,818,904-3450,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2560
,,,Duncan Solutions,,Mayer Brown LLP,2013,08/06/2013,12/31/2013,08/09/2013,633 West Wisconsin Avenue,Suite 1600,Milwaukee,WI,53203,,202,841-0225,,,,,,,,,"Mayor, Office of | City Council (incl. Districts and Committees) | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2560
,,,Ensemble Investments,,Mayer Brown LLP,2013,08/01/2013,12/31/2013,08/09/2013,444 West Ocean Boulevard,Suite 1108,Long Beach,CA,90802,,562,257-1010,,,,,,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2560
,,,JMB Realty Corporation,,Mayer Brown LLP,2013,01/01/2013,12/31/2013,05/03/2013,10250 Constellation Boulevard,,Los Angeles,CA,90067,,310,551-0077,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2560
,,,La Caze Development Company,,Mayer Brown LLP,2013,04/22/2013,12/31/2013,05/03/2013,2601 Airport Drive,Suite 300,Torrance,CA,90505,,310,534-0111,,john@lacazedevelopment.com,,,,,,n/a,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2560
,,,Los Angeles Police Protective League,,Mayer Brown LLP,2013,01/01/2013,12/31/2013,05/03/2013,1308 West 8th Street,,Los Angeles,CA,90017,,213,251-4554,,tylerizen@lappl.org,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2560
,,,Summit Media LLC,,Mayer Brown LLP,2013,01/01/2013,12/31/2013,05/03/2013,1445 5th Street,,Santa Monica,CA,90401,,310,576-6646,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2560
,,,Vopak Terminal Los Angeles Inc.,,Mayer Brown LLP,2013,01/01/2013,12/31/2013,05/03/2013,401 Canal Avenue,,Wilmington,CA,90744,,310,518-6422,,michael.lacavera@vopak.com,,,,310,549-2308,http://www.vopakamericas.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2560
,,,"Noresco, LLC",,Mayer Brown LLP,2013,10/25/2013,12/31/2013,11/05/2013,One Research Drive,Suite 400C,Westborough,MA,01581,,508,614-1015,,,,,,,,,"City Council (incl. Districts and Committees) | Public Works, Board of | Public Works, Sanitation | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2560
,,,AECOM,,Sage Advisors Inc,2013,01/01/2013,09/30/2013,02/07/2013,515 S. Flower Street,8th Floor,Los Angeles,CA,90071,,213,593-8000,,,,,,,,www.aecom.com,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2562
,,,AEG,,Sage Advisors Inc,2013,01/01/2013,09/30/2013,02/05/2013,"800 W. Olympic Blvd., Suite 305",,Los Angeles,CA,90015,,213,742-7115,,,,,,310,763-7710,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2562
,,,"AIRBUS AMERICAS, INC.",,Sage Advisors Inc,2013,01/01/2013,09/30/2013,02/05/2013,198 VAN BUREN ST.,SUITE 300,HERNDON,VA,20170,5335,703,834-3499,,,,,,703,834-3449,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2562
,,,Apartment Investment and Management Company,,Sage Advisors Inc,2013,01/01/2013,09/30/2013,02/05/2013,4582 S. Ulster Street Parkway,Suite 1100,Denver,CO,80237,,303,757-8101,,,,,,,,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2562
,,,"CA, INC.",,Sage Advisors Inc,2013,01/01/2013,09/30/2013,02/05/2013,6501 WESTON PKWY.,SUITE 310,CARY,NC,27513,,919,720-4876,,,,,,,,,"Mayor, Office of | Controller, Office of | City Council (incl. Districts and Committees) | Chief Administrative Officer (CAO) | Chief Legislative Analyst (CLA) | Information Technology Agency (ITA)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2562
,,,CALIFORNIA STATE PIPE TRADES AND DISTRICT COUNCIL 16,,Sage Advisors Inc,2013,01/01/2013,09/30/2013,02/05/2013,"501 Shatto Place, Ste. 400",,Los Angeles,CA,90020,,213,487-4262,,,,,,213,384-5619,,ALL CITY AGENCIES,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_COMP_REG_ID=2562
