Fiscal Year,Change Type,Activity Type,Activity,Amount in Thousands,Absolute Amount in Thousands
2011,Expenses,Governmental Activities,Community Development,$-429695,$429695
2011,Expenses,Governmental Activities,Interest on Long-term Debt,$-190424,$190424
2011,Expenses,Business-type Activities,Airports,$-834071,$834071
2011,Expenses,Business-type Activities,Harbor,$-310534,$310534
2011,Expenses,Business-type Activities,Power,$-2964399,$2964399
2011,Expenses,Business-type Activities,Water,$-791049,$791049
2011,Expenses,Business-type Activities,Sewer,$-557269,$557269
2011,Expenses,Business-type Activities,Other- Convention Center,$-40400,$40400
2011,Program Revenues,Governmental Activities,Charges for Services-General Government,$241681,$241681
2011,Program Revenues,Governmental Activities,Charges for Services-Protection of Persons and Property,$317283,$317283
2011,Program Revenues,Governmental Activities,Charges for Services-Public Works,$162551,$162551
2011,Program Revenues,Governmental Activities,Charges for Services-Health and Sanitation,$467614,$467614
2011,Program Revenues,Governmental Activities,Charges for Services-Transportation,$99797,$99797
2011,Program Revenues,Governmental Activities,Charges for Services-Cultural and Recreational Services,$128170,$128170
2011,Program Revenues,Governmental Activities,Charges for Services-Community Development,$63903,$63903
2011,Program Revenues,Governmental Activities,Operating Grants and Contributions,$924031,$924031
2011,Program Revenues,Governmental Activities,Capital Grants and Contributions,$75744,$75744
2011,Program Revenues,Business-type Activities,Charges for Services-Airports,$1052790,$1052790
2011,Program Revenues,Business-type Activities,Charges for Services-Harbor,$406606,$406606
2011,Program Revenues,Business-type Activities,Charges for Services-Power,$3252872,$3252872
2011,Program Revenues,Business-type Activities,Charges for Services-Water,$783056,$783056
2011,Program Revenues,Business-type Activities,Charges for Services-Sewer,$517212,$517212
2011,Program Revenues,Business-type Activities,Charges for Services-Other- Convention Center,$26535,$26535
2011,Program Revenues,Business-type Activities,Operating Grants and Contributions,$0,$0
2011,Program Revenues,Business-type Activities,Capital Grants and Contributions,$174574,$174574
2011,General Revenues and Other Changes in Net Position,Governmental Activities,Taxes-Property Taxes,$1618444,$1618444
2011,General Revenues and Other Changes in Net Position,Governmental Activities,Taxes-Utility Users' Taxes,$628028,$628028
2011,General Revenues and Other Changes in Net Position,Governmental Activities,Taxes-Business Taxes,$410888,$410888
2011,General Revenues and Other Changes in Net Position,Governmental Activities,Taxes-Other Taxes,$392405,$392405
2011,General Revenues and Other Changes in Net Position,Governmental Activities,Unrestricted Grants and Contributions-Sales Taxes,$337727,$337727
2011,General Revenues and Other Changes in Net Position,Governmental Activities,Unrestricted Grants and Contributions-Motor Vehicle In-lieu Taxes,$7631,$7631
2011,General Revenues and Other Changes in Net Position,Governmental Activities,Unrestricted Grants and Contributions-Other Grants and Contributions,$45073,$45073
2011,General Revenues and Other Changes in Net Position,Governmental Activities,Unrestricted Investment Earnings,$18814,$18814
2011,General Revenues and Other Changes in Net Position,Governmental Activities,Other General Revenues,$75838,$75838
2011,General Revenues and Other Changes in Net Position,Governmental Activities,Transfers,$258815,$258815
2011,General Revenues and Other Changes in Net Position,Special Items,Gain (Loss) on Loan Settlement,$-47007,$47007
2011,General Revenues and Other Changes in Net Position,Special Items,Transfer of Properties from CRA,$93410,$93410
2011,General Revenues and Other Changes in Net Position,Special Items,Return of Properties to CRA,$0,$0
2011,General Revenues and Other Changes in Net Position,Special Items,Transfer of Properties for Housing Development from CRA,$0,$0
2011,General Revenues and Other Changes in Net Position,Special Items,Transfer of Housing Loans from CRA,$0,$0
2011,General Revenues and Other Changes in Net Position,Business-type Activities,Pollution Remediation Liabilities Adjustment,$0,$0
2011,General Revenues and Other Changes in Net Position,Business-type Activities,Transfers,$-258815,$258815
2012,Expenses,Governmental Activities,General Government,$-1335180,$1335180
2012,Expenses,Governmental Activities,Protection of Persons and Property,$-2707892,$2707892
2012,Expenses,Governmental Activities,Public Works,$-413348,$413348
2012,Expenses,Governmental Activities,Health and Sanitation,$-416894,$416894
2012,Expenses,Governmental Activities,Transportation,$-365841,$365841
2012,Expenses,Governmental Activities,Cultural and Recreational Services,$-445815,$445815
2012,Expenses,Governmental Activities,Community Development,$-437229,$437229
2012,Expenses,Governmental Activities,Interest on Long-term Debt,$-194513,$194513
2012,Expenses,Business-type Activities,Airports,$-897380,$897380
2012,Expenses,Business-type Activities,Harbor,$-333355,$333355
2012,Expenses,Business-type Activities,Power,$-2870609,$2870609
2012,Expenses,Business-type Activities,Water,$-799575,$799575
2012,Expenses,Business-type Activities,Sewer,$-542850,$542850
2012,Expenses,Business-type Activities,Other- Convention Center,$-39107,$39107
2012,Program Revenues,Governmental Activities,Charges for Services-General Government,$246357,$246357
2012,Program Revenues,Governmental Activities,Charges for Services-Protection of Persons and Property,$326396,$326396
2012,Program Revenues,Governmental Activities,Charges for Services-Public Works,$166061,$166061
2012,Program Revenues,Governmental Activities,Charges for Services-Health and Sanitation,$493422,$493422
2012,Program Revenues,Governmental Activities,Charges for Services-Transportation,$125392,$125392
2012,Program Revenues,Governmental Activities,Charges for Services-Cultural and Recreational Services,$152434,$152434
2012,Program Revenues,Governmental Activities,Charges for Services-Community Development,$112897,$112897
2012,Program Revenues,Governmental Activities,Operating Grants and Contributions,$1023001,$1023001
2012,Program Revenues,Governmental Activities,Capital Grants and Contributions,$96156,$96156
2012,Program Revenues,Business-type Activities,Charges for Services-Airports,$1114431,$1114431
2012,Program Revenues,Business-type Activities,Charges for Services-Harbor,$435291,$435291
2012,Program Revenues,Business-type Activities,Charges for Services-Power,$3212141,$3212141
2012,Program Revenues,Business-type Activities,Charges for Services-Water,$849122,$849122
2012,Program Revenues,Business-type Activities,Charges for Services-Sewer,$532026,$532026
2012,Program Revenues,Business-type Activities,Charges for Services-Other- Convention Center,$27355,$27355
2012,Program Revenues,Business-type Activities,Operating Grants and Contributions,$0,$0
2012,Program Revenues,Business-type Activities,Capital Grants and Contributions,$158114,$158114
2012,General Revenues and Other Changes in Net Position,Governmental Activities,Taxes-Property Taxes,$1662316,$1662316
2012,General Revenues and Other Changes in Net Position,Governmental Activities,Taxes-Utility Users' Taxes,$623721,$623721
2012,General Revenues and Other Changes in Net Position,Governmental Activities,Taxes-Business Taxes,$440327,$440327
2012,General Revenues and Other Changes in Net Position,Governmental Activities,Taxes-Other Taxes,$458741,$458741
2012,General Revenues and Other Changes in Net Position,Governmental Activities,Unrestricted Grants and Contributions-Sales Taxes,$324859,$324859
2012,General Revenues and Other Changes in Net Position,Governmental Activities,Unrestricted Grants and Contributions-Motor Vehicle In-lieu Taxes,$2026,$2026
2012,General Revenues and Other Changes in Net Position,Governmental Activities,Unrestricted Grants and Contributions-Other Grants and Contributions,$43403,$43403
2012,General Revenues and Other Changes in Net Position,Governmental Activities,Unrestricted Investment Earnings,$21879,$21879
2012,General Revenues and Other Changes in Net Position,Governmental Activities,Other General Revenues,$91735,$91735
2012,General Revenues and Other Changes in Net Position,Governmental Activities,Transfers,$250077,$250077
2012,General Revenues and Other Changes in Net Position,Special Items,Gain (Loss) on Loan Settlement,$0,$0
2012,General Revenues and Other Changes in Net Position,Special Items,Transfer of Properties from CRA,$0,$0
2012,General Revenues and Other Changes in Net Position,Special Items,Return of Properties to CRA,$0,$0
2012,General Revenues and Other Changes in Net Position,Special Items,Transfer of Properties for Housing Development from CRA,$0,$0
2012,General Revenues and Other Changes in Net Position,Special Items,Transfer of Housing Loans from CRA,$0,$0
2012,General Revenues and Other Changes in Net Position,Business-type Activities,Pollution Remediation Liabilities Adjustment,$0,$0
2012,General Revenues and Other Changes in Net Position,Business-type Activities,Transfers,$-250077,$250077
2013,Expenses,Governmental Activities,General Government,$-2089053,$2089053
2013,Expenses,Governmental Activities,Protection of Persons and Property,$-2789023,$2789023
2013,Expenses,Governmental Activities,Public Works,$-387649,$387649
2013,Expenses,Governmental Activities,Health and Sanitation,$-405934,$405934
2013,Expenses,Governmental Activities,Transportation,$-423595,$423595
2013,Expenses,Governmental Activities,Cultural and Recreational Services,$-482692,$482692
2013,Expenses,Governmental Activities,Community Development,$-386346,$386346
2013,Expenses,Governmental Activities,Interest on Long-term Debt,$-179588,$179588
2013,Expenses,Business-type Activities,Airports,$-922914,$922914
2013,Expenses,Business-type Activities,Harbor,$-331626,$331626
2013,Expenses,Business-type Activities,Power,$-2928377,$2928377
2013,Expenses,Business-type Activities,Water,$-939094,$939094
2013,Expenses,Business-type Activities,Sewer,$-572425,$572425
2013,Expenses,Business-type Activities,Other- Convention Center,$-39073,$39073
2013,Program Revenues,Governmental Activities,Charges for Services-General Government,$305545,$305545
2013,Program Revenues,Governmental Activities,Charges for Services-Protection of Persons and Property,$385961,$385961
2013,Program Revenues,Governmental Activities,Charges for Services-Public Works,$169473,$169473
2013,Program Revenues,Governmental Activities,Charges for Services-Health and Sanitation,$495544,$495544
2013,Program Revenues,Governmental Activities,Charges for Services-Transportation,$121374,$121374
2013,Program Revenues,Governmental Activities,Charges for Services-Cultural and Recreational Services,$149237,$149237
2013,Program Revenues,Governmental Activities,Charges for Services-Community Development,$111259,$111259
2013,Program Revenues,Governmental Activities,Operating Grants and Contributions,$871459,$871459
2013,Program Revenues,Governmental Activities,Capital Grants and Contributions,$55138,$55138
2013,Program Revenues,Business-type Activities,Charges for Services-Airports,$1122704,$1122704
2013,Program Revenues,Business-type Activities,Charges for Services-Harbor,$416974,$416974
2013,Program Revenues,Business-type Activities,Charges for Services-Power,$3264534,$3264534
2013,Program Revenues,Business-type Activities,Charges for Services-Water,$1073948,$1073948
2013,Program Revenues,Business-type Activities,Charges for Services-Sewer,$588987,$588987
2013,Program Revenues,Business-type Activities,Charges for Services-Other- Convention Center,$27255,$27255
2013,Program Revenues,Business-type Activities,Operating Grants and Contributions,$0,$0
2013,Program Revenues,Business-type Activities,Capital Grants and Contributions,$109407,$109407
2013,General Revenues and Other Changes in Net Position,Governmental Activities,Taxes-Property Taxes,$1746372,$1746372
2013,General Revenues and Other Changes in Net Position,Governmental Activities,Taxes-Utility Users' Taxes,$627707,$627707
2013,General Revenues and Other Changes in Net Position,Governmental Activities,Taxes-Business Taxes,$482857,$482857
2013,General Revenues and Other Changes in Net Position,Governmental Activities,Taxes-Other Taxes,$523308,$523308
2013,General Revenues and Other Changes in Net Position,Governmental Activities,Unrestricted Grants and Contributions-Sales Taxes,$343628,$343628
2013,General Revenues and Other Changes in Net Position,Governmental Activities,Unrestricted Grants and Contributions-Motor Vehicle In-lieu Taxes,$2099,$2099
2013,General Revenues and Other Changes in Net Position,Governmental Activities,Unrestricted Grants and Contributions-Other Grants and Contributions,$18726,$18726
2013,General Revenues and Other Changes in Net Position,Governmental Activities,Unrestricted Investment Earnings,$-298,$-298
2013,General Revenues and Other Changes in Net Position,Governmental Activities,Other General Revenues,$105850,$105850
2013,General Revenues and Other Changes in Net Position,Governmental Activities,Transfers,$246534,$246534
2013,General Revenues and Other Changes in Net Position,Special Items,Gain (Loss) on Loan Settlement,$0,$0
2013,General Revenues and Other Changes in Net Position,Special Items,Transfer of Properties from CRA,$0,$0
2013,General Revenues and Other Changes in Net Position,Special Items,Return of Properties to CRA,$-93191,$93191
2013,General Revenues and Other Changes in Net Position,Special Items,Transfer of Properties for Housing Development from CRA,$80484,$80484
2013,General Revenues and Other Changes in Net Position,Special Items,Transfer of Housing Loans from CRA,$124781,$124781
2013,General Revenues and Other Changes in Net Position,Business-type Activities,Pollution Remediation Liabilities Adjustment,$13387,$13387
2013,General Revenues and Other Changes in Net Position,Business-type Activities,Transfers,$-246534,$246534
