Project Title,Project Category,"Project Status - OCT, 2014","Project Status - NOV, 2014","Design Finish - OCT, 2014","Design Finish - NOV, 2014","Percent Design Complete - OCT, 2014","Percent Design Complete - NOV, 2014","Construction Finish - OCT, 2014","Construction Finish - NOV, 2014","Percent Construction Complete - OCT, 2014","Percent Construction Complete - NOV, 2014","Schedule Trend - OCT, 2014","Schedule Trend - NOV, 2014","Spent to Date - NOV, 2014","Percent Spent to Date - NOV, 2014","Projected Cost - OCT, 2014","Projected Cost - NOV, 2014","Budget Trend - OCT, 2014","Budget Trend - NOV, 2014"
Fire Station 112 - Fire Protection System Installation (2530900),Maritime Services - Harbor Dept. Facilities,Bid and Award,Construction,05/02/2014,05/02/2014,100%,100%,01/28/2015,01/28/2015,0%,20%,On,On,$17536.00,18%,$96750.00,$96750.00,On,On
B.  84 - Slope Repair (2531000),Maritime Services - Harbor Dept. Facilities,Design,Bid and Award,10/31/2014,10/31/2014,25%,100%,03/30/2015,03/30/2015,0%,0%,On,On,$1644.00,1%,$150000.00,$150000.00,On,On
Liberty Hill Plaza - Fire Life Safety System Replacement (2531300),Maritime Services - Harbor Dept. Facilities,,Bid and Award,,10/06/2014,,,,06/25/2015,,1%,,On,$0.00,0%,,$425000.00,,On
B.  72 - Municipal Fish Market Renovation - Phase 2 (2509700),Miscellaneous Projects,Design,Design,03/19/2015,03/19/2015,40%,40%,,03/19/2015,,,On,On,$118985.00,24%,$500000.00,$500000.00,On,On
B.  72 - Municipal Fish Market Site Drainage Improvements (2512800),Miscellaneous Projects,Design,Design,01/21/2015,01/21/2015,75%,75%,07/14/2016,07/14/2016,0%,0%,On,On,$334966.00,7%,$5000000.00,$5000000.00,On,On
Badger Avenue Bridge Rehabilitation (2525000),Miscellaneous Projects,Design,Design,09/03/2014,09/03/2014,55%,80%,11/03/2015,11/03/2015,0%,0%,On,Off,$47054.00,3%,$1715200.00,$1715200.00,On,On
B.  84 - Maritime Museum Wharf Rehabilitation (2526200),Miscellaneous Projects,Design,Design,05/30/2015,05/30/2015,20%,40%,12/30/2016,12/30/2016,0%,0%,On,On,$34169.00,1%,$3900000.00,$3900000.00,On,On
B.  87-88 - Mooring Fender Modification (2526700),Miscellaneous Projects,Construction,Construction,06/12/2014,06/12/2014,100%,100%,12/20/2014,12/20/2014,13%,13%,On,On,$5304.00,2%,$250000.00,$250000.00,On,On
Ports O' Call Village Roof Restoration (2528000),Miscellaneous Projects,Construction,Completed,,06/14/2014,,,11/21/2014,10/09/2014,30%,100%,On,On,$0.00,0%,$94067.00,$36501.00,On,On
B. 183-184 - Banning's Landing HVAC System Upgrade (2528300),Miscellaneous Projects,Bid and Award,Bid and Award,,06/27/2014,,,06/26/2015,06/26/2015,0%,0%,On,On,$0.00,0%,$150000.00,$150000.00,On,On
Wilmington/San Pedro Fencing Upgrades - Phase 2 (2528500),Miscellaneous Projects,Construction,Construction,,07/16/2014,,,06/30/2015,06/30/2015,30%,30%,On,On,$62394.00,42%,$150000.00,$150000.00,On,On
Banning's Landing - Fire Life Safety System Replacement (2531400),Miscellaneous Projects,,Bid and Award,,10/06/2014,,,,06/25/2015,,1%,,On,$0.00,0%,,$250000.00,,On
