Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
"Los Angeles Homeless Services Authority, Comments and Complaints | City of Los Angeles",26,24,69.8,16,75%,61.54%
Mayor | City of Los Angeles,26,21,82.8,16,50%,61.54%
Permits for Encroachment on Public Right of Ways - R Permit - The City of Los Angeles,26,23,39.67,12,91.67%,76.92%
Plan Check | City of Los Angeles,26,23,114.7,13,61.54%,61.54%
Regularly scheduled rental housing code enforcement inspections (SCEP) - The City of Los Angeles,26,25,130.75,16,75%,69.23%
Regularly scheduled rental housing code enforcement inspections (SCEP) | City of Los Angeles,26,25,430.8,13,84.62%,80.77%
Standing/Ponding/Stagnant Water (West Nile Virus) | City of Los Angeles,26,22,383.5,16,75%,69.23%
Training Division - LAPD (Elysian Park) | City of Los Angeles,26,24,210,22,86.36%,84.62%
2015 Primary City Clerk Certifies Official List of Candidates | City of Los Angeles,25,15,62.19,1,0%,16%
Animal Cruelty - The City of Los Angeles,25,21,39.83,18,77.78%,76%
Banner Permits - The City of Los Angeles,25,23,255.31,6,66.67%,48%
Citywide Aquatics | City of Los Angeles,25,23,74,19,68.42%,84%
Claims Against the City for Damages or for Refunds - The City of Los Angeles,25,18,73.82,4,50%,56%
Commission on the Status of Women Regular Meeting | City of Los Angeles,25,16,65.41,1,0%,32%
Creature Camp Out at the Los Angeles Zoo - The City of Los Angeles,25,17,24.81,9,77.78%,36%
Excavation Permit for Private Contractors - E Permit | City of Los Angeles,25,20,105.67,9,77.78%,52%
Excavation Permit for Utility Companies - U Permit | City of Los Angeles,25,24,57.33,18,47.37%,76%
Government Cable TV Station- LA CityView 35 - The City of Los Angeles,25,21,347.67,17,64.71%,64%
Household Hazardous Waste & Used Oil Recycling - The City of Los Angeles,25,21,153.55,7,85.71%,56%
"Laws, Ordinances, Rules, and Codes | City of Los Angeles",25,11,25.41,3,66.67%,12%
Library Hours/Locations | City of Los Angeles,25,22,135.88,12,75%,68%
Lot Split Information | City of Los Angeles,25,19,144.83,14,42.86%,52%
"Mayor, Council, Controller, City Attorney Offices - The City of Los Angeles",25,22,52.32,0,0%,12%
Move In-Move Out Extra Trash Collection Services | City of Los Angeles,25,21,203.9,12,58.33%,60%
Pay Building and Safety Invoices Online | City of Los Angeles,25,21,50.76,1,100%,32%
Permit for Major Right of Way Construction - B Permit | City of Los Angeles,25,24,212.75,14,57.14%,68%
Permits - The City of Los Angeles,25,21,51.58,4,25%,24%
Rebuild Letter Request for Restoration of Damaged Buildings - The City of Los Angeles,25,20,186.86,17,64.71%,72%
Robbery-Homicide Division - LAPD | City of Los Angeles,25,24,193,24,83.33%,96%
Specific Plans | City of Los Angeles,25,22,73.4,20,40%,80%
Survey Monument Coordinates | City of Los Angeles,25,21,203.6,17,41.18%,60%
Viewing of Sanborn Maps | City of Los Angeles,25,22,284.5,22,40.91%,84%
Water Conservation | City of Los Angeles,25,22,67.25,13,69.23%,52%
West Traffic Division - LAPD | City of Los Angeles,25,22,260.86,20,70%,72%
Youth Programs - LAPD - The City of Los Angeles,25,23,148.17,19,84.21%,76%
Building Permit Information Correction | City of Los Angeles,24,22,85,8,75%,66.67%
Central Traffic Division - LAPD | City of Los Angeles,24,21,63.57,19,78.95%,70.83%
Certification of Small and Local Business Enterprises (SLBE) | City of Los Angeles,24,19,74.53,0,0%,20.83%
City Budget Information | City of Los Angeles,24,23,427.75,4,25%,50%
Cultural Heritage Commission Agenda - Special | City of Los Angeles,24,16,196.45,0,0%,16.67%
Currency Exchange -- LAX | City of Los Angeles,24,21,218.4,20,65%,79.17%
Fire Dept. Fire Station Locations - The City of Los Angeles,24,23,474.75,22,81.82%,83.33%
Los Angeles Neighborhood Housing Services | City of Los Angeles,24,20,166.8,11,75%,58.33%
Mayor Eric Garcetti Press Office | City of Los Angeles,24,24,313.2,20,55%,79.17%
Municipal Facilities Committee Special Meeting | City of Los Angeles,24,17,71.62,2,0%,45.83%
Send Feedback - The City of Los Angeles,24,17,76.65,2,0%,16.67%
Sewer Permit - S Permit - The City of Los Angeles,24,22,438.17,15,53.33%,50%
Status or Disposition of a Construction Plan | City of Los Angeles,24,19,151.33,9,77.78%,50%
Street Resurfacing | City of Los Angeles,24,18,107,6,50%,41.67%
"Tract Maps, Parcel Maps | City of Los Angeles",24,20,52.36,8,62.5%,41.67%
Winter Shelter Program | City of Los Angeles,24,19,361.8,18,55.56%,79.17%
"Background, Certifications, Folders, Records (Personnel) | City of Los Angeles",23,20,223.73,9,66.67%,52.17%
BBSC Meeting Agenda | City of Los Angeles,23,13,81.05,0,0%,13.04%
Chinese American Museum | City of Los Angeles,23,22,172,20,60%,86.96%
City Clerk | City of Los Angeles,23,15,16.55,2,0%,4.35%
City Risk Management | City of Los Angeles,23,20,258.75,8,25%,47.83%
City's Fraud Hotline | City of Los Angeles,23,21,104.18,2,100%,52.17%
Committee Assignments - The City of Los Angeles,23,19,110.33,10,50%,47.83%
Community Relations Office - LAPD Police Stations - The City of Los Angeles,23,20,135,14,71.43%,69.57%
Department of Cultural Affairs Grants Administration Division | City of Los Angeles,23,22,103.33,19,78.95%,73.91%
Film Permits | City of Los Angeles,23,21,60.21,3,33.33%,39.13%
Fire Prevention Bureau - Public Assemblage | City of Los Angeles,23,22,170.2,20,60%,78.26%
Hydrants & Access Unit - The City of Los Angeles,23,22,287,17,94.12%,91.3%
Inspection of Plumbing | City of Los Angeles,23,23,154.5,20,50%,73.91%
La città di Los Angeles,23,18,40.63,17,58.82%,65.22%
Los Angeles Neighborhood Housing Services - The City of Los Angeles,23,19,62.36,14,64.29%,52.17%
Other City Commissions | City of Los Angeles,23,21,16.85,3,0%,13.04%
Phone | City of Los Angeles,23,20,61.06,1,0%,30.43%
"Port of LA (Harbor Department) Contracts, Bids, and Purchase Orders - The City of Los Angeles",23,21,73.71,18,77.78%,69.57%
Pour Visiteurs | Ville de Los Angeles,23,16,35.1,1,0%,8.7%
"Public Works Projects Bid Results, Summaries, and Evaluations | City of Los Angeles",23,20,198.29,10,20%,69.57%
Request for Proposal | City of Los Angeles,23,20,72.5,2,50%,21.74%
Sidewalks | City of Los Angeles,23,21,65.79,1,0%,17.39%
Training Division - LAPD (Ahmanson Center) - The City of Los Angeles,23,20,114.83,19,78.95%,73.91%
About The City Flag | City of Los Angeles,22,20,100.5,2,50%,36.36%
Chief of Police - Los Angeles Police Department | City of Los Angeles,22,21,73.86,7,100%,68.18%
City's Fraud Hotline - The City of Los Angeles,22,19,53.33,1,0%,31.82%
Citywide Construction and Demolition Waste Recycling Requirements - The City of Los Angeles,22,19,162.82,8,87.5%,50%
Creature Camp Out at the Los Angeles Zoo | City of Los Angeles,22,21,95.33,8,62.5%,59.09%
DataLA-Open Data Portal for the City of Los Angeles | City of Los Angeles,22,20,325.42,4,50%,45.45%
Development Services Case Management | City of Los Angeles,22,21,13,19,73.68%,72.73%
East Los Angeles Area Planning Commission Meeting Agenda | City of Los Angeles,22,11,23.53,1,0%,13.64%
Education & Neighborhoods Committee Meeting - CANCELLED | City of Los Angeles,22,16,23.47,2,50%,22.73%
Food Service Establishment Waste Disposal Requirements | City of Los Angeles,22,16,96.5,10,50%,45.45%
General Steps and Requirements for Various Plan Check Submittal - The City of Los Angeles,22,21,361,12,75%,77.27%
Home | Città di Los Angeles,22,16,40.7,15,60%,54.55%
Industrial Wastewater Permit - The City of Los Angeles,22,19,243,12,58.33%,50%
Inspection of Electrical | City of Los Angeles,22,21,544.17,15,46.67%,72.73%
Internal Affairs Group - LAPD | City of Los Angeles,22,20,219.6,20,70%,77.27%
Los Angeles City Utility Tax Information | City of Los Angeles,22,20,18.71,3,100%,22.73%
Meeting Rooms - The City of Los Angeles,22,18,210,12,75%,68.18%
Oversize Vehicle Parking Permits | City of Los Angeles,22,16,55.85,6,50%,40.91%
Park Rangers | City of Los Angeles,22,21,213.2,15,73.33%,77.27%
Rebuild Letter Request for Restoration of Damaged Buildings | City of Los Angeles,22,20,90.17,18,61.11%,72.73%
Riordan Series 1993-2001 | City of Los Angeles,22,19,4.29,4,100%,22.73%
Utility Tax Exemption - The City of Los Angeles,22,19,241.88,12,83.33%,63.64%
Workers' Compensation - Sworn Fire Claims - The City of Los Angeles,22,20,63.75,18,61.11%,63.64%
Affordable Housing Bond Program - The City of Los Angeles,21,19,248.29,16,81.25%,66.67%
Audio and Video FAQs | City of Los Angeles,21,20,23.11,1,0%,14.29%
Building and Safety Inspection Results | City of Los Angeles,21,20,106.62,9,33.33%,38.1%
Cabrillo Marine Aquarium | City of Los Angeles,21,18,71.57,5,60%,33.33%
City Contracts - Online Search | City of Los Angeles,21,14,209.46,5,0%,38.1%
Commercial Crimes Division - LAPD | City of Los Angeles,21,18,192.43,13,84.62%,66.67%
"Constituent Service, Office of the Mayor - The City of Los Angeles",21,20,369.67,14,85.71%,85.71%
Coroner | City of Los Angeles,21,14,195.29,13,53.85%,66.67%
Department of Cultural Affairs Annual Festival Guide | City of Los Angeles,21,16,55.63,2,100%,23.81%
Fiscal Operations Division - LAPD | City of Los Angeles,21,19,205,14,92.86%,80.95%
For the Homeless | City of Los Angeles,21,15,50.23,2,50%,38.1%
Friendship Auditorium | City of Los Angeles,21,15,58,13,53.85%,57.14%
Gang Units / Details - LAPD | City of Los Angeles,21,19,93.75,17,72.22%,80.95%
GIS Map Gallery Department of City Planning | City of Los Angeles,21,19,135.5,5,40%,42.86%
Griffith Park | City of Los Angeles,21,17,71.4,3,66.67%,52.38%
High-Rise Fire Safety Enforcement - The City of Los Angeles,21,21,111.63,13,76.92%,61.9%
Human Trafficking Task Force - LAPD | City of Los Angeles,21,21,41,20,85%,85.71%
LA Kids Free Basketball Clinic | City of Los Angeles,21,21,24.93,1,0%,33.33%
LA PARKS Service Request Application | City of Los Angeles,21,20,157.09,3,33.33%,47.62%
Lot Cleaning | City of Los Angeles,21,13,182.86,3,66.67%,33.33%
Most Requested Services for Businesses - The City of Los Angeles,21,20,64.38,0,0%,0%
Overload Permits - The City of Los Angeles,21,20,44.67,3,0%,71.43%
Public Meetings | City of Los Angeles,21,15,24.95,2,0%,9.52%
Restaurant & Hospitality Express Permitting Program | City of Los Angeles,21,18,198,12,30.77%,57.14%
Scheduling Section 8 Property Inspection - The City of Los Angeles,21,19,52.57,17,70.59%,66.67%
Septic Systems - Onsite Wastewater Treatment Systems (OWTS) Program | City of Los Angeles,21,18,370.63,17,52.94%,61.9%
Stormwater Drainage/Flooding Complaint | City of Los Angeles,21,18,82.88,10,70%,61.9%
Survey Monument Coordinates - The City of Los Angeles,21,18,150.63,17,58.82%,61.9%
Sustainable Practices | City of Los Angeles,21,18,62.47,0,0%,28.57%
Trash and Recycling Transfer Station - The City of Los Angeles,21,16,97.27,10,70%,47.62%
Valley Region Headquarters - The City of Los Angeles,21,12,331.17,11,45.45%,42.86%
Valley Region Headquarters | City of Los Angeles,21,14,209.9,11,36.36%,52.38%
Zoning Letter Request for Individual Property | City of Los Angeles,21,21,566.33,14,50%,71.43%
Animal Cruelty | City of Los Angeles,20,19,274,16,62.5%,85%
Board of Civil Service Commissioners | City of Los Angeles,20,15,32.94,3,66.67%,10%
Building Trade Examination Applications and Licenses - The City of Los Angeles,20,13,63.64,9,33.33%,30%
Council District 8 - The City of Los Angeles,20,17,42.71,14,64.29%,65%
Energy Efficiency Solutions/Incentive Programs | City of Los Angeles,20,17,89,5,40%,50%
Fishing | City of Los Angeles,20,19,63.55,6,83.33%,45%
Für Besucher | Stadt Los Angeles,20,16,64.75,0,0%,20%
Grace E. Simons Lodge | City of Los Angeles,20,16,153.44,13,61.54%,55%
Griffith Park Half Marathon and 5K | City of Los Angeles,20,18,424.63,9,0%,60%
Personnel | City of Los Angeles,20,13,211.64,6,50%,45%
"Port/Harbor Vessel Traffic, Ship Pilots | City of Los Angeles",20,19,76,16,68.75%,85%
Recycling | City of Los Angeles,20,19,179.67,4,25%,70%
Report a Property Violation (for Apartments) - The City of Los Angeles,20,18,251.6,8,62.5%,50%
"Tract Maps, Parcel Maps - The City of Los Angeles",20,19,271.3,3,66.67%,50%
Voter Information | City of Los Angeles,20,17,29.15,2,33.33%,35%
Water Resources Planning: One Water LA Plan - The City of Los Angeles,20,16,311.13,12,83.33%,60%
Bradley Series 1973-1993 | City of Los Angeles,19,19,3.53,5,80%,21.05%
Chinese American Museum - The City of Los Angeles,19,19,38,17,100%,94.74%
City Planning Commission (CPC) - The City of Los Angeles,19,18,171.7,4,75%,47.37%
"Clerk, Office of the City | City of Los Angeles",19,16,36.55,1,0%,42.11%
Council District 11 | City of Los Angeles,19,17,76.33,11,27.27%,52.63%
Emergency Repair & Maintenance | City of Los Angeles,19,16,29.13,0,0%,15.79%
Fire Prevention Bureau - Valley Public Safety | City of Los Angeles,19,16,82.83,12,58.33%,68.42%
Friendship Auditorium - The City of Los Angeles,19,16,66.14,3,66.67%,26.32%
Los Angeles Fire Department Brush Clearance Web Payment - The City of Los Angeles,19,15,109.9,10,60%,47.37%
Neighborhood Prosecutor Program (NPP) | City of Los Angeles,19,19,241.4,14,35.71%,73.68%
Parking at El Pueblo | City of Los Angeles,19,13,126.38,12,58.33%,57.89%
Passenger Services | City of Los Angeles,19,15,51.4,1,0%,21.05%
Pre-Inspections | City of Los Angeles,19,15,74.13,12,66.67%,57.89%
Solid Waste Collection Services - The City of Los Angeles,19,16,132,2,50%,31.58%
"Subdivisions (Parcel Map, Tract Map, Private Streets General Inf) - The City of Los Angeles",19,18,73.67,12,91.67%,84.21%
"Traffic Divisions, Front Desk (4 Bureaus) | City of Los Angeles",19,19,119.75,11,90.91%,78.95%
Valley Traffic Division - LAPD | City of Los Angeles,19,16,364,16,75%,84.21%
Volunteer Cleanup Assistance / Community Beautification - The City of Los Angeles,19,17,100.83,11,90.91%,68.42%
Volunteers | City of Los Angeles,19,18,54.81,1,0%,15.79%
Affordable Housing Commission - Regular Meeting | City of Los Angeles,18,12,59.43,0,0%,22.22%
"Background, Certifications, Folders, Records (Personnel) - The City of Los Angeles",18,15,235.71,9,66.67%,61.11%
Banner Permits | City of Los Angeles,18,15,178.08,3,33.33%,33.33%
Become a Docent at El Pueblo - The City of Los Angeles,18,16,103.94,0,0%,11.11%
Bicycle License - LAPD | City of Los Angeles,18,18,45.6,16,75%,72.22%
BOS White and Green Mesh Trash Receptacles - The City of Los Angeles,18,18,76,2,50%,55.56%
Breeding Animals - The City of Los Angeles,18,17,51,3,100%,44.44%
Certification of Disadvantaged Business Enterprises (DBE) - The City of Los Angeles,18,15,29,10,90%,61.11%
City Records Center | City of Los Angeles,18,16,234.56,5,80%,50%
Citywide Minimum Wage / City Administrative Officer / Chief Legislative Analyst / Economic Workforce Development Department / Procure an Economic Analysis | City of Los Angeles,18,16,13.33,0,0%,16.67%
Civic Center Area Parking Lots - The City of Los Angeles,18,18,75,16,93.75%,94.44%
Council Files | City of Los Angeles,18,17,141.11,8,37.5%,50%
Curbside Passenger Pickup/Dropoff - LAX - The City of Los Angeles,18,18,75.5,18,88.89%,88.89%
Dept of Neighborhood Empowerment - Comments and Complaints | City of Los Angeles,18,17,341.33,7,57.14%,50%
Fire Dept. Personnel Service - The City of Los Angeles,18,16,60,11,81.82%,61.11%
Funding Capital Projects (Community Development Block Grants) | City of Los Angeles,18,18,55.75,13,69.23%,77.78%
Hanging Shoes Removal from Utility Lines - The City of Los Angeles,18,13,330.4,11,81.82%,72.22%
Homeowner Guide for Additions and Remodeling | City of Los Angeles,18,16,319.17,12,41.67%,66.67%
"Los Angeles Homeless Services Authority, Comments and Complaints - The City of Los Angeles",18,16,85.42,4,100%,33.33%
Lot Split Information - The City of Los Angeles,18,15,108.44,9,88.89%,50%
Multi Family Bulky Item Fee - The City of Los Angeles,18,18,68.86,2,100%,22.22%
Office of Discrimination Complaint Resolution - The City of Los Angeles,18,17,129,14,71.43%,72.22%
Orcutt Ranch - The City of Los Angeles,18,15,99.64,1,0%,22.22%
Parking Meter Service Request - The City of Los Angeles,18,17,126.71,3,100%,61.11%
Police Training & Education - LAPD | City of Los Angeles,18,18,0,17,76.47%,100%
Public Easement and Street Vacation - The City of Los Angeles,18,17,41,13,84.62%,72.22%
"Public Works Projects Bid Results, Summaries, and Evaluations - The City of Los Angeles",18,16,233.5,9,77.78%,44.44%
Recruitment and Employment Division - LAPD | City of Los Angeles,18,17,90.75,12,83.33%,77.78%
Request for an Inspection by a Deputy Inspector | City of Los Angeles,18,17,58,9,77.78%,72.22%
Requests for Fire Investigation Reports - The City of Los Angeles,18,17,289.83,12,83.33%,66.67%
Required Forms and Insurance | City of Los Angeles,18,11,88.93,1,100%,16.67%
Robbery-Homicide Division - LAPD - The City of Los Angeles,18,12,72.14,11,63.64%,61.11%
Septic Tanks - Private Sewage Disposal System | City of Los Angeles,18,13,132.43,10,60%,61.11%
South Valley Area Planning Commission Agenda | City of Los Angeles,18,11,97.87,3,33.33%,16.67%
street light out on steel or concrete pole | City of Los Angeles,18,17,71.8,3,66.67%,44.44%
Street Resurfacing - The City of Los Angeles,18,10,46.5,2,100%,22.22%
Water Conservation - The City of Los Angeles,18,17,65.14,8,87.5%,61.11%
YouthSource System (YSCs) - Youth Career and Educational Services | City of Los Angeles,18,16,236,11,81.82%,72.22%
Apple,17,10,738.27,5,40%,35.29%
Building Permit Clearance Handbook | City of Los Angeles,17,16,111.33,4,100%,47.06%
Business Inclusion Program | City of Los Angeles,17,17,109,7,37.5%,47.06%
Criminal Branch - The City of Los Angeles,17,16,60.25,8,75%,52.94%
Estimated Inspection Time of Arrival Lookup or Inquiry | City of Los Angeles,17,13,44.17,11,54.55%,64.71%
Fire Permits Renewal Information - The City of Los Angeles,17,15,89.56,12,58.33%,47.06%
Flight Information | City of Los Angeles,17,13,115.78,0,0%,47.06%
Food Service Establishment Waste Disposal Requirements - The City of Los Angeles,17,16,102.43,11,81.82%,58.82%
Homeowner Guide for Additions and Remodeling - The City of Los Angeles,17,13,138.71,9,55.56%,58.82%
Municipal Sports | City of Los Angeles,17,17,23.63,5,80%,52.94%
Pershing Square | City of Los Angeles,17,16,227.5,0,0%,52.94%
Personnel Department Firefighter Selection Process - The City of Los Angeles,17,15,23.33,1,100%,64.71%
Private Property Survey - The City of Los Angeles,17,15,194.5,12,75%,76.47%
Project Design Review | City of Los Angeles,17,15,209.43,10,63.64%,58.82%
Radius Map | City of Los Angeles,17,12,171.14,9,66.67%,58.82%
Sepulveda Garden Center - The City of Los Angeles,17,15,140.33,12,83.33%,82.35%
Sewer Capacity Availability Review and Clearance - The City of Los Angeles,17,13,195.2,11,54.55%,41.18%
Sewer Odor Control | City of Los Angeles,17,15,155,10,30%,70.59%
Stormwater Plan Checks - The City of Los Angeles,17,14,130,11,81.82%,76.47%
Stormwater Plan Checks | City of Los Angeles,17,13,185.4,9,44.44%,70.59%
Tobacco Retailer's Permit General Information | City of Los Angeles,17,15,81.5,10,60%,64.71%
Tobacco Retailer's Permit Renewal Information | City of Los Angeles,17,16,87.2,12,66.67%,70.59%
View Lobbying Quarterly Reports | City of Los Angeles,17,15,178.75,11,0%,52.94%
Ville Gouvernement | Ville de Los Angeles,17,13,19.93,0,0%,11.76%
Backyard Composting Workshop & Bin Sale Events | City of Los Angeles,16,16,125,6,100%,75%
"Ballet, Hip Hop, Piano, Gymnastics, Cheerleading, Karate, Zumba, Zumbastep (01/23/2015) | City of Los Angeles",16,14,90.92,4,50%,25%
Board of Fire and Police Agenda_01_15_15 | City of Los Angeles,16,7,10.14,1,0%,12.5%
Board of Fire Commissioners Meeting | City of Los Angeles,16,11,85.08,1,0%,18.75%
"Board of L.A. Convention & Tourism Development - Jan. 26, 2015 | City of Los Angeles",16,13,139.38,1,0%,18.75%
Collection of Excess Brush and Yard Trimmings | City of Los Angeles,16,15,118.25,5,60%,50%
Council and Committee Agendas - Subscribe to Notifications | City of Los Angeles,16,13,34.2,0,0%,37.5%
Expedited Processing - The City of Los Angeles,16,15,169.56,7,71.43%,43.75%
Graffiti and Illegal Dumping Reward Program Applications - LAPD | City of Los Angeles,16,14,242.25,5,40%,50%
HCIDLA public records requests & subpoena acceptance | City of Los Angeles,16,16,102,8,50%,68.75%
Inspection of Electrical - The City of Los Angeles,16,16,318.17,11,81.82%,62.5%
LADOT Strategic Plan | City of Los Angeles,16,8,117,5,20%,37.5%
LAX Substation - LAPD | City of Los Angeles,16,16,135,15,66.67%,87.5%
Media Relations & Community Affairs Group - LAPD | City of Los Angeles,16,14,105.75,10,50%,75%
Missed Collections/Missed Service | City of Los Angeles,16,16,321.5,3,100%,75%
Other City Commissions - The City of Los Angeles,16,14,9.92,1,100%,18.75%
Passenger Paging - LAX - The City of Los Angeles,16,16,636.5,15,93.33%,87.5%
Police Permits Renewals Information - The City of Los Angeles,16,11,101.43,10,70%,56.25%
Pour les résidents | Ville de Los Angeles,16,11,15.92,0,0%,25%
Professional Standards Bureau - LAPD | City of Los Angeles,16,13,273.33,9,55.56%,62.5%
"Public Pay Phones, TDD - ONT | City of Los Angeles",16,15,116.67,14,64.29%,81.25%
Purchasing Extra-Capacity Tags - The City of Los Angeles,16,15,122.33,5,100%,43.75%
Radius Map - The City of Los Angeles,16,15,29.78,11,63.64%,43.75%
Refunds/Claims | City of Los Angeles,16,14,93.8,9,77.78%,68.75%
Swimming Pool Draining Tips | City of Los Angeles,16,12,365.2,10,45.45%,68.75%
"Traffic Divisions, Front Desk (4 Bureaus) - The City of Los Angeles",16,15,285,3,100%,81.25%
Transportation FAQ | City of Los Angeles,16,14,46.36,0,0%,12.5%
Used Tires/Bulky Item Drop-Off - The City of Los Angeles,16,15,347,13,84.62%,75%
Volunteer Opportunities at the L.A. Public Library - The City of Los Angeles,16,16,134.44,3,66.67%,43.75%
Winter Shelter Program - The City of Los Angeles,16,14,222.33,11,90.91%,81.25%
Zoning changes | City of Los Angeles,16,16,47.5,13,76.92%,87.5%
Above Sea Level Survey Benchmarks | City of Los Angeles,15,12,374.17,9,44.44%,60%
Assigned Inspector Supervisor(s) | City of Los Angeles,15,12,35.5,1,100%,46.67%
Audio and Video FAQs - The City of Los Angeles,15,14,34.45,3,33.33%,26.67%
Bids and Construction Contracts - The City of Los Angeles,15,13,60.4,1,0%,33.33%
Centerline Notes - The City of Los Angeles,15,15,68.86,8,75%,53.33%
City Budget Information - The City of Los Angeles,15,15,25.2,2,0%,66.67%
Community Relations Office - LAPD Police Stations | City of Los Angeles,15,15,32.5,14,85.71%,86.67%
Council Journal/Actions/Minutes | City of Los Angeles,15,10,289.7,2,0%,33.33%
Cultural Heritage Commission Agenda | City of Los Angeles,15,11,28.5,0,0%,33.33%
Currency Exchange -- LAX - The City of Los Angeles,15,13,109.5,13,84.62%,86.67%
Emergency Vehicle Operations Center - LAPD | City of Los Angeles,15,14,50.67,13,76.92%,80%
Filming Permits/Filming Inspections/Studio Inspections | City of Los Angeles,15,10,55.56,5,20%,40%
Fire Safety Inspection Records - The City of Los Angeles,15,14,50.88,8,62.5%,46.67%
For Seniors | City of Los Angeles,15,12,58.82,0,0%,26.67%
Hearing Notices | City of Los Angeles,15,14,470.8,11,45.45%,66.67%
Hillside Construction Plan Review - The City of Los Angeles,15,13,118.75,8,100%,73.33%
Housing Discrimination Prevention (Fair Housing Services) | City of Los Angeles,15,12,104,2,50%,26.67%
Japanese Garden Docent-led Tours - The City of Los Angeles,15,14,143.58,1,0%,20%
Japanese Garden Docent-led Tours | City of Los Angeles,15,13,156.92,0,0%,20%
Meeting Rooms | City of Los Angeles,15,14,653,11,54.55%,86.67%
Office of Finance Employee Verification(OOF) | City of Los Angeles,15,15,131.58,1,100%,20%
Open bids & RFP's - LAX - The City of Los Angeles,15,14,68.2,7,85.71%,66.67%
Peak Hours Construction Enforcement | City of Los Angeles,15,15,48,14,85.71%,86.67%
Permit for Above Ground Telecommunication or Utility Facility | City of Los Angeles,15,11,491.71,8,50%,53.33%
Personnel Department Deferred Compensation - The City of Los Angeles,15,15,41.75,5,100%,46.67%
Personnel Department Employment Verification - The City of Los Angeles,15,14,242.57,7,42.86%,53.33%
Personnel Department Firefighter Selection Process | City of Los Angeles,15,14,46.88,0,0%,46.67%
"Public counter for street lighting maps, diagrams | City of Los Angeles",15,9,182.56,8,62.5%,40%
Request Storm Drain Maintenance/Repair | City of Los Angeles,15,14,321.25,9,77.78%,73.33%
Requirements when Selling Residential and Commercial Property - The City of Los Angeles,15,14,35,12,91.67%,93.33%
Stadtverwaltung | Stadt Los Angeles,15,13,49,1,100%,40%
Standing/Ponding/Stagnant Water (West Nile Virus) - The City of Los Angeles,15,13,36,11,90.91%,80%
Travel Town Birthday Car And Meeting Car | City of Los Angeles,15,14,33,9,77.78%,60%
Used Tires/Bulky Item Drop-Off | City of Los Angeles,15,15,421,13,61.54%,86.67%
Volunteer Information Professionals (VIP) - The City of Los Angeles,15,14,123,4,50%,26.67%
Water and power conservation information | City of Los Angeles,15,11,20.14,6,83.33%,53.33%
Wildlife | City of Los Angeles,15,15,44.5,10,80%,86.67%
Advanced Notification of Permit Expiration - The City of Los Angeles,14,13,21.64,1,0%,0%
Affordable Housing Bond Program | City of Los Angeles,14,14,0,14,92.86%,100%
Audit Committee 01_15_15 | City of Los Angeles,14,3,6.77,2,0%,7.14%
Behavioral Science Services - LAPD | City of Los Angeles,14,14,26.5,13,76.92%,85.71%
Bus Stop Regulation | City of Los Angeles,14,12,120.1,0,0%,28.57%
California Highway Patrol (CHP) / Sheriff's / Police Agencies | City of Los Angeles,14,12,38.6,8,62.5%,64.29%
Child Safety Seat Assistance - Los Angeles Police Department | City of Los Angeles,14,11,84.67,10,58.33%,78.57%
City Council Meeting-Live and On-Demand - The City of Los Angeles,14,14,31.9,10,30%,28.57%
City Planning Commission (CPC) | City of Los Angeles,14,13,98.25,1,0%,14.29%
City Planning Commssion Meeting Agenda - Canceled | City of Los Angeles,14,11,9,0,0%,14.29%
Commission Investigation Division - LAPD | City of Los Angeles,14,12,46.38,2,100%,42.86%
Constitutional Policing Unit - LAPD | City of Los Angeles,14,14,47,13,84.62%,92.86%
Criminal Gang Homicide Division - LAPD | City of Los Angeles,14,13,167,12,83.33%,78.57%
Executive Opportunities - The City of Los Angeles,14,14,24.82,0,0%,21.43%
Fishing - The City of Los Angeles,14,14,39.6,7,85.71%,64.29%
For Persons with Disabilities | City of Los Angeles,14,11,348.8,0,0%,64.29%
LA Art Show | City of Los Angeles,14,13,72.5,1,100%,42.86%
LACERS Board of Administration Meeting Agenda | City of Los Angeles,14,6,5,0,0%,7.14%
LADOT Dash & Commuter Express Real-Time Information - The City of Los Angeles,14,10,265.09,3,100%,21.43%
Licensing | City of Los Angeles,14,7,98.33,0,0%,35.71%
Los Angeles Convention Center Food and Beverage Services | City of Los Angeles,14,14,821,13,84.62%,85.71%
Los Angeles Fire Department Volunteer Programs | City of Los Angeles,14,14,89.8,1,100%,28.57%
Office of the City Clerk - Complaint Desk | City of Los Angeles,14,14,20.86,3,66.67%,50%
Owner-Builder Permits - The City of Los Angeles,14,13,35.6,11,81.82%,64.29%
Personnel Department Police Officer Selection | City of Los Angeles,14,14,124.83,5,60%,57.14%
Police Permits | City of Los Angeles,14,11,26.77,0,0%,7.14%
Police Permits General Information | City of Los Angeles,14,13,363.5,6,50%,57.14%
Public Works and Gang Reduction Committee Meeting - CANCELLED | City of Los Angeles,14,9,110.55,0,0%,21.43%
Recycling - The City of Los Angeles,14,14,48.5,1,100%,71.43%
Requests for Fire Investigation Reports | City of Los Angeles,14,12,414,8,75%,57.14%
Restaurant Hospitality Express Program (RHEP) | City of Los Angeles,14,11,98,8,60%,71.43%
Scientific Investigation Division - LAPD - The City of Los Angeles,14,13,72,13,84.62%,85.71%
Swimming Pool Facilities - The City of Los Angeles,14,14,0,14,100%,100%
