APC,CPA,Geographic Area,Case Type,Case Number,Date Filed,Date Completed                                                                                                                                                                                                                                                 
SV         , Canoga Park - Winnetka - Woodland Hills - West Hills                        , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2013-2520-SPP                                            , 15-Aug-2013 , 27-Sep-2013                                                                                                                                                           
C          , Westlake                                                                    , DOWNTOWN / WESTLAKE                                                                                  , DIR                                                          , DIR-2012-2987-SPP                                            , 25-Oct-2012 , 08-Feb-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2012-2139-CDO                                            , 08-Aug-2012 , 19-Feb-2013                                                                                                                                                           
SV         , Bel Air - Beverly Crest                                                     , WEST                                                                                                 , DIR                                                          , DIR-2012-2559-DRB-SPP-MSP                                    , 19-Sep-2012 , 20-Feb-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-2192-CWC                                            , 18-Jul-2013 , 18-Jul-2013                                                                                                                                                           
SV         , Canoga Park - Winnetka - Woodland Hills - West Hills                        , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2013-396-SPP                                             , 13-Feb-2013 , 07-Mar-2013                                                                                                                                                           
S          , West Adams - Baldwin Hills - Leimert                                        , SOUTH                                                                                                , DIR                                                          , DIR-2013-2414-CWC                                            , 06-Aug-2013 , 06-Aug-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-68-CWC                                              , 08-Jan-2013 , 09-Jan-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , DIR                                                          , DIR-2013-262-CWC                                             , 23-Jan-2013 , 30-Jan-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-271-CWC                                             , 22-Jan-2013 , 30-Jan-2013                                                                                                                                                           
W          , Westchester - Playa del Rey                                                 , COASTAL                                                                                              , DIR                                                          , DIR-2013-753-SPP                                             , 18-Mar-2013 , 08-May-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-240-CWC                                             , 02-Jan-2013 , 29-Jan-2013                                                                                                                                                           
SV         , Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass                    , IN TRANSITION                                                                                        , DIR                                                          , DIR-2010-3189-DRB-SPP-MSP-M1                                 , 03-Jan-2013 , 28-Mar-2013                                                                                                                                                           
S          , West Adams - Baldwin Hills - Leimert                                        , SOUTH                                                                                                , DIR                                                          , DIR-2013-1005-COA                                            , 05-Apr-2013 , 26-Jun-2013                                                                                                                                                           
SV         , Van Nuys - North Sherman Oaks                                               , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2013-741-CWC                                             , 15-Mar-2013 , 15-Mar-2013                                                                                                                                                           
S          , West Adams - Baldwin Hills - Leimert                                        , SOUTH                                                                                                , DIR                                                          , DIR-2013-1203-CWC                                            , 23-Apr-2013 , 23-Apr-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-2371-CWNC                                           , 23-Jul-2013 , 23-Jul-2013                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , DIR                                                          , DIR-2013-2428-CWC                                            , 24-Jul-2013 , 24-Jul-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-1831-VSO                                            , 18-Jun-2013 , 18-Jun-2013                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , DIR                                                          , DIR-2013-2881-CWC                                            , 12-Sep-2013 , 12-Sep-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-3063-VSO-MEL                                        , 01-Oct-2013 , 01-Oct-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-132-CWNC                                            , 11-Jan-2013 , 15-Jan-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-3854-CWC                                            , 04-Dec-2013 , 06-Dec-2013                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , DIR                                                          , DIR-2013-4038-CWC                                            , 11-Dec-2013 , 11-Dec-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-3841-CWC                                            , 03-Dec-2013 , 04-Dec-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , DIR                                                          , DIR-2013-3888-CWNC                                           , 06-Dec-2013 , 06-Dec-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-4106-VSO                                            , 20-Dec-2013 , 20-Dec-2013                                                                                                                                                           
SV         , Canoga Park - Winnetka - Woodland Hills - West Hills                        , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2013-2190-SPP                                            , 18-Jul-2013 , 07-Aug-2013                                                                                                                                                           
C          , Westlake                                                                    , DOWNTOWN / WESTLAKE                                                                                  , DIR                                                          , DIR-2013-1950-CWC                                            , 27-Jun-2013 , 27-Jun-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-3356-CWC                                            , 08-Oct-2013 , 08-Oct-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-2171-CWC                                            , 16-Jul-2013 , 16-Jul-2013                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , DIR                                                          , DIR-2013-2208-CWNC                                           , 16-Jul-2013 , 17-Jul-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-73-VSO                                              , 10-Jan-2013 , 10-Jan-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-198-CWC                                             , 23-Jan-2013 , 16-Jan-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-409-CWC                                             , 01-Feb-2013 , 14-Feb-2013                                                                                                                                                           
W          , Palms - Mar Vista - Del Rey                                                 , COASTAL                                                                                              , DIR                                                          , DIR-2013-459-CWC                                             , 20-Feb-2013 , 20-Feb-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-414-CWNC                                            , 29-Jan-2013 , 14-Feb-2013                                                                                                                                                           
E          , Silver Lake - Echo Park - Elysian Valley                                    , EAST                                                                                                 , DIR                                                          , DIR-2013-528-CWC                                             , 05-Feb-2013 , 26-Feb-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-547-CWC                                             , 28-Feb-2013 , 28-Feb-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , DIR                                                          , DIR-2013-3679-CWC                                            , 15-Nov-2013 , 15-Nov-2013                                                                                                                                                           
SV         , Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass                    , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2012-3001-SPP                                            , 26-Oct-2012 , 31-Jan-2013                                                                                                                                                           
SV         , Hollywood                                                                   , HOLLYWOOD                                                                                            , DIR                                                          , DIR-2013-2602-DRB-SPP-MSP                                    , 22-Aug-2013 , 08-Nov-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-2759-CWC                                            , 30-Aug-2013 , 04-Sep-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-2407-CWC                                            , 06-Aug-2013 , 06-Aug-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-2962-VSO-MEL                                        , 20-Sep-2013 , 20-Sep-2013                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , DIR                                                          , DIR-2013-2253-CWC                                            , 19-Jul-2013 , 24-Jul-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-135-SPP-MEL                                         , 17-Jan-2013 , 24-Dec-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-279-VSO                                             , 31-Jan-2013 , 31-Jan-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-515-VSO-MEL                                         , 26-Feb-2013 , 26-Feb-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , DIR                                                          , DIR-2012-2247-DRB                                            , 17-Aug-2012 , 13-Jun-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-3001-CWC                                            , 24-Sep-2013 , 24-Sep-2013                                                                                                                                                           
W          , Brentwood - Pacific Palisades                                               , WEST                                                                                                 , DIR                                                          , DIR-2013-578-DRB-SPP                                         , 04-Mar-2013 , 21-Jun-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-786-VSO                                             , 19-Mar-2013 , 19-Mar-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-1115-CWNC                                           , 10-Apr-2013 , 15-Apr-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-1118-SPP-MEL                                        , 16-Apr-2013 , 24-Dec-2013                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , DIR                                                          , DIR-2013-3453-CWNC                                           , 29-Oct-2013 , 29-Oct-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-999-VSO                                             , 05-Apr-2013 , 05-Apr-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-2944-VSO                                            , 19-Sep-2013 , 19-Sep-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-1138-CWC                                            , 01-Apr-2013 , 17-Apr-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-1223-CWNC                                           , 24-Apr-2013 , 24-Apr-2013                                                                                                                                                           
W          , Westchester - Playa del Rey                                                 , COASTAL                                                                                              , DIR                                                          , DIR-2013-1330-SPP                                            , 03-May-2013 , 22-May-2013                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , DIR                                                          , DIR-2013-1850-CWC                                            , 19-Jun-2013 , 19-Jun-2013                                                                                                                                                           
SV         , Hollywood                                                                   , HOLLYWOOD                                                                                            , DIR                                                          , DIR-2012-2936-DRB-SPP-MSP                                    , 23-Oct-2012 , 10-May-2013                                                                                                                                                           
SV         , Hollywood                                                                   , HOLLYWOOD                                                                                            , DIR                                                          , DIR-2012-3416-CLQ                                            , 13-Dec-2012 , 30-Jan-2013                                                                                                                                                           
SV         , Encino - Tarzana                                                            , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2013-158-SPP                                             , 18-Jan-2013 , 26-Feb-2013                                                                                                                                                           
SV         , Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass                    , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2012-3479-DB                                             , 18-Dec-2012 , 20-Nov-2013                                                                                                                                                           
W          , Brentwood - Pacific Palisades                                               , WEST                                                                                                 , DIR                                                          , DIR-2013-1796-DRB-SPP                                        , 14-Jun-2013 , 19-Aug-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-732-CWC                                             , 08-Jan-2013 , 09-Jan-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-2364-CWC                                            , 05-Aug-2013 , 05-Aug-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-1021-CWC                                            , 04-Mar-2013 , 07-Mar-2013                                                                                                                                                           
SV         , Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass                    , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2013-1148-SPP                                            , 18-Apr-2013 , 03-May-2013                                                                                                                                                           
W          , Palms - Mar Vista - Del Rey                                                 , COASTAL                                                                                              , DIR                                                          , DIR-2013-1297-DB                                             , 01-May-2013 , 06-Nov-2013                                                                                                                                                           
S          , West Adams - Baldwin Hills - Leimert                                        , SOUTH                                                                                                , DIR                                                          , DIR-2013-1547-CWC                                            , 23-May-2013 , 23-May-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-2771-CWC                                            , 30-Aug-2013 , 05-Sep-2013                                                                                                                                                           
NV         , Sun Valley - La Tuna Canyon                                                 , NORTH VALLEY                                                                                         , DIR                                                          , DIR-2013-3145-CLQ                                            , 08-Oct-2013 , 10-Dec-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-3212-CWC                                            , 01-Oct-2013 , 01-Oct-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-661-VSO                                             , 11-Mar-2013 , 11-Mar-2013                                                                                                                                                           
SV         , Bel Air - Beverly Crest                                                     , WEST                                                                                                 , DIR                                                          , DIR-2013-907-DRB-SPP-MSP                                     , 28-Mar-2013 , 13-May-2013                                                                                                                                                           
C          , Wilshire                                                                    , WILSHIRE                                                                                             , DIR                                                          , DIR-2013-1134-CWC                                            , 01-Apr-2013 , 17-Apr-2013                                                                                                                                                           
NV         , Chatsworth - Porter Ranch                                                   , NORTH VALLEY                                                                                         , DIR                                                          , DIR-2013-1764-SPP                                            , 13-Jun-2013 , 16-Aug-2013                                                                                                                                                           
E          , Silver Lake - Echo Park - Elysian Valley                                    , EAST                                                                                                 , DIR                                                          , DIR-2013-2534-CWC                                            , 02-Aug-2013 , 08-Aug-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-2566-VSO                                            , 20-Aug-2013 , 20-Aug-2013                                                                                                                                                           
S          , South Los Angeles                                                           , SOUTH                                                                                                , DIR                                                          , DIR-2013-1506-CWC                                            , 22-May-2013 , 22-May-2013                                                                                                                                                           
SV         , Van Nuys - North Sherman Oaks                                               , SOUTH VALLEY                                                                                         , DIR                                                          , DIR-2013-2521-CDO                                            , 15-Aug-2013 , 25-Sep-2013                                                                                                                                                           
C          , Hollywood                                                                   , HOLLYWOOD                                                                                            , DIR                                                          , DIR-2013-918-CWC                                             , 29-Mar-2013 , 29-Mar-2013                                                                                                                                                           
W          , Palms - Mar Vista - Del Rey                                                 , COASTAL                                                                                              , DIR                                                          , DIR-2013-919-CWC                                             , 05-Mar-2013 , 20-Mar-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-1255-CWNC                                           , 16-Apr-2013 , 26-Apr-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-1270-CWC                                            , 29-Apr-2013 , 08-May-2013                                                                                                                                                           
W          , Venice                                                                      , COASTAL                                                                                              , DIR                                                          , DIR-2013-914-VSO                                             , 29-Mar-2013 , 29-Mar-2013                                                                                                                                                           
E          , Northeast Los Angeles                                                       , EAST                                                                                                 , DIR                                                          , DIR-2013-936-CWC                                             , 26-Mar-2013 , 05-Apr-2013                                                                                                                                                           
