Case Number,LADBS Inspection District,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,GIS Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Response Days,Status of Case,Latitude/Longitude
519205,1124,823,,E,76TH,ST,,90001,10/23/2013,,102B209   384,GENERAL,South Los Angeles,,O,"(33.9713, -118.2599)"
446096,1114,2515,,W,76TH,ST,,90047,02/08/2012,,099B189    53,GENERAL,South Los Angeles,,O,"(33.97107, -118.3214)"
471835,1114,3210,,W,76TH,ST,,90043,06/26/2012,,099B185    84,GENERAL,South Los Angeles,,O,"(33.97077, -118.32911)"
426501,1102,5446,,W,76TH,ST,,90045,08/15/2011,,099B173   277,GENERAL,West Los Angeles,,O,"(33.96862, -118.37559)"
608984,1124,119,,E,77TH,ST,,90003,06/10/2014,,099B205   277,GENERAL,South Los Angeles,,O,"(33.96972, -118.27314)"
593327,1124,139,,W,77TH,ST,,90003,05/14/2014,,099B201   153,GENERAL,South Los Angeles,,O,"(33.96996, -118.27539)"
497281,1124,153,,W,77TH,ST,,90003,04/19/2013,,099B201   156,GENERAL,South Los Angeles,,O,"(33.96996, -118.27583)"
496319,1114,731,,W,77TH,ST,,90044,04/11/2013,,099B201   206,GENERAL,South Los Angeles,,O,"(33.96988, -118.28647)"
645902,1124,743,,E,77TH,ST,,90001,07/25/2014,,099B205   296,GENERAL,South Los Angeles,,O,"(33.96947, -118.2615)"
425797,1114,1301,,W,77TH,ST,,90044,08/05/2011,,099B197   189,GENERAL,South Los Angeles,,O,"(33.97032, -118.29832)"
403724,1114,1816,,W,77TH,ST,,90047,01/04/2011,,099B193   309,GENERAL,South Los Angeles,,O,"(33.96986, -118.30973)"
476136,1114,2036,,W,77TH,ST,,90047,08/07/2012,,099B189   251,GENERAL,South Los Angeles,,O,"(33.96986, -118.31464)"
519244,1102,5460,,W,77TH,ST,,90045,10/23/2013,,099B173   298,GENERAL,West Los Angeles,,O,"(33.96824, -118.3765)"
452708,4103,161,,W,78TH,ST,,90003,03/01/2012,,099B201   316,CNAP,South Los Angeles,,O,"(33.96899, -118.27598)"
475206,1124,161,,E,78TH,ST,,90003,07/27/2012,,099B205   398,GENERAL,South Los Angeles,,O,"(33.9689, -118.27183)"
491175,1124,231,,E,78TH,ST,,90003,02/15/2013,,099B205   415,GENERAL,South Los Angeles,,O,"(33.96889, -118.27076)"
631957,1114,1211,,W,78TH,ST,,90044,07/08/2014,,099B197   318,GENERAL,South Los Angeles,,O,"(33.96951, -118.29676)"
603852,1114,1320,,W,78TH,ST,,90044,06/04/2014,,099B197   391,GENERAL,South Los Angeles,,O,"(33.96928, -118.29897)"
424484,1114,2016,,W,78TH,ST,,90047,07/21/2011,,099B189   353,GENERAL,South Los Angeles,,O,"(33.96897, -118.31398)"
613791,1114,3306,,W,78TH,PL,,90043,06/17/2014,,099B185   351,GENERAL,South Los Angeles,,O,"(33.96799, -118.32985)"
486875,1114,3311,,W,78TH,ST,,90043,12/12/2012,,099B185   202,GENERAL,South Los Angeles,,O,"(33.96918, -118.32993)"
431396,1114,3435,,W,78TH,ST,,90043,10/20/2011,,099B185   206,GENERAL,South Los Angeles,,O,"(33.96918, -118.33211)"
404028,4101,5601,,W,78TH,ST,,90045,01/11/2011,,099B173   377,CNAP,West Los Angeles,,O,"(33.96731, -118.37918)"
491754,1101,5937,,W,78TH,ST,,90045,02/25/2013,,099B169   361,GENERAL,West Los Angeles,,O,"(33.96913, -118.38797)"
492605,1124,214,,E,79TH,ST,,90003,03/01/2013,,099B205   628,GENERAL,South Los Angeles,,O,"(33.96776, -118.27129)"
495583,1124,242,,E,79TH,ST,,90003,03/28/2013,,099B205   622,GENERAL,South Los Angeles,,O,"(33.96777, -118.27036)"
495366,1124,246,,E,79TH,ST,,90003,03/22/2013,,099B205   621,GENERAL,South Los Angeles,,O,"(33.96777, -118.27023)"
571404,1124,755,,E,79TH,ST,,90001,04/08/2014,,099B205   589,GENERAL,South Los Angeles,,O,"(33.96756, -118.2611)"
499204,1114,1134,,W,79TH,ST,,90044,05/08/2013,,099B197   582,GENERAL,South Los Angeles,,O,"(33.96715, -118.29542)"
643788,1114,1447,,W,79TH,ST,,90047,07/21/2014,,099B193   718,GENERAL,South Los Angeles,,O,"(33.96742, -118.30203)"
538990,1114,1622,,W,79TH,ST,,90047,01/29/2014,,099B193   811,GENERAL,South Los Angeles,,O,"(33.96718, -118.30542)"
485018,1114,2027,,W,79TH,ST,,90047,11/20/2012,,099B189   498,GENERAL,South Los Angeles,,O,"(33.96739, -118.31431)"
418495,2121,100,,W,7TH,ST,,90014,05/17/2011,,127-5A211 121,GENERAL,Central,,O,"(34.04389, -118.25173)"
483953,2121,111,,W,7TH,ST,,90014,11/09/2012,,127-5A211  93,GENERAL,Central,,O,"(34.04428, -118.25156)"
615772,2121,219,,W,7TH,ST,,90014,06/19/2014,,127-5A211  40,GENERAL,Central,,O,"(34.04504, -118.25277)"
552772,2121,308,,W,7TH,ST,,90014,02/27/2014,,127-5A211  33,GENERAL,Central,,O,"(34.04532, -118.2538)"
583189,8202,310,,W,7TH,ST,,90014,04/28/2014,,127-5A211  33,SIGNS,Central,,O,"(34.04534, -118.25382)"
569158,2121,505,,W,7TH,ST,,90014,04/03/2014,,129A209   151,GENERAL,Central,,O,"(34.04681, -118.25558)"
502055,2121,530,,W,7TH,ST,,90014,06/12/2013,,129A209   261,GENERAL,Central,,O,"(34.04692, -118.25643)"
405458,2121,801,,E,7TH,ST,,90021,02/07/2011,,126A213   287,GENERAL,Central,,O,"(34.03955, -118.24481)"
510660,2121,1225,,E,7TH,ST,,90021,08/26/2013,,124-5A213  37,GENERAL,Central,,O,"(34.03711, -118.24139)"
466773,8202,2410,,W,7TH,ST,,90057,05/24/2012,,132A201    30,SIGNS,Central,,O,"(34.05789, -118.28033)"
624020,2121,2447,,E,7TH,ST,,90023,06/25/2014,,123A221    28,GENERAL,East Los Angeles,,O,"(34.03287, -118.21799)"
423293,2121,2655,,E,7TH,ST,,90023,07/06/2011,,123A223   194,GENERAL,East Los Angeles,,O,"(34.03103, -118.2139)"
508931,1130,3414,,S,7TH,AVE,,90018,08/08/2013,,120B189   780,GENERAL,South Los Angeles,,O,"(34.02503, -118.32464)"
601835,2123,3460,,W,7TH,ST,,90005,05/31/2014,,132B193   313,CITATIONS,Central,,O,"(34.05958, -118.3025)"
458047,2121,3554,1/2,E,7TH,ST,,90023,04/03/2012,,120A227    87,GENERAL,East Los Angeles,,O,"(34.02379, -118.1983)"
584796,1130,3623,,S,7TH,AVE,,90018,05/01/2014,,120B189  1361,GENERAL,South Los Angeles,,O,"(34.02223, -118.3249)"
514646,2103,4072,,W,7TH,ST,,90005,09/25/2013,,132B189   324,GENERAL,Central,,O,"(34.05977, -118.31676)"
492689,1110,4826,,S,7TH,AVE,,90043,03/04/2013,,111B189  1069,GENERAL,South Los Angeles,,O,"(33.99911, -118.32453)"
496653,1110,5436,,S,7TH,AVE,,90043,04/15/2013,,108B189   827,GENERAL,South Los Angeles,,O,"(33.99208, -118.32457)"
496761,1110,5838,,S,7TH,AVE,,90043,04/16/2013,02/21/2015,108B189  1606,GENERAL,South Los Angeles,676,O,"(33.98796, -118.32435)"
524879,1110,6002,,S,7TH,AVE,,90043,12/05/2013,,105B189   560,GENERAL,South Los Angeles,,O,"(33.98526, -118.32437)"
509245,1110,6411,,S,7TH,AVE,,90043,08/12/2013,,105B189  1434,GENERAL,South Los Angeles,,O,"(33.9815, -118.32465)"
476007,1110,6666,,S,7TH,AVE,,90043,08/06/2012,,102B189   380,GENERAL,South Los Angeles,,O,"(33.97846, -118.32442)"
443735,1114,7044,,S,7TH,AVE,,90043,01/31/2012,,102B189  1206,GENERAL,South Los Angeles,,O,"(33.97517, -118.32444)"
482415,1124,115,,E,80TH,ST,,90003,10/23/2012,,099B205   687,GENERAL,South Los Angeles,,O,"(33.9671, -118.27332)"
429633,1124,122,,E,80TH,ST,,90003,09/26/2011,,099B205   807,GENERAL,South Los Angeles,,O,"(33.9669, -118.27306)"
504323,2123,350,,W,80TH,ST,,90003,07/02/2013,,099B201   767,CITATIONS,South Los Angeles,,O,"(33.96679, -118.28002)"
556684,1114,731,,W,80TH,ST,,90044,03/11/2014,,099B201   733,GENERAL,South Los Angeles,,O,"(33.96683, -118.28661)"
476092,4103,907,,E,80TH,ST,,90001,08/06/2012,,099B209   348,CNAP,South Los Angeles,,O,"(33.96662, -118.25829)"
506466,1114,1919,,W,80TH,ST,,90047,07/19/2013,,099B193   946,GENERAL,South Los Angeles,,O,"(33.9665, -118.31193)"
597669,1102,7721,,W,80TH,ST,,90293,05/27/2014,,099B157   239,GENERAL,West Los Angeles,,O,"(33.96384, -118.43182)"
471729,1102,7822,,W,80TH,ST,,90293,06/25/2012,,096B153    31,GENERAL,West Los Angeles,,O,"(33.96275, -118.4333)"
471852,1102,7826,,W,80TH,ST,,90293,06/26/2012,,096B153    36,GENERAL,West Los Angeles,,O,"(33.96266, -118.4335)"
468044,1102,7827,,W,80TH,ST,,90293,06/05/2012,,096B153    16,GENERAL,West Los Angeles,,O,"(33.96285, -118.43367)"
572956,1124,130,,W,81ST,ST,,90003,04/09/2014,,099B201   915,GENERAL,South Los Angeles,,O,"(33.96585, -118.27502)"
509164,1124,735,,E,81ST,ST,,90001,08/09/2013,,099B205   978,GENERAL,South Los Angeles,,O,"(33.9657, -118.26176)"
469185,1114,1056,,W,81ST,ST,,90044,06/12/2012,,099B197   912,GENERAL,South Los Angeles,,O,"(33.96569, -118.2939)"
489490,1114,1101,,W,81ST,PL,,90044,01/18/2013,,099B197   986,GENERAL,South Los Angeles,,O,"(33.96519, -118.2943)"
489666,1114,1141,,W,81ST,ST,,90044,01/24/2013,,099B197   834,GENERAL,South Los Angeles,,O,"(33.96588, -118.29553)"
491151,1102,6521,,W,81ST,ST,,90045,02/15/2013,,099B165   775,GENERAL,West Los Angeles,,O,"(33.96551, -118.4026)"
498930,1124,223,,E,82ND,PL,,90003,05/03/2013,,099B205  1229,GENERAL,South Los Angeles,,O,"(33.96464, -118.27094)"
466862,1124,310,,W,82ND,ST,,90003,05/24/2012,,099B201  1089,GENERAL,South Los Angeles,,O,"(33.96495, -118.27873)"
486614,1124,333,,W,82ND,ST,,90003,12/07/2012,,099B201   969,GENERAL,South Los Angeles,,O,"(33.96517, -118.27959)"
445707,1114,617,,W,82ND,ST,,90044,02/06/2012,,099B201  1122,GENERAL,South Los Angeles,,O,"(33.9644, -118.28477)"
442309,1124,712,,E,82ND,ST,,90001,01/18/2012,,099B205  1268,GENERAL,South Los Angeles,,O,"(33.96457, -118.26241)"
596130,4103,719,,E,82ND,ST,,90001,05/22/2014,,099B205  1174,CNAP,South Los Angeles,,O,"(33.96479, -118.26228)"
637423,1124,756,,E,82ND,ST,,90001,07/15/2014,,099B205  1258,GENERAL,South Los Angeles,,O,"(33.96452, -118.261)"
572959,1114,932,,W,82ND,ST,,90044,04/09/2014,,099B197  1355,GENERAL,South Los Angeles,,O,"(33.96415, -118.29032)"
615354,1114,1030,,W,82ND,ST,,90044,06/18/2014,,099B197  1266,GENERAL,South Los Angeles,,O,"(33.96428, -118.29309)"
455069,1114,1200,,W,82ND,ST,,90044,03/08/2012,,099B197  1294,GENERAL,South Los Angeles,,O,"(33.96423, -118.29602)"
514294,1114,637,,W,83RD,ST,,90044,09/23/2013,,099B201  1364,GENERAL,South Los Angeles,,O,"(33.96331, -118.28536)"
451270,1114,728,,W,83RD,ST,,90044,02/27/2012,,097-5A201  43,GENERAL,South Los Angeles,,O,"(33.96305, -118.28633)"
495596,1114,1121,,W,83RD,ST,,90044,03/29/2013,,099B197  1386,GENERAL,South Los Angeles,,O,"(33.9638, -118.29485)"
588513,4103,1859,,W,83RD,ST,,90047,05/08/2014,,099B193  1444,CNAP,South Los Angeles,,O,"(33.96378, -118.3109)"
480993,1114,1951,,W,83RD,ST,,90047,10/03/2012,,099B193  1431,GENERAL,South Los Angeles,,O,"(33.96378, -118.31295)"
426317,1102,6207,,W,83RD,PL,,90045,08/12/2011,,099B165  1232,GENERAL,West Los Angeles,,O,"(33.96305, -118.39388)"
476180,1102,7401,,W,83RD,ST,,90045,08/07/2012,,096B157   293,GENERAL,West Los Angeles,,O,"(33.96154, -118.42674)"
496854,1102,7409,,W,83RD,ST,,90045,04/16/2013,,096B157   294,GENERAL,West Los Angeles,,O,"(33.96154, -118.42679)"
562268,1124,130,,E,84TH,PL,,90003,03/18/2014,,097-5A205 185,GENERAL,South Los Angeles,,O,"(33.9618, -118.27277)"
487719,1124,201,,W,84TH,ST,,90003,12/28/2012,,099B201  1337,GENERAL,South Los Angeles,,O,"(33.96337, -118.27616)"
637424,1124,212,,W,84TH,PL,,90003,07/15/2014,,097-5A203 133,GENERAL,South Los Angeles,,O,"(33.9622, -118.27649)"
595529,1124,726,,E,84TH,PL,,90001,05/20/2014,,097-5A207 161,GENERAL,South Los Angeles,,O,"(33.96185, -118.26202)"
550985,1124,750,,E,84TH,PL,,90001,02/21/2014,,097-5A207 154,GENERAL,South Los Angeles,,O,"(33.96186, -118.26123)"
481491,1124,832,,E,84TH,ST,,90001,10/11/2012,02/18/2015,097-5A209  32,GENERAL,South Los Angeles,860,O,"(33.96276, -118.25956)"
500059,1124,324,,E,85TH,ST,,90003,05/20/2013,,097-5A205 255,GENERAL,South Los Angeles,,O,"(33.96087, -118.26859)"
424216,1124,329,,E,85TH,ST,,90003,07/19/2011,,097-5A205 207,GENERAL,South Los Angeles,,O,"(33.96113, -118.26846)"
481414,1124,714,,E,85TH,ST,,90001,10/11/2012,,097-5A207 245,GENERAL,South Los Angeles,,O,"(33.96094, -118.26241)"
565175,1114,1324,,W,85TH,ST,,90044,03/21/2014,,097-5A197 282,GENERAL,South Los Angeles,,O,"(33.96071, -118.2991)"
445270,1114,1712,,W,85TH,ST,,90047,02/03/2012,,097-5A193 226,GENERAL,South Los Angeles,,O,"(33.96078, -118.30737)"
538831,1114,1732,,W,85TH,ST,,90047,01/29/2014,,097-5A193 230,GENERAL,South Los Angeles,,O,"(33.96078, -118.30804)"
555511,1114,1838,,W,85TH,ST,,90047,03/06/2014,,097-5A193 256,GENERAL,South Los Angeles,,O,"(33.96077, -118.31035)"
631945,1114,2051,,W,85TH,ST,,90047,07/07/2014,,097-5A191 165,GENERAL,South Los Angeles,,O,"(33.96101, -118.31513)"
428057,1102,5924,,W,85TH,PL,,90045,09/09/2011,,096B169   487,GENERAL,West Los Angeles,,O,"(33.96033, -118.38666)"
476815,1102,6112,,W,85TH,PL,,90045,08/20/2012,,096B169   500,GENERAL,West Los Angeles,,O,"(33.96027, -118.39215)"
597382,1102,6136,,W,85TH,PL,,90045,05/27/2014,,096B165   503,GENERAL,West Los Angeles,,O,"(33.96032, -118.39281)"
490900,1102,7114,,W,85TH,ST,,90045,02/12/2013,,096B161   572,GENERAL,West Los Angeles,,O,"(33.96055, -118.41736)"
478986,1114,117,,W,87TH,ST,,90003,09/18/2012,,096A203    24,GENERAL,South Los Angeles,,O,"(33.9587, -118.27464)"
431366,1114,218,,W,87TH,ST,,90003,10/19/2011,,096A203    86,GENERAL,South Los Angeles,,O,"(33.95855, -118.27675)"
500939,4103,242,,W,87TH,PL,,90003,05/29/2013,,096A203   168,CNAP,South Los Angeles,,O,"(33.95781, -118.27743)"
571484,1124,638,,E,87TH,PL,,90002,04/08/2014,,096A207    74,GENERAL,South Los Angeles,,O,"(33.95822, -118.26365)"
459838,1124,726,,E,87TH,ST,,90002,04/12/2012,,097-5A207 378,GENERAL,South Los Angeles,,O,"(33.95913, -118.26207)"
571501,1124,906,,E,87TH,ST,,90002,04/08/2014,,097-5A209 347,GENERAL,South Los Angeles,,O,"(33.95915, -118.25832)"
608693,1124,918,,E,87TH,PL,,90002,06/10/2014,,096A209    64,GENERAL,South Los Angeles,,O,"(33.95824, -118.25792)"
526451,1102,6519,,W,87TH,PL,,90045,12/12/2013,,096B165   812,GENERAL,West Los Angeles,,O,"(33.95795, -118.40233)"
557739,1114,140,,W,88TH,PL,,90003,03/13/2014,,096A203   338,GENERAL,South Los Angeles,,O,"(33.95636, -118.2753)"
613796,1124,215,,E,88TH,ST,,90003,06/17/2014,,096A205   146,GENERAL,South Los Angeles,,O,"(33.95728, -118.27117)"
429690,1114,234,,W,89TH,ST,,90003,09/27/2011,,096A203   441,GENERAL,South Los Angeles,,O,"(33.9553, -118.27723)"
613798,1124,314,,E,89TH,ST,,90003,06/17/2014,,096A205   344,GENERAL,South Los Angeles,,O,"(33.95542, -118.2689)"
592091,1124,318,,E,89TH,ST,,90003,05/14/2014,,096A205   343,GENERAL,South Los Angeles,,O,"(33.95542, -118.26885)"
432402,1124,815,,E,89TH,ST,,90002,11/07/2011,,096A209   284,GENERAL,South Los Angeles,,O,"(33.95572, -118.26025)"
490914,2304,280,,W,8TH,ST,,90731,02/13/2013,,015B201   265,VEIP,Harbor,,O,"(33.73704, -118.28315)"
512588,2121,315,,E,8TH,ST,,90014,09/11/2013,,126A211   452,GENERAL,Central,,O,"(34.04105, -118.25116)"
486028,2121,315,,E,8TH,ST,,90014,12/03/2012,,126A211   452,GENERAL,Central,,O,"(34.04105, -118.25116)"
517829,2121,600,,E,8TH,ST,,90014,10/15/2013,,126A211   261,GENERAL,Central,,O,"(34.0392, -118.24966)"
517551,2121,600,,E,8TH,ST,,90014,10/10/2013,,126A211   261,GENERAL,Central,,O,"(34.0392, -118.24966)"
458044,2121,1000,,E,8TH,ST,,90021,04/03/2012,,124-5A213 277,GENERAL,Central,,O,"(34.03559, -118.24594)"
643198,1142,1335,,W,8TH,ST,,90732,07/21/2014,,015B193   547,GENERAL,Harbor,,O,"(33.7369, -118.30647)"
504788,1130,2501,,S,8TH,AVE,,90018,07/09/2013,,123B189   501,GENERAL,South Los Angeles,,O,"(34.03418, -118.32617)"
593757,1130,2531,,S,8TH,AVE,,90018,05/15/2014,,123B189   588,GENERAL,South Los Angeles,,O,"(34.03345, -118.32618)"
477877,1130,2534,,S,8TH,AVE,,90018,09/05/2012,,123B189   610,GENERAL,South Los Angeles,,O,"(34.03329, -118.32584)"
612435,2121,2683,,E,8TH,ST,,90023,06/12/2014,,121-5A221  86,GENERAL,East Los Angeles,,O,"(34.02759, -118.21793)"
467988,1130,2819,,S,8TH,AVE,,90018,06/04/2012,,120B189    30,GENERAL,South Los Angeles,,O,"(34.02899, -118.32611)"
583194,8202,3548,,W,8TH,ST,,90005,04/28/2014,,132B193   652,SIGNS,Central,,O,"(34.05724, -118.30761)"
474313,2303,3570,,E,8TH,ST,,90023,07/20/2012,,118-5A227 162,GENERAL,East Los Angeles,,O,"(34.01943, -118.2003)"
481313,1114,7623,,S,8TH,AVE,,90043,10/11/2012,,099B185   141,GENERAL,South Los Angeles,,O,"(33.97018, -118.32668)"
486752,1114,155,,E,90TH,ST,,90003,12/11/2012,,094-5A205  29,GENERAL,South Los Angeles,,O,"(33.95479, -118.272)"
504416,1124,759,,E,90TH,ST,,90002,07/05/2013,,094-5A207  40,GENERAL,South Los Angeles,,O,"(33.95482, -118.26099)"
429128,1102,7307,,W,90TH,ST,,90045,09/21/2011,,096B157   988,GENERAL,West Los Angeles,,O,"(33.95516, -118.42263)"
425014,1114,127,,E,91ST,ST,,90003,07/29/2011,,094-5A205 153,GENERAL,South Los Angeles,,O,"(33.95388, -118.27287)"
433523,1124,351,,E,91ST,ST,,90003,11/18/2011,,094-5A205 123,GENERAL,South Los Angeles,,O,"(33.9539, -118.26777)"
451271,1114,534,,W,91ST,ST,,90044,02/27/2012,,094-5A201 103,GENERAL,South Los Angeles,,O,"(33.95406, -118.2838)"
565878,1124,702,,E,91ST,ST,,90002,03/27/2014,,094-5A207 183,GENERAL,South Los Angeles,,O,"(33.95366, -118.26275)"
486210,1124,911,,E,91ST,ST,,90002,12/04/2012,,094-5A209  62,GENERAL,South Los Angeles,,O,"(33.95396, -118.25815)"
468050,1102,7230,,W,91ST,ST,,90045,06/05/2012,,093B157    15,GENERAL,West Los Angeles,,O,"(33.95479, -118.4209)"
414242,1102,7514,,W,91ST,ST,,90045,04/20/2011,,093B157    18,GENERAL,West Los Angeles,,O,"(33.95476, -118.42737)"
501710,1124,918,,E,92ND,ST,,90002,06/07/2013,,094-5A209 199,GENERAL,South Los Angeles,,O,"(33.95278, -118.25793)"
509829,1114,133,,W,93RD,ST,,90003,08/16/2013,,094-5A203 309,GENERAL,South Los Angeles,,O,"(33.9521, -118.27516)"
629121,1124,410,,E,93RD,ST,,90003,07/02/2014,,094-5A207 387,GENERAL,South Los Angeles,,O,"(33.95189, -118.26696)"
609724,1124,424,,E,93RD,ST,,90003,06/11/2014,,094-5A207 383,GENERAL,South Los Angeles,,O,"(33.95189, -118.26644)"
502376,1124,428,,E,93RD,ST,,90003,06/17/2013,,094-5A207 382,GENERAL,South Los Angeles,,O,"(33.95189, -118.26631)"
498931,1124,432,,E,93RD,ST,,90003,05/03/2013,,094-5A207 381,GENERAL,South Los Angeles,,O,"(33.95189, -118.26617)"
581813,1114,543,,W,93RD,ST,,90044,04/22/2014,,094-5A201 250,GENERAL,South Los Angeles,,O,"(33.95201, -118.28423)"
528028,1124,811,,E,93RD,ST,,90002,12/23/2013,,094-5A209 265,GENERAL,South Los Angeles,,O,"(33.95213, -118.26037)"
611306,1124,251,,E,94TH,ST,,90003,06/12/2014,,094-5A205 454,GENERAL,South Los Angeles,,O,"(33.9512, -118.2699)"
413768,1114,314,,W,94TH,ST,,90003,04/19/2011,,094-5A203 439,GENERAL,South Los Angeles,,O,"(33.95092, -118.27915)"
492002,1114,319,,W,94TH,ST,,90003,02/27/2013,,094-5A203 417,GENERAL,South Los Angeles,,O,"(33.95113, -118.27929)"
557883,4106,319,,W,94TH,ST,,90003,03/14/2014,,094-5A203 417,CNAP,South Los Angeles,,O,"(33.95113, -118.27929)"
478701,1114,520,,W,94TH,ST,,90044,09/14/2012,,094-5A201 378,GENERAL,South Los Angeles,,O,"(33.95089, -118.2833)"
467706,1124,624,,E,94TH,ST,,90002,06/01/2012,,094-5A207 480,GENERAL,South Los Angeles,,O,"(33.951, -118.26426)"
481490,1124,628,,E,94TH,ST,,90002,10/11/2012,,094-5A207 479,GENERAL,South Los Angeles,,O,"(33.951, -118.26412)"
424217,1124,903,,E,94TH,ST,,90002,07/19/2011,,094-5A209 364,GENERAL,South Los Angeles,,O,"(33.95125, -118.2584)"
530283,1114,2056,,W,94TH,PL,,90047,01/07/2014,,093A191    47,GENERAL,South Los Angeles,,O,"(33.95041, -118.31531)"
406710,1114,2111,,W,94TH,PL,,90047,02/17/2011,,093A191    13,GENERAL,South Los Angeles,,O,"(33.95063, -118.31597)"
487509,1114,238,,E,95TH,ST,,90003,12/20/2012,,093A205    61,GENERAL,South Los Angeles,,O,"(33.95008, -118.2704)"
493582,1114,424,,E,95TH,ST,,90003,03/07/2013,,093A207    86,GENERAL,South Los Angeles,,O,"(33.9501, -118.26641)"
565170,1114,742,,E,95TH,ST,,90002,03/21/2014,,093A207    58,GENERAL,South Los Angeles,,O,"(33.95012, -118.26153)"
526244,1114,1907,,W,96TH,ST,,90047,12/11/2013,,093A193   161,GENERAL,South Los Angeles,,O,"(33.9492, -118.31176)"
424394,1114,1911,,W,96TH,ST,,90047,07/20/2011,,093A193   160,GENERAL,South Los Angeles,,O,"(33.9492, -118.31192)"
541470,1114,127,,E,97TH,ST,,90003,02/05/2014,,093A205   234,GENERAL,South Los Angeles,,O,"(33.9484, -118.27281)"
523325,1114,229,,W,97TH,ST,,90003,11/19/2013,,093A203   218,GENERAL,South Los Angeles,,O,"(33.94838, -118.27715)"
427219,1114,440,,E,97TH,ST,,90003,08/29/2011,,093A207   293,GENERAL,South Los Angeles,,O,"(33.94822, -118.26588)"
433369,1114,645,,W,97TH,ST,,90044,11/17/2011,,093A201   245,GENERAL,South Los Angeles,,O,"(33.94834, -118.28626)"
463518,1114,824,,W,97TH,ST,,90044,05/03/2012,,093A199   199,GENERAL,South Los Angeles,,O,"(33.94773, -118.2902)"
577137,1114,114,,E,98TH,ST,,90003,04/15/2014,,093A205   408,GENERAL,South Los Angeles,,O,"(33.94716, -118.27319)"
457259,1114,355,,E,98TH,ST,,90003,03/28/2012,,093A205   325,GENERAL,South Los Angeles,,O,"(33.94752, -118.26767)"
429826,1114,408,,W,98TH,ST,,90003,09/28/2011,,093A201   331,GENERAL,South Los Angeles,,O,"(33.94713, -118.28071)"
420956,1114,557,,W,98TH,ST,,90044,06/09/2011,,093A201   300,GENERAL,South Los Angeles,,O,"(33.94746, -118.28465)"
448649,1114,715,,E,98TH,ST,,90002,02/15/2012,,093A207   326,GENERAL,South Los Angeles,,O,"(33.9476, -118.26246)"
524087,1114,719,,E,98TH,ST,,90002,11/22/2013,,093A207   324,GENERAL,South Los Angeles,,O,"(33.9476, -118.26233)"
527986,1114,831,,E,98TH,ST,,90002,12/20/2013,,093A209   246,GENERAL,South Los Angeles,,O,"(33.94762, -118.25973)"
470802,1114,2025,,W,98TH,ST,,90047,06/20/2012,,093A191   256,GENERAL,South Los Angeles,,O,"(33.94709, -118.31431)"
605976,1114,220,,E,99TH,ST,,90003,06/05/2014,,091-5A205  31,GENERAL,South Los Angeles,,O,"(33.94638, -118.27093)"
625096,1114,245,,E,99TH,ST,,90003,06/26/2014,,093A205   439,GENERAL,South Los Angeles,,O,"(33.94661, -118.27015)"
524880,1114,252,,E,99TH,ST,,90003,12/05/2013,,091-5A205  24,GENERAL,South Los Angeles,,O,"(33.94639, -118.26993)"
549842,1114,410,,E,99TH,ST,,90003,02/21/2014,,091-5A207  40,GENERAL,South Los Angeles,,O,"(33.9464, -118.26694)"
492083,1114,520,,W,99TH,ST,,90044,02/28/2013,,091-5A201  26,GENERAL,South Los Angeles,,O,"(33.94634, -118.28341)"
455068,1114,552,,W,99TH,ST,,90044,03/08/2012,,091-5A201  34,GENERAL,South Los Angeles,,O,"(33.94633, -118.28447)"
524371,1114,731,,W,99TH,ST,,90044,12/03/2013,,091-5A199  14,GENERAL,South Los Angeles,,O,"(33.94647, -118.28817)"
514861,1114,815,,E,99TH,ST,,90002,09/26/2013,,093A209   293,GENERAL,South Los Angeles,,O,"(33.94668, -118.26026)"
615352,1114,822,,W,99TH,ST,,90044,06/18/2014,,091-5A199  66,GENERAL,South Los Angeles,,O,"(33.94623, -118.29021)"
588704,1140,1626,,E,99TH,ST,,90002,05/08/2014,,091-5A213  22,GENERAL,South Los Angeles,,O,"(33.9466, -118.24524)"
472861,2121,110,,E,9TH,ST,,90015,07/02/2012,,126A209    43,GENERAL,Central,,O,"(34.04107, -118.25479)"
478258,2121,315,,W,9TH,ST,,90014,09/10/2012,,127-5A209 141,GENERAL,Central,,O,"(34.04346, -118.25751)"
431397,1130,4261,,S,9TH,AVE,,90008,10/20/2011,,114B185  1025,GENERAL,South Los Angeles,,O,"(34.0058, -118.3268)"
533865,1110,5759,,S,9TH,AVE,,90043,01/15/2014,,108B185   889,GENERAL,South Los Angeles,,O,"(33.98926, -118.32713)"
489524,2144,2267,,W,AARON,ST,,90026,01/22/2013,,144A207   206,GENERAL,East Los Angeles,,O,"(34.08788, -118.26184)"
407700,1142,3405,,S,ABALONE,AVE,,90732,03/01/2011,,009B189    91,GENERAL,Harbor,,O,"(33.72289, -118.32112)"
595974,1101,1301,,S,ABBOT KINNEY,BLVD,,90291,05/21/2014,,108B145  1162,GENERAL,West Los Angeles,,O,"(33.9913, -118.46804)"
417486,1102,1427,,S,ABBOT KINNEY,BLVD,,90291,05/09/2011,,108B145  1359,CITATIONS,West Los Angeles,,O,"(33.99051, -118.46504)"
